Subtotal Area	LISA REMMER	JOSEPH C ROBERTS	STEPHEN WAID	LEO LACAYO	RYAN LAM	CHRISTIAN FOSTER	JOSH YORK	EVE DEL CASTELLO	CHRIS WARD KLINE	ERIN SMITH	LARRY MARSO	NICOLE GARAY	CALE GARVERICK	KRISTA GARVERICK	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7045 - Election Day	1	1	1	0	1	0	1	0	0	0	1	0	1	0	154	4	0	0	37	7	0
Precinct 7045	5	7	5	6	10	4	5	7	4	7	6	6	7	4	786	20	0	0	137	83	0
Precinct 7046 - Vote By Mail	6	5	3	3	3	3	4	2	4	3	4	2	4	5	334	10	0	0	59	51	0
Precinct 7046 - Election Day	1	1	1	0	1	0	1	1	1	1	1	0	1	1	96	1	0	0	0	11	0
Precinct 7046	7	6	4	3	4	3	5	3	5	4	5	2	5	6	430	11	0	0	59	62	0
Precinct 7047 - Vote By Mail	7	2	6	5	5	5	4	5	6	6	6	3	5	4	733	16	0	0	107	69	0
Precinct 7047 - Election Day	1	3	1	0	2	0	1	2	0	1	1	1	2	1	150	5	0	0	39	16	0
Precinct 7047	8	5	7	5	7	5	5	7	6	7	7	4	7	5	883	21	0	0	146	85	0
Precinct 7048 - Vote By Mail	6	13	7	8	6	7	9	6	9	10	4	10	6	7	685	21	0	0	123	108	0
Precinct 7048 - Election Day	1	1	1	1	1	1	1	1	1	1	0	0	0	1	196	3	0	0	22	11	0
Precinct 7048	7	14	8	9	7	8	10	7	10	11	4	10	6	8	881	24	0	0	145	119	0
Precinct 7049 - Vote By Mail	10	10	10	8	8	8	9	9	9	7	10	11	9	8	616	25	0	1	138	126	0
Precinct 7049 - Election Day	3	1	2	1	3	3	3	3	1	3	2	2	0	1	210	8	0	0	60	28	0
Precinct 7049	13	11	12	9	11	11	12	12	10	10	12	13	9	9	826	33	0	1	198	154	0
Precinct 7051 - Vote By Mail	12	8	11	6	9	12	12	9	7	14	9	8	13	8	715	30	0	0	192	138	0
Precinct 7051 - Election Day	1	1	1	0	1	1	2	2	1	1	2	1	2	2	165	2	0	0	4	18	0
Precinct 7051	13	9	12	6	10	13	14	11	8	15	11	9	15	10	880	32	0	0	196	156	0
Precinct 7052 - Vote By Mail	12	4	11	2	12	9	8	11	9	11	9	9	9	9	722	19	0	0	84	125	0
Precinct 7052 - Election Day	1	3	1	4	3	2	1	4	3	4	1	3	3	1	184	6	0	0	32	34	0
Precinct 7052	13	7	12	6	15	11	9	15	12	15	10	12	12	10	906	25	0	0	116	159	0
Precinct 7053 - Vote By Mail	10	8	8	5	8	5	7	2	5	7	8	5	6	8	542	19	0	0	117	92	0
Precinct 7053 - Election Day	1	0	0	1	0	1	0	0	0	0	0	0	0	0	43	5	0	0	52	3	0
Precinct 7053	11	8	8	6	8	6	7	2	5	7	8	5	6	8	585	24	0	0	169	95	0
Precinct 7054 - Vote By Mail	3	2	5	1	2	2	4	2	1	5	4	4	2	4	863	10	0	0	69	41	0
Precinct 7054 - Election Day	5	5	2	5	3	4	2	3	1	6	2	4	4	3	273	7	0	0	28	49	0
Precinct 7054	8	7	7	6	5	6	6	5	2	11	6	8	6	7	1,136	17	0	0	97	90	0
Precinct 7055 - Vote By Mail	7	2	1	2	4	2	2	3	4	1	2	2	3	2	732	16	0	0	139	37	0
Precinct 7055 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	1	0	94	1	0	0	10	1	0
Precinct 7055	7	2	1	2	4	2	2	3	4	1	2	2	4	2	826	17	0	0	149	38	0
Precinct 7056 - Vote By Mail	3	3	3	3	2	2	3	1	1	5	3	3	2	2	618	7	0	0	41	36	0
Precinct 7056 - Election Day	1	1	1	1	0	1	1	0	0	2	1	1	1	1	87	2	0	0	10	12	0
Precinct 7056	4	4	4	4	2	3	4	1	1	7	4	4	3	3	705	9	0	0	51	48	0
Precinct 7101 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0
Precinct 7101 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	0	0	0	0	0	0
Precinct 7101 MB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0
Precinct 7201 - Vote By Mail	14	11	13	10	13	10	11	12	9	25	10	11	21	8	788	42	0	0	284	178	0
Precinct 7201 - Election Day	1	2	0	2	3	2	0	2	4	3	0	1	1	1	147	11	0	0	99	22	0
Precinct 7201	15	13	13	12	16	12	11	14	13	28	10	12	22	9	935	53	0	0	383	200	0
Precinct 7202 - Vote By Mail	15	15	9	9	14	14	13	11	9	24	14	13	22	12	708	43	0	0	279	194	0
Precinct 7202 - Election Day	1	1	0	0	1	0	0	1	1	2	1	1	1	0	143	2	0	0	12	10	0
Precinct 7202	16	16	9	9	15	14	13	12	10	26	15	14	23	12	851	45	0	0	291	204	0
Precinct 7203 - Vote By Mail	7	4	5	3	5	4	6	2	1	10	5	4	7	6	693	20	0	0	151	69	0
Precinct 7203 - Election Day	0	0	0	0	1	1	0	1	1	1	0	1	1	0	186	2	0	0	15	7	0
Precinct 7203	7	4	5	3	6	5	6	3	2	11	5	5	8	6	879	22	0	0	166	76	0
Precinct 7204 - Vote By Mail	13	8	11	5	5	6	13	4	5	12	11	6	13	10	773	30	0	0	208	122	0
Precinct 7204 - Election Day	3	2	1	3	2	4	1	1	2	4	1	3	3	1	126	7	0	0	46	31	0
Precinct 7204	16	10	12	8	7	10	14	5	7	16	12	9	16	11	899	37	0	0	254	153	0
Precinct 7205 - Vote By Mail	18	9	16	8	11	8	16	10	4	17	15	13	21	12	724	35	0	0	207	178	0
