Subtotal Area	LISA REMMER	JOSEPH C ROBERTS	STEPHEN WAID	LEO LACAYO	RYAN LAM	CHRISTIAN FOSTER	JOSH YORK	EVE DEL CASTELLO	CHRIS WARD KLINE	ERIN SMITH	LARRY MARSO	NICOLE GARAY	CALE GARVERICK	KRISTA GARVERICK	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7931	6	4	4	2	6	2	4	3	2	7	3	3	4	4	751	12	0	0	78	54	0
Precinct 7932 - Vote By Mail	4	3	1	3	5	2	1	2	4	4	1	1	2	0	443	8	0	0	55	33	0
Precinct 7932 - Election Day	1	0	0	0	1	0	0	0	0	1	0	0	0	0	118	1	0	0	8	3	0
Precinct 7932	5	3	1	3	6	2	1	2	4	5	1	1	2	0	561	9	0	0	63	36	0
Precinct 7933 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	1	0	0	10	1	0
Precinct 7933 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Precinct 7933 MB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	1	0	0	10	1	0
Precinct 7934 - Vote By Mail	2	2	1	3	2	1	1	1	1	3	1	2	1	1	702	7	0	0	55	22	0
Precinct 7934 - Election Day	2	1	1	0	1	1	1	1	2	2	0	1	1	1	182	5	0	0	40	15	0
Precinct 7934	4	3	2	3	3	2	2	2	3	5	1	3	2	2	884	12	0	0	95	37	0
Precinct 7935 - Vote By Mail	4	2	2	2	3	2	2	1	1	4	2	2	1	4	716	7	0	0	45	32	0
Precinct 7935 - Election Day	2	1	2	2	3	3	2	2	2	2	1	3	2	1	227	4	0	0	16	28	0
Precinct 7935	6	3	4	4	6	5	4	3	3	6	3	5	3	5	943	11	0	0	61	60	0
Precinct 7936 - Vote By Mail	0	0	0	1	1	0	0	0	0	1	0	0	0	0	620	2	0	0	19	3	0
Precinct 7936 - Election Day	1	1	1	1	1	1	1	0	0	1	1	1	1	0	236	4	0	0	33	11	0
Precinct 7936	1	1	1	2	2	1	1	0	0	2	1	1	1	0	856	6	0	0	52	14	0
Precinct 7937 - Vote By Mail	3	2	3	3	3	2	5	1	1	5	3	3	3	3	698	9	0	0	59	40	0
Precinct 7937 - Election Day	3	2	2	4	2	1	2	0	1	1	2	2	2	1	202	5	0	0	30	25	0
Precinct 7937	6	4	5	7	5	3	7	1	2	6	5	5	5	4	900	14	0	0	89	65	0
Precinct 7938 - Vote By Mail	3	2	0	2	1	1	1	1	0	2	1	1	1	3	536	8	0	0	69	19	0
Precinct 7938 - Election Day	3	2	2	2	0	2	2	2	2	4	1	2	3	0	215	4	0	0	17	27	0
Precinct 7938	6	4	2	4	1	3	3	3	2	6	2	3	4	3	751	12	0	0	86	46	0
Precinct 7939 - Vote By Mail	1	0	1	0	2	0	1	0	0	2	1	1	1	1	481	3	0	0	22	11	0
Precinct 7939 - Election Day	1	0	0	0	0	0	0	1	0	1	0	1	1	0	205	1	0	0	6	5	0
Precinct 7939	2	0	1	0	2	0	1	1	0	3	1	2	2	1	686	4	0	0	28	16	0
Precinct 7941 - Vote By Mail	2	2	2	2	4	2	2	0	1	4	2	1	2	2	576	7	0	0	49	28	0
Precinct 7941 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0
Precinct 7941	2	2	2	2	4	2	2	0	1	4	2	1	2	2	772	7	0	0	49	28	0
Precinct 7942 - Vote By Mail	6	6	6	5	3	5	6	3	2	7	6	6	6	7	658	14	0	0	80	74	0
Precinct 7942 - Election Day	3	0	1	2	0	0	1	0	1	0	3	0	0	1	274	5	0	0	43	12	0
Precinct 7942	9	6	7	7	3	5	7	3	3	7	9	6	6	8	932	19	0	0	123	86	0
Precinct 7943 - Vote By Mail	4	2	2	4	5	1	2	1	4	7	2	1	3	1	686	18	0	0	159	39	0
Precinct 7943 - Election Day	4	4	2	4	4	4	2	4	3	4	2	4	4	3	214	11	0	0	73	48	0
Precinct 7943	8	6	4	8	9	5	4	5	7	11	4	5	7	4	900	29	0	0	232	87	0
Precinct 7944 - Vote By Mail	5	5	5	4	1	5	4	1	0	5	5	5	6	5	584	10	0	0	54	56	0
Precinct 7944 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0
Precinct 7944	5	5	5	4	1	5	4	1	0	5	5	5	6	5	814	10	0	0	54	56	0
Precinct 7945 - Vote By Mail	6	3	4	3	4	6	3	5	3	6	4	7	8	6	726	17	0	0	119	68	0
Precinct 7945 - Election Day	2	1	1	2	3	2	0	2	1	1	1	1	2	0	228	4	0	0	25	19	0
Precinct 7945	8	4	5	5	7	8	3	7	4	7	5	8	10	6	954	21	0	0	144	87	0
Precinct 7946 - Vote By Mail	11	4	3	2	7	2	4	7	5	7	1	6	7	3	779	20	0	0	151	69	0
Precinct 7946 - Election Day	0	1	0	1	1	3	0	2	2	3	0	1	1	0	206	7	0	0	62	15	0
Precinct 7946	11	5	3	3	8	5	4	9	7	10	1	7	8	3	985	27	0	0	213	84	0
Precinct 7947 - Vote By Mail	8	7	9	8	7	8	9	2	4	10	9	7	9	9	792	23	0	0	147	106	0
Precinct 7947 - Election Day	1	0	1	1	1	0	1	0	2	0	1	1	2	1	194	5	0	0	43	12	0
Precinct 7947	9	7	10	9	8	8	10	2	6	10	10	8	11	10	986	28	0	0	190	118	0
Precinct 7948 - Vote By Mail	12	6	8	8	5	9	8	3	7	8	9	5	6	11	730	26	0	0	181	105	0
Precinct 7948 - Election Day	2	0	1	1	2	0	1	0	1	1	2	1	3	2	200	5	0	0	38	17	0
Precinct 7948	14	6	9	9	7	9	9	3	8	9	11	6	9	13	930	31	0	0	219	122	0
Precinct 7949 - Vote By Mail	5	5	2	4	7	3	1	2	4	4	2	3	2	5	484	18	0	0	149	49	0
Precinct 7949 - Election Day	3	2	2	2	1	2	2	0	0	2	2	2	2	2	106	6	0	0	42	24	0
Precinct 7949	8	7	4	6	8	5	3	2	4	6	4	5	4	7	590	24	0	0	191	73	0
Precinct 7951 - Vote By Mail	15	15	11	11	6	12	13	4	5	22	12	10	14	11	731	38	0	1	246	161	0
Precinct 7951 - Election Day	4	2	2	1	3	1	2	1	1	2	2	0	1	2	156	10	0	0	86	24	0
Precinct 7951	19	17	13	12	9	13	15	5	6	24	14	10	15	13	887	48	0	1	332	185	0
Precinct 7952 - Vote By Mail	9	8	7	5	8	8	7	7	6	9	8	7	7	6	730	18	0	0	96	102	0
Precinct 7952 - Election Day	3	2	1	3	2	2	2	3	1	3	3	1	2	1	182	12	0	0	103	29	0
Precinct 7952	12	10	8	8	10	10	9	10	7	12	11	8	9	7	912	30	0	0	199	131	0
Precinct 7953 - Vote By Mail	9	6	6	5	10	9	6	7	6	9	5	8	14	6	669	33	0	0	257	106	0
Precinct 7953 - Election Day	3	2	2	4	2	2	2	2	3	4	0	2	1	1	161	8	0	0	58	30	0
Precinct 7953	12	8	8	9	12	11	8	9	9	13	5	10	15	7	830	41	0	0	315	136	0
Precinct 7955 - Vote By Mail	11	6	7	6	5	9	7	6	8	13	7	7	7	4	774	31	0	0	238	103	0
Precinct 7955 - Election Day	5	3	2	2	4	3	3	4	3	4	3	2	4	2	173	8	0	0	43	45	1
Precinct 7955	16	9	9	8	9	12	10	10	11	17	10	9	11	6	947	39	0	0	281	148	1
Precinct 7956 - Vote By Mail	12	7	8	8	7	8	9	3	6	10	9	8	8	6	699	19	0	0	100	109	0
Precinct 7956 - Election Day	0	0	1	2	1	1	0	1	0	0	2	1	0	1	170	5	0	0	45	10	0
Precinct 7956	12	7	9	10	8	9	9	4	6	10	11	9	8	7	869	24	0	0	145	119	0
Precinct 7957 - Vote By Mail	5	5	6	4	8	5	5	6	7	9	6	7	9	6	538	15	0	0	77	88	0
Precinct 7957 - Election Day	1	0	0	0	0	1	0	0	0	0	0	0	0	0	135	1	0	0	9	2	0
Precinct 7957	6	5	6	4	8	6	5	6	7	9	6	7	9	6	673	16	0	0	86	90	0
Precinct 7958 MB - Vote By Mail	2	4	2	2	3	4	2	2	5	4	2	3	5	2	320	6	0	0	24	42	0
Precinct 7958 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-23	1	0	0	10	1	0
Precinct 7958 MB	2	4	2	2	3	4	2	2	5	4	2	3	6	2	297	7	0	0	34	43	0
Precinct 7959 - Vote By Mail	2	1	1	0	0	0	1	1	0	0	1	2	2	1	541	5	0	0	43	12	0
Precinct 7959 - Election Day	1	0	0	0	1	1	0	1	0	0	0	1	0	1	145	4	0	0	38	6	0
Precinct 7959	3	1	1	0	1	1	1	2	0	0	1	3	2	2	686	9	0	0	81	18	0
Congressional District 12 - Vote By Mail	2,002	1,498	1,536	1,267	1,656	1,410	1,536	1,164	1,155	2,268	1,465	1,470	1,901	1,483	355,618	5,388	0	10	37,347	21,811	0
Congressional District 12 - Election Day	612	480	427	436	491	415	425	344	331	656	404	443	559	414	90,230	1,696	0	5	12,135	6,466	29
Congressional District 12	2,614	1,978	1,963	1,703	2,147	1,825	1,961	1,508	1,486	2,924	1,869	1,913	2,460	1,897	445,848	7,084	0	15	49,482	28,277	29
Congressional District 14 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47,257	0	0	0	0	0	0
Congressional District 14 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,794	0	0	0	0	0	0
Congressional District 14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58,051	0	0	0	0	0	0
Assembly District 17 - Vote By Mail	2,002	1,498	1,536	1,267	1,656	1,410	1,536	1,164	1,155	2,268	1,465	1,470	1,901	1,483	232,806	5,388	0	10	37,347	21,811	0
Assembly District 17 - Election Day	612	480	427	436	491	415	425	344	331	656	404	443	559	414	59,616	1,696	0	5	12,135	6,466	29
Assembly District 17	2,614	1,978	1,963	1,703	2,147	1,825	1,961	1,508	1,486	2,924	1,869	1,913	2,460	1,897	292,422	7,084	0	15	49,482	28,277	29
Supervisorial District 1 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33,870	0	0	0	0	0	0
Supervisorial District 1 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,246	0	0	0	0	0	0
Supervisorial District 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43,116	0	0	0	0	0	0
Supervisorial District 2 - Vote By Mail	100	68	80	50	68	59	83	52	46	118	77	67	114	69	41,436	272	0	0	1,941	1,051	0
Supervisorial District 2 - Election Day	19	13	9	12	18	13	12	11	17	25	9	16	18	11	8,610	56	0	0	413	203	0
Supervisorial District 2	119	81	89	62	86	72	95	63	63	143	86	83	132	80	50,046	328	0	0	2,354	1,254	0
Supervisorial District 3 - Vote By Mail	414	273	302	225	344	259	298	225	191	446	293	292	394	301	31,944	1,087	0	3	7,667	4,257	0
Supervisorial District 3 - Election Day	125	93	96	78	105	78	88	63	69	119	84	86	122	80	7,433	339	0	0	2,441	1,288	2
Supervisorial District 3	539	366	398	303	449	337	386	288	260	565	377	378	516	381	39,377	1,426	0	3	10,108	5,545	2
Supervisorial District 5 - Vote By Mail	219	166	165	139	169	151	180	118	126	238	156	150	204	178	41,973	544	0	2	3,603	2,359	0
Supervisorial District 5 - Election Day	62	61	54	38	47	49	53	36	35	79	45	57	63	50	10,927	166	0	3	1,060	733	4
Supervisorial District 5	281	227	219	177	216	200	233	154	161	317	201	207	267	228	52,900	710	0	5	4,663	3,092	4
Supervisorial District 6 - Vote By Mail	285	239	223	174	263	209	216	181	216	339	209	221	278	211	35,758	823	0	1	5,778	3,264	0
Supervisorial District 6 - Election Day	87	65	62	62	61	55	65	53	48	87	56	66	70	59	7,937	226	0	1	1,578	897	1
Supervisorial District 6	372	304	285	236	324	264	281	234	264	426	265	287	348	270	43,695	1,049	0	2	7,356	4,161	1
Supervisorial District 7 - Vote By Mail	111	72	85	64	80	81	87	54	53	134	80	81	103	75	38,893	308	0	1	2,217	1,160	0
Supervisorial District 7 - Election Day	49	28	31	29	32	30	31	17	13	48	33	31	45	31	8,550	115	0	1	804	450	2
Supervisorial District 7	160	100	116	93	112	111	118	71	66	182	113	112	148	106	47,443	423	0	2	3,021	1,610	2
Supervisorial District 8 - Vote By Mail	299	228	225	190	242	218	219	171	156	345	213	226	289	213	46,374	846	0	1	6,061	3,234	0
Supervisorial District 8 - Election Day	108	78	69	71	88	67	67	55	54	116	70	72	96	74	11,803	302	0	0	2,234	1,088	3
Supervisorial District 8	407	306	294	261	330	285	286	226	210	461	283	298	385	287	58,177	1,148	0	1	8,295	4,322	3
Supervisorial District 9 - Vote By Mail	240	186	179	175	176	180	183	126	132	272	178	182	223	180	33,166	605	0	1	4,032	2,612	0
Supervisorial District 9 - Election Day	73	53	42	61	55	53	44	47	45	72	44	47	56	44	10,097	206	0	0	1,522	744	8
Supervisorial District 9	313	239	221	236	231	233	227	173	177	344	222	229	279	224	43,263	811	0	1	5,554	3,356	8
Supervisorial District 10 - Vote By Mail	245	193	194	158	218	172	186	169	178	266	185	175	207	180	33,767	663	0	1	4,556	2,726	0
Supervisorial District 10 - Election Day	57	62	43	52	56	44	47	46	35	74	40	48	65	43	9,346	184	0	0	1,303	721	9
Supervisorial District 10	302	255	237	210	274	216	233	215	213	340	225	223	272	223	43,113	847	0	1	5,859	3,447	9
Supervisorial District 11 - Vote By Mail	89	73	83	92	96	81	84	68	57	110	74	76	89	76	30,643	240	0	0	1,492	1,148	0
Supervisorial District 11 - Election Day	32	27	21	33	29	26	18	16	15	36	23	20	24	22	8,032	102	0	0	780	342	0
Supervisorial District 11	121	100	104	125	125	107	102	84	72	146	97	96	113	98	38,675	342	0	0	2,272	1,490	0
Bayview/Hunters Point - Vote By Mail	103	78	86	64	93	74	79	61	71	105	82	68	79	83	15,466	274	0	0	1,888	1,126	0
Bayview/Hunters Point - Election Day	22	23	11	23	20	17	14	18	14	28	10	20	22	11	5,019	70	0	0	517	253	0
Bayview/Hunters Point	125	101	97	87	113	91	93	79	85	133	92	88	101	94	20,485	344	0	0	2,405	1,379	0
Chinatown - Vote By Mail	197	118	137	98	160	111	140	97	81	192	134	130	177	142	14,029	482	0	1	3,377	1,914	0
Chinatown - Election Day	47	32	35	26	50	25	30	27	31	39	34	30	42	27	3,238	133	0	0	986	477	2
Chinatown	244	150	172	124	210	136	170	124	112	231	168	160	219	169	17,267	615	0	1	4,363	2,391	2
Civic Center/Downtown - Vote By Mail	201	175	166	141	191	158	166	132	130	249	155	171	209	147	22,050	578	0	2	3,945	2,391	0
Civic Center/Downtown - Election Day	81	66	61	54	57	56	59	35	45	79	55	56	69	53	5,969	216	0	1	1,538	827	1
Civic Center/Downtown	282	241	227	195	248	214	225	167	175	328	210	227	278	200	28,019	794	0	3	5,483	3,218	1
Diamond Heights - Vote By Mail	56	45	36	34	61	40	39	38	28	72	41	45	58	38	5,630	181	0	0	1,360	631	0
Diamond Heights - Election Day	22	17	16	17	16	17	16	9	8	24	18	13	22	13	1,430	68	0	0	519	229	1
Diamond Heights	78	62	52	51	77	57	55	47	36	96	59	58	80	51	7,060	249	0	0	1,879	860	1
Excelsior - Vote By Mail	89	73	83	92	96	81	84	68	57	110	74	76	89	76	22,699	240	0	0	1,492	1,148	0
Excelsior - Election Day	32	27	21	33	29	26	18	16	15	36	23	20	24	22	5,894	102	0	0	780	342	0
Excelsior	121	100	104	125	125	107	102	84	72	146	97	96	113	98	28,593	342	0	0	2,272	1,490	0
Haight Ashbury - Vote By Mail	49	41	33	30	44	33	40	29	35	58	31	38	46	41	11,528	132	0	0	904	548	0
Haight Ashbury - Election Day	16	16	12	7	13	9	14	10	7	17	10	12	18	12	2,334	46	0	0	332	174	1
Haight Ashbury	65	57	45	37	57	42	54	39	42	75	41	50	64	53	13,862	178	0	0	1,236	722	1
Inner Sunset - Vote By Mail	14	9	14	11	9	9	10	6	8	13	11	9	14	13	7,628	24	0	0	114	150	0
Inner Sunset - Election Day	1	4	2	1	3	2	2	4	3	4	2	4	4	3	2,030	8	0	0	49	39	0
Inner Sunset	15	13	16	12	12	11	12	10	11	17	13	13	18	16	9,658	32	0	0	163	189	0
Marina Pacific Heights - Vote By Mail	129	85	100	67	90	76	102	71	57	149	95	84	139	91	33,510	333	0	1	2,317	1,335	0
Marina Pacific Heights - Election Day	25	17	14	15	22	17	16	15	22	34	13	22	23	17	5,930	75	0	1	541	273	1
Marina Pacific Heights	154	102	114	82	112	93	118	86	79	183	108	106	162	108	39,440	408	0	2	2,858	1,608	1
Mission - Vote By Mail	116	100	102	86	84	94	98	77	65	135	94	91	119	95	23,576	308	0	0	2,032	1,356	0
Mission - Election Day	37	37	28	36	31	28	32	27	26	54	28	31	30	36	7,429	133	0	0	995	468	7
Mission	153	137	130	122	115	122	130	104	91	189	122	122	149	131	31,005	441	0	0	3,027	1,824	7
North Bernal Heights - Vote By Mail	34	25	22	29	27	20	24	12	16	40	21	22	25	22	6,791	83	0	0	574	339	0
North Bernal Heights - Election Day	18	15	10	14	16	12	10	8	9	17	8	11	12	8	1,942	44	0	0	316	168	0
North Bernal Heights	52	40	32	43	43	32	34	20	25	57	29	33	37	30	8,733	127	0	0	890	507	0
North Embarcadero - Vote By Mail	91	56	69	42	67	55	61	48	38	101	66	58	81	70	5,780	234	0	0	1,671	903	0
North Embarcadero - Election Day	23	18	20	15	19	13	17	16	13	26	12	16	28	15	1,308	68	0	0	497	251	0
North Embarcadero	114	74	89	57	86	68	78	64	51	127	78	74	109	85	7,088	302	0	0	2,168	1,154	0
Noe Valley - Vote By Mail	96	57	64	59	73	67	68	45	44	104	66	64	87	65	13,553	270	0	0	2,011	959	0
Noe Valley - Election Day	30	21	20	15	29	18	17	19	19	28	20	21	33	21	3,435	82	0	0	589	313	2
Noe Valley	126	78	84	74	102	85	85	64	63	132	86	85	120	86	16,988	352	0	0	2,600	1,272	2
Portola - Vote By Mail	104	78	73	69	78	80	74	50	66	114	74	76	93	72	7,830	267	0	1	1,825	1,101	0
Portola - Election Day	24	16	15	20	21	16	16	15	14	23	18	13	18	14	1,802	78	0	0	614	244	1
Portola	128	94	88	89	99	96	90	65	80	137	92	89	111	86	9,632	345	0	1	2,439	1,345	1
Potrero Hill - Vote By Mail	96	70	66	51	81	66	62	72	64	119	64	62	87	60	14,623	264	0	0	1,884	1,020	0
Potrero Hill - Election Day	27	25	21	23	20	21	20	14	12	32	20	22	35	24	2,733	67	0	0	412	325	9
Potrero Hill	123	95	87	74	101	87	82	86	76	151	84	84	122	84	17,356	331	0	0	2,296	1,345	9
South of Bernal Heights - Vote By Mail	54	44	42	36	42	36	41	29	25	63	43	41	54	42	7,164	144	0	0	992	592	0
South of Bernal Heights - Election Day	24	13	11	21	17	16	12	14	15	21	13	12	18	12	2,407	55	0	0	386	219	0
South of Bernal Heights	78	57	53	57	59	52	53	43	40	84	56	53	72	54	9,571	199	0	0	1,378	811	0
South of Market - Vote By Mail	177	136	127	96	158	112	121	103	134	194	117	127	166	128	20,913	523	0	1	3,846	1,896	0
South of Market - Election Day	52	33	36	35	35	33	40	32	26	56	32	42	46	37	4,164	130	0	0	895	535	0
South of Market	229	169	163	131	193	145	161	135	160	250	149	169	212	165	25,077	653	0	1	4,741	2,431	0
Upper Market/Eureka Valley - Vote By Mail	85	71	71	60	67	66	67	52	47	102	62	74	88	66	15,383	230	0	1	1,541	978	0
Upper Market/Eureka Valley - Election Day	30	19	17	15	19	16	14	16	11	28	16	22	21	20	3,510	65	0	0	450	265	1
Upper Market/Eureka Valley	115	90	88	75	86	82	81	68	58	130	78	96	109	86	18,893	295	0	1	1,991	1,243	1
Visitation Valley - Vote By Mail	67	62	57	54	60	53	60	52	59	72	56	61	64	51	6,638	174	0	1	1,075	828	0
Visitation Valley - Election Day	12	15	11	11	14	10	14	15	9	13	11	11	13	10	1,850	46	0	0	337	169	0
Visitation Valley	79	77	68	65	74	63	74	67	68	85	67	72	77	61	8,488	220	0	1	1,412	997	0
West of Twin Peaks - Vote By Mail	107	68	82	60	76	77	83	53	52	129	76	77	95	72	28,440	297	0	1	2,149	1,107	0
West of Twin Peaks - Election Day	49	27	31	28	31	29	31	16	12	46	32	30	44	30	6,934	111	0	1	773	437	1
West of Twin Peaks	156	95	113	88	107	106	114	69	64	175	108	107	139	102	35,374	408	0	2	2,922	1,544	1
Western Addition - Vote By Mail	137	107	106	88	99	102	117	69	78	147	103	96	131	109	23,716	350	0	1	2,350	1,489	0
Western Addition - Election Day	40	39	35	27	29	34	33	18	20	51	29	35	37	29	7,780	99	0	2	609	458	2
Western Addition	177	146	141	115	128	136	150	87	98	198	132	131	168	138	31,496	449	0	3	2,959	1,947	2
