Subtotal Area	JULIÁN CASTRO	MICHAEL A. ELLINGER	ELIZABETH WARREN	MARIANNE WILLIAMSON	ANDREW YANG	ROQUE "ROCKY" DE LA FUENTE III	JOHN K. DELANEY	AMY KLOBUCHAR	BERNIE SANDERS	JOE SESTAK	TOM STEYER	DEVAL PATRICK	MICHAEL BENNET	MICHAEL R. BLOOMBERG	MOSIE BOYD	CORY BOOKER	PETE BUTTIGIEG	JOSEPH R. BIDEN	TULSI GABBARD	MARK STEWART GREENSTEIN	NAKIA L. ANTHONY	DAPHNE DENISE BRADFORD	WILLIE FELIX CARTER	MICHAEL DENAME	JEFFREY H. DROBMAN	ROBERT JORDAN	HEATHER MARIE STAGG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1143 - Election Day	0	0	14	0	2	0	0	0	57	0	0	0	0	9	0	0	0	26	0	0	0	0	0	0	0	0	0	225	108	0	0	0	108	0
Precinct 1143	2	1	47	1	6	0	0	6	185	1	3	0	1	34	0	0	8	61	2	0	0	0	0	0	0	0	0	1,049	362	0	1	3	358	0
Precinct 1144 - Vote By Mail	1	0	34	0	6	0	1	3	117	0	5	0	0	30	0	0	6	37	0	0	0	0	0	0	0	0	0	727	242	0	1	1	240	0
Precinct 1144 - Election Day	0	0	19	0	2	0	1	0	53	0	3	0	0	7	0	0	1	24	1	0	0	0	0	0	0	0	0	220	111	0	0	0	111	0
Precinct 1144	1	0	53	0	8	0	2	3	170	0	8	0	0	37	0	0	7	61	1	0	0	0	0	0	0	0	0	947	353	0	1	1	351	0
Precinct 1145 - Vote By Mail	1	0	72	0	6	0	0	2	118	0	5	0	0	33	0	0	18	63	0	0	0	0	0	0	0	0	0	753	320	0	0	2	318	0
Precinct 1145 - Election Day	0	0	18	0	0	0	0	0	61	0	0	0	0	7	0	0	0	23	1	0	0	0	0	0	0	0	0	152	111	0	0	1	110	0
Precinct 1145	1	0	90	0	6	0	0	2	179	0	5	0	0	40	0	0	18	86	1	0	0	0	0	0	0	0	0	905	431	0	0	3	428	0
Precinct 1146 - Vote By Mail	0	0	32	0	3	0	0	3	138	1	7	0	0	25	0	0	10	59	0	0	0	0	0	0	0	0	0	839	286	0	1	7	278	0
Precinct 1146 - Election Day	0	0	13	0	1	1	0	0	56	0	1	0	0	6	0	0	0	19	0	0	0	0	0	0	0	0	0	215	97	0	0	0	97	0
Precinct 1146	0	0	45	0	4	1	0	3	194	1	8	0	0	31	0	0	10	78	0	0	0	0	0	0	0	0	0	1,054	383	0	1	7	375	0
Precinct 1147 - Vote By Mail	1	0	37	0	7	0	1	6	102	0	1	0	0	28	0	0	3	39	1	0	0	0	0	0	0	0	0	673	233	0	1	6	226	0
Precinct 1147 - Election Day	0	0	29	0	1	0	0	1	42	0	0	0	0	7	0	0	0	18	0	0	0	0	0	0	0	0	0	212	99	0	0	1	98	0
Precinct 1147	1	0	66	0	8	0	1	7	144	0	1	0	0	35	0	0	3	57	1	0	0	0	0	0	0	0	0	885	332	0	1	7	324	0
Precinct 1148 - Vote By Mail	0	0	38	0	6	1	0	0	128	0	7	0	0	29	0	0	5	54	3	0	0	0	0	0	0	0	0	804	272	0	0	1	271	0
Precinct 1148 - Election Day	0	0	17	0	0	0	0	0	49	0	0	0	0	2	0	0	0	22	1	0	0	0	0	0	0	0	0	224	92	0	0	1	91	0
Precinct 1148	0	0	55	0	6	1	0	0	177	0	7	0	0	31	0	0	5	76	4	0	0	0	0	0	0	0	0	1,028	364	0	0	2	362	0
Precinct 1149 - Vote By Mail	0	1	35	0	3	0	0	2	110	0	3	0	1	26	0	0	4	57	2	0	0	0	0	0	0	0	0	710	246	0	0	2	244	0
Precinct 1149 - Election Day	0	1	12	0	0	0	0	0	49	0	0	0	1	13	0	0	0	26	0	0	0	0	0	0	0	0	0	229	102	0	0	0	102	0
Precinct 1149	0	2	47	0	3	0	0	2	159	0	3	0	2	39	0	0	4	83	2	0	0	0	0	0	0	0	0	939	348	0	0	2	346	0
Precinct 1152 - Vote By Mail	1	0	20	0	3	0	0	3	106	0	8	0	0	31	0	0	9	49	2	0	0	0	0	0	0	0	0	710	235	0	1	2	232	0
Precinct 1152 - Election Day	0	0	8	0	0	0	1	0	40	1	0	0	0	3	0	0	0	15	1	0	0	0	0	0	0	0	0	180	69	0	0	0	69	0
Precinct 1152	1	0	28	0	3	0	1	3	146	1	8	0	0	34	0	0	9	64	3	0	0	0	0	0	0	0	0	890	304	0	1	2	301	0
Precinct 1153 - Vote By Mail	0	0	35	0	3	0	0	3	71	0	3	0	0	30	0	0	8	41	3	0	0	0	0	0	0	0	0	730	198	0	0	1	197	0
Precinct 1153 - Election Day	1	0	18	0	1	0	0	0	34	0	1	0	0	19	0	0	3	22	1	0	0	0	0	0	0	0	0	210	101	0	0	1	100	0
Precinct 1153	1	0	53	0	4	0	0	3	105	0	4	0	0	49	0	0	11	63	4	0	0	0	0	0	0	0	0	940	299	0	0	2	297	0
Precinct 7001 - Vote By Mail	0	0	91	0	2	0	0	2	106	0	2	0	0	25	0	0	17	38	0	0	0	0	0	0	0	0	0	632	287	0	0	4	283	0
Precinct 7001 - Election Day	0	0	34	0	1	0	0	0	37	0	0	0	0	3	0	0	0	24	1	0	0	0	0	0	0	0	0	141	100	0	0	0	100	0
Precinct 7001	0	0	125	0	3	0	0	2	143	0	2	0	0	28	0	0	17	62	1	0	0	0	0	0	0	0	0	773	387	0	0	4	383	0
Precinct 7002 - Vote By Mail	0	0	67	0	1	0	0	5	70	0	2	0	0	28	0	0	21	41	1	0	0	0	0	0	0	0	0	598	238	0	0	2	236	0
Precinct 7002 - Election Day	0	0	25	0	0	0	0	0	34	0	0	0	0	4	0	0	0	23	0	0	0	0	0	0	0	0	0	116	86	0	0	0	86	0
Precinct 7002	0	0	92	0	1	0	0	5	104	0	2	0	0	32	0	0	21	64	1	0	0	0	0	0	0	0	0	714	324	0	0	2	322	0
Precinct 7003 - Vote By Mail	0	0	118	0	7	0	0	13	103	0	0	0	0	33	0	0	26	74	0	0	0	0	0	0	0	0	0	759	378	0	1	3	374	0
Precinct 7003 - Election Day	0	0	41	0	0	0	0	0	35	0	0	0	0	8	0	0	0	50	1	0	0	0	0	0	0	0	0	147	136	0	0	1	135	0
Precinct 7003	0	0	159	0	7	0	0	13	138	0	0	0	0	41	0	0	26	124	1	0	0	0	0	0	0	0	0	906	514	0	1	4	509	0
Precinct 7004 - Vote By Mail	0	0	122	0	6	0	0	7	98	0	0	0	0	25	0	0	29	75	2	0	0	0	0	0	0	0	0	764	364	0	0	0	364	0
Precinct 7004 - Election Day	0	0	52	0	1	0	0	0	33	0	0	0	0	16	0	0	0	34	0	0	0	0	0	0	0	0	0	149	136	0	0	0	136	0
Precinct 7004	0	0	174	0	7	0	0	7	131	0	0	0	0	41	0	0	29	109	2	0	0	0	0	0	0	0	0	913	500	0	0	0	500	0
Precinct 7005 - Vote By Mail	0	0	91	0	0	0	0	4	116	0	1	0	0	33	0	2	20	56	0	0	0	0	0	0	0	0	0	698	325	0	1	1	323	0
Precinct 7005 - Election Day	0	0	50	0	1	0	0	0	48	0	0	0	0	6	0	0	0	53	0	0	0	0	0	0	0	0	0	161	160	0	0	1	159	1
Precinct 7005	0	0	141	0	1	0	0	4	164	0	1	0	0	39	0	2	20	109	0	0	0	0	0	0	0	0	0	859	485	0	1	2	482	1
