Subtotal Area	JOHN P. MCDONNELL	PHIL TING	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9244 - Vote By Mail	37	298	756	399	0	0	64	335	0
Precinct 9244 - Election Day	22	145	154	206	0	0	39	167	0
Precinct 9244	59	443	910	605	0	0	103	502	0
Precinct 9245 - Vote By Mail	42	204	616	301	0	0	55	246	0
Precinct 9245 - Election Day	12	105	98	145	0	0	28	117	0
Precinct 9245	54	309	714	446	0	0	83	363	0
Precinct 9246 - Vote By Mail	79	292	815	434	0	0	63	371	0
Precinct 9246 - Election Day	30	142	155	214	0	0	42	172	0
Precinct 9246	109	434	970	648	0	0	105	543	0
Precinct 9247 - Vote By Mail	58	279	764	381	0	0	44	337	0
Precinct 9247 - Election Day	28	136	148	225	0	0	59	166	2
Precinct 9247	86	415	912	606	0	0	103	503	2
Precinct 9248 - Vote By Mail	51	257	757	360	0	0	52	308	0
Precinct 9248 - Election Day	21	150	150	211	0	0	39	172	1
Precinct 9248	72	407	907	571	0	0	91	480	1
Precinct 9249 - Vote By Mail	63	264	724	379	0	0	52	327	0
Precinct 9249 - Election Day	32	155	191	235	0	0	47	188	1
Precinct 9249	95	419	915	614	0	0	99	515	1
Precinct 9251 - Vote By Mail	57	297	792	393	0	0	39	354	0
Precinct 9251 - Election Day	36	168	174	248	0	0	44	204	0
Precinct 9251	93	465	966	641	0	0	83	558	0
Precinct 9252 - Vote By Mail	63	266	811	383	0	0	54	329	0
Precinct 9252 - Election Day	28	143	142	211	0	0	40	171	0
Precinct 9252	91	409	953	594	0	0	94	500	0
Precinct 9253 - Vote By Mail	57	216	599	300	0	0	27	273	0
Precinct 9253 - Election Day	31	104	162	170	0	0	34	136	1
Precinct 9253	88	320	761	470	0	0	61	409	1
Precinct 9254 - Vote By Mail	38	326	758	415	0	0	51	364	0
Precinct 9254 - Election Day	20	155	163	229	0	0	53	176	1
Precinct 9254	58	481	921	644	0	0	104	540	1
Precinct 9255 - Vote By Mail	31	141	437	196	0	0	24	172	0
Precinct 9255 - Election Day	11	112	113	154	0	0	31	123	0
Precinct 9255	42	253	550	350	0	0	55	295	0
Precinct 9256 - Vote By Mail	17	132	367	169	0	0	20	149	0
Precinct 9256 - Election Day	12	100	95	134	0	0	20	114	2
Precinct 9256	29	232	462	303	0	0	40	263	2
Precinct 9257 MB - Vote By Mail	17	130	359	165	0	0	18	147	0
Precinct 9257 MB - Election Day	1	10	-39	21	0	0	10	11	0
Precinct 9257 MB	18	140	320	186	0	0	28	158	0
Precinct 9258 - Vote By Mail	44	227	583	307	0	0	36	271	0
Precinct 9258 - Election Day	13	117	120	162	0	0	31	131	1
Precinct 9258	57	344	703	469	0	0	67	402	1
Precinct 9401 - Vote By Mail	29	296	796	359	0	0	34	325	0
Precinct 9401 - Election Day	28	187	242	258	0	0	42	216	1
Precinct 9401	57	483	1,038	617	0	0	76	541	1
Precinct 9402 - Vote By Mail	50	287	775	378	0	0	41	337	0
Precinct 9402 - Election Day	17	160	242	225	0	0	48	177	0
Precinct 9402	67	447	1,017	603	0	0	89	514	0
Precinct 9403 - Vote By Mail	53	262	731	349	0	0	34	315	0
Precinct 9403 - Election Day	19	132	190	183	0	0	31	152	1
Precinct 9403	72	394	921	532	0	0	65	467	1
Precinct 9404 - Vote By Mail	80	235	753	345	0	0	30	315	0
Precinct 9404 - Election Day	22	144	191	208	0	0	42	166	0
Precinct 9404	102	379	944	553	0	0	72	481	0
Precinct 9405 - Vote By Mail	54	199	629	278	0	0	25	253	0
Precinct 9405 - Election Day	21	109	151	144	0	0	14	130	0
Precinct 9405	75	308	780	422	0	0	39	383	0
Precinct 9406 - Vote By Mail	54	242	695	332	0	1	35	296	0
Precinct 9406 - Election Day	26	129	188	198	0	0	43	155	0
Precinct 9406	80	371	883	530	0	1	78	451	0
Precinct 9407 - Vote By Mail	55	278	712	369	0	0	36	333	0
Precinct 9407 - Election Day	21	142	201	194	0	0	31	163	0
Precinct 9407	76	420	913	563	0	0	67	496	0
Precinct 9408 - Vote By Mail	24	263	711	323	0	0	36	287	0
Precinct 9408 - Election Day	15	142	152	193	0	0	34	159	2
Precinct 9408	39	405	863	516	0	0	70	446	2
Precinct 9409 - Vote By Mail	32	162	443	227	0	0	33	194	0
Precinct 9409 - Election Day	13	131	158	172	0	0	28	144	0
Precinct 9409	45	293	601	399	0	0	61	338	0
Precinct 9411 - Vote By Mail	53	287	816	378	0	0	38	340	0
Precinct 9411 - Election Day	19	166	191	239	0	0	54	185	0
Precinct 9411	72	453	1,007	617	0	0	92	525	0
Precinct 9412 - Vote By Mail	60	238	668	340	0	0	42	298	0
Precinct 9412 - Election Day	28	144	202	199	0	0	27	172	0
Precinct 9412	88	382	870	539	0	0	69	470	0
Precinct 9413 - Vote By Mail	55	280	757	379	0	0	44	335	0
Precinct 9413 - Election Day	24	121	179	185	0	0	38	147	2
Precinct 9413	79	401	936	564	0	0	82	482	2
