Subtotal Area	KAT ANDERSON	NADIA RAHMAN	MANO RAJU	ABRA PAULINE CASTLE	QUEENA CHEN	CYN WANG	LEAH LACROIX	SUZY LOFTUS	LI MIAO LOVETT	JANICE LI	JANE NATOLI	AHSHA SAFAI	GORDON MAR	SEEYEW MO	FAAUUGA MOLIGA	PAUL MIYAMOTO	MARY JUNG	KEITH BARAKA	KELLY AKEMI GROTH	A. J. THOMAS	MAWULI TUGBENYOH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Congressional District 12 - Vote By Mail	7,194	5,187	11,354	3,483	10,476	6,724	11,830	11,915	10,208	11,744	7,471	7,437	14,461	4,587	9,705	8,920	10,035	12,392	9,597	11,670	4,446	355,618	41,000	0	97	218,194	190,836	0
Congressional District 12 - Election Day	3,734	2,486	5,795	2,009	5,390	2,858	5,448	5,809	5,162	5,355	3,212	3,317	6,936	1,768	4,970	3,716	4,403	6,216	4,833	5,968	1,710	90,230	24,089	0	24	149,459	91,191	96
Congressional District 12	10,928	7,673	17,149	5,492	15,866	9,582	17,278	17,724	15,370	17,099	10,683	10,754	21,397	6,355	14,675	12,636	14,438	18,608	14,430	17,638	6,156	445,848	65,089	0	121	367,653	282,027	96
Congressional District 14 - Vote By Mail	2,872	1,986	4,182	1,822	3,912	2,532	4,486	5,040	4,079	4,292	3,053	4,107	5,303	1,815	3,782	3,953	4,065	4,867	3,405	4,738	1,767	47,257	14,891	0	39	72,462	76,058	0
Congressional District 14 - Election Day	1,386	859	1,848	933	1,719	934	1,734	2,077	1,814	1,705	1,125	1,710	2,108	616	1,776	1,510	1,431	2,092	1,547	2,210	580	10,794	7,708	0	13	45,202	31,748	34
Congressional District 14	4,258	2,845	6,030	2,755	5,631	3,466	6,220	7,117	5,893	5,997	4,178	5,817	7,411	2,431	5,558	5,463	5,496	6,959	4,952	6,948	2,347	58,051	22,599	0	52	117,664	107,806	34
Assembly District 19 - Vote By Mail	10,066	7,173	15,536	5,305	14,388	9,256	16,316	16,955	14,287	16,036	10,524	11,544	19,764	6,402	13,487	12,873	14,100	17,259	13,002	16,408	6,213	170,069	55,891	0	136	290,656	266,894	0
Assembly District 19 - Election Day	5,120	3,345	7,643	2,942	7,109	3,792	7,182	7,886	6,976	7,060	4,337	5,027	9,044	2,384	6,746	5,226	5,834	8,308	6,380	8,178	2,290	41,408	31,797	0	37	194,661	122,939	130
Assembly District 19	15,186	10,518	23,179	8,247	21,497	13,048	23,498	24,841	21,263	23,096	14,861	16,571	28,808	8,786	20,233	18,099	19,934	25,567	19,382	24,586	8,503	211,477	87,688	0	173	485,317	389,833	130
Supervisorial District 1 - Vote By Mail	1,839	1,329	3,657	965	3,482	1,891	3,614	2,960	3,333	3,675	2,025	1,964	4,347	1,243	3,115	2,443	2,730	3,774	3,096	3,739	1,154	33,870	11,398	0	30	57,305	56,375	0
Supervisorial District 1 - Election Day	1,022	715	2,034	650	1,922	857	1,800	1,563	1,829	1,848	957	958	2,263	505	1,727	1,084	1,304	2,016	1,715	2,083	509	9,246	7,240	0	7	42,941	29,389	28
Supervisorial District 1	2,861	2,044	5,691	1,615	5,404	2,748	5,414	4,523	5,162	5,523	2,982	2,922	6,610	1,748	4,842	3,527	4,034	5,790	4,811	5,822	1,663	43,116	18,638	0	37	100,246	85,764	28
Supervisorial District 2 - Vote By Mail	2,338	1,575	2,520	938	1,953	1,675	2,819	3,666	2,009	2,529	2,176	2,144	2,702	1,246	2,052	2,340	2,789	2,953	2,092	2,435	1,301	41,436	11,669	0	27	70,168	46,252	0
Supervisorial District 2 - Election Day	1,324	756	1,205	533	974	788	1,251	1,812	929	1,076	946	995	1,204	529	967	1,043	1,330	1,436	969	1,135	511	8,610	6,961	0	7	47,798	21,742	29
Supervisorial District 2	3,662	2,331	3,725	1,471	2,927	2,463	4,070	5,478	2,938	3,605	3,122	3,139	3,906	1,775	3,019	3,383	4,119	4,389	3,061	3,570	1,812	50,046	18,630	0	34	117,966	67,994	29
Supervisorial District 4 - Vote By Mail	1,771	1,266	2,993	980	3,039	1,987	3,144	3,199	2,943	3,345	1,899	2,030	4,944	1,256	2,652	2,702	2,827	3,341	2,521	3,249	1,143	35,051	10,712	0	26	53,629	53,231	0
Supervisorial District 4 - Election Day	814	541	1,482	507	1,473	723	1,379	1,450	1,417	1,429	755	799	2,290	393	1,327	1,006	1,020	1,665	1,227	1,617	369	9,043	5,846	0	7	34,692	23,698	15
Supervisorial District 4	2,585	1,807	4,475	1,487	4,512	2,710	4,523	4,649	4,360	4,774	2,654	2,829	7,234	1,649	3,979	3,708	3,847	5,006	3,748	4,866	1,512	44,094	16,558	0	33	88,321	76,929	15
Supervisorial District 5 - Vote By Mail	665	557	1,415	329	1,240	578	1,429	1,073	1,198	1,342	749	692	1,406	400	1,163	630	828	1,425	1,211	1,446	465	41,973	4,159	0	9	21,259	20,241	0
Supervisorial District 5 - Election Day	354	285	702	190	641	273	660	517	639	635	331	328	713	197	613	290	407	663	605	755	192	10,927	2,431	0	1	14,296	10,004	14
Supervisorial District 5	1,019	842	2,117	519	1,881	851	2,089	1,590	1,837	1,977	1,080	1,020	2,119	597	1,776	920	1,235	2,088	1,816	2,201	657	52,900	6,590	0	10	35,555	30,245	14
Supervisorial District 7 - Vote By Mail	2,248	1,616	2,910	1,211	2,743	2,056	3,157	4,082	2,761	3,068	2,294	2,495	3,776	1,557	2,553	3,063	3,202	3,404	2,402	3,070	1,359	38,893	11,381	0	29	58,493	55,027	0
Supervisorial District 7 - Election Day	1,071	746	1,391	663	1,310	807	1,319	1,846	1,322	1,308	924	1,095	1,618	580	1,267	1,243	1,234	1,602	1,143	1,547	482	8,550	6,105	0	8	36,423	24,547	29
Supervisorial District 7	3,319	2,362	4,301	1,874	4,053	2,863	4,476	5,928	4,083	4,376	3,218	3,590	5,394	2,137	3,820	4,306	4,436	5,006	3,545	4,617	1,841	47,443	17,486	0	37	94,916	79,574	29
Supervisorial District 8 - Vote By Mail	27	14	36	26	45	19	45	45	49	34	36	39	47	14	50	25	33	43	39	46	16	46,374	125	0	1	512	728	0
Supervisorial District 8 - Election Day	9	5	15	6	10	5	17	11	12	16	6	8	16	5	14	9	7	17	14	17	2	11,803	42	0	0	199	221	0
Supervisorial District 8	36	19	51	32	55	24	62	56	61	50	42	47	63	19	64	34	40	60	53	63	18	58,177	167	0	1	711	949	0
Supervisorial District 10 - Vote By Mail	17	17	28	11	31	15	33	25	30	29	15	18	37	5	24	16	23	30	21	39	12	33,767	74	0	3	234	476	0
Supervisorial District 10 - Election Day	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9,346	7	0	0	67	3	0
Supervisorial District 10	17	18	28	11	32	15	33	26	30	29	15	18	37	5	24	16	23	30	21	39	12	43,113	81	0	3	301	479	0
Supervisorial District 11 - Vote By Mail	1,161	799	1,977	845	1,855	1,035	2,075	1,905	1,964	2,014	1,330	2,162	2,505	681	1,878	1,654	1,668	2,289	1,620	2,384	763	30,643	6,373	0	11	29,056	34,564	0
Supervisorial District 11 - Election Day	526	296	814	393	778	339	756	686	828	748	418	844	940	175	831	551	532	909	707	1,024	225	8,032	3,165	0	7	18,245	13,335	15
Supervisorial District 11	1,687	1,095	2,791	1,238	2,633	1,374	2,831	2,591	2,792	2,762	1,748	3,006	3,445	856	2,709	2,205	2,200	3,198	2,327	3,408	988	38,675	9,538	0	18	47,301	47,899	15
Excelsior - Vote By Mail	771	551	1,253	560	1,181	703	1,332	1,300	1,254	1,324	935	1,455	1,689	465	1,240	1,159	1,145	1,472	1,057	1,512	507	22,699	4,148	0	5	18,565	22,865	0
Excelsior - Election Day	325	194	471	230	454	209	449	425	495	451	266	542	582	109	488	358	320	523	427	590	137	5,894	1,902	0	6	10,913	8,047	2
Excelsior	1,096	745	1,724	790	1,635	912	1,781	1,725	1,749	1,775	1,201	1,997	2,271	574	1,728	1,517	1,465	1,995	1,484	2,102	644	28,593	6,050	0	11	29,478	30,912	2
Ingleside - Vote By Mail	486	318	903	351	853	436	915	766	898	877	534	857	1,041	281	813	627	673	1,006	713	1,080	315	9,819	2,779	0	7	12,977	14,743	0
Ingleside - Election Day	246	134	414	189	389	165	377	310	407	373	186	349	445	86	408	241	262	461	338	522	104	2,576	1,524	0	2	8,800	6,420	14
Ingleside	732	452	1,317	540	1,242	601	1,292	1,076	1,305	1,250	720	1,206	1,486	367	1,221	868	935	1,467	1,051	1,602	419	12,395	4,303	0	9	21,777	21,163	14
Inner Sunset - Vote By Mail	368	343	814	165	742	391	826	608	713	787	449	407	917	275	708	400	512	818	705	845	268	7,628	2,492	0	5	12,809	12,061	0
Inner Sunset - Election Day	206	190	458	124	435	194	448	354	429	409	217	214	496	121	410	202	281	446	410	501	142	2,030	1,532	0	1	8,620	6,690	3
Inner Sunset	574	533	1,272	289	1,177	585	1,274	962	1,142	1,196	666	621	1,413	396	1,118	602	793	1,264	1,115	1,346	410	9,658	4,024	0	6	21,429	18,751	3
Lake Merced - Vote By Mail	441	280	626	265	635	368	647	620	692	650	385	468	747	226	559	528	489	705	551	763	210	7,421	2,104	0	6	10,125	10,855	0
Lake Merced - Election Day	289	196	392	202	386	198	320	318	447	371	214	269	401	90	405	243	178	441	363	550	99	837	1,591	0	3	9,495	6,385	13
Lake Merced	730	476	1,018	467	1,021	566	967	938	1,139	1,021	599	737	1,148	316	964	771	667	1,146	914	1,313	309	8,258	3,695	0	9	19,620	17,240	13
Laurel Heights/Anza Vista - Vote By Mail	533	394	835	251	761	452	865	823	746	865	545	511	907	308	715	566	688	893	738	856	335	8,173	2,944	0	7	15,783	13,587	0
Laurel Heights/Anza Vista - Election Day	333	237	512	203	417	228	418	461	435	433	263	297	472	155	416	272	360	471	415	519	167	1,849	2,016	0	1	12,644	7,506	22
Laurel Heights/Anza Vista	866	631	1,347	454	1,178	680	1,283	1,284	1,181	1,298	808	808	1,379	463	1,131	838	1,048	1,364	1,153	1,375	502	10,022	4,960	0	8	28,427	21,093	22
Marina Pacific Heights - Vote By Mail	1,651	1,107	1,647	620	1,249	1,149	1,878	2,412	1,280	1,666	1,530	1,501	1,719	877	1,352	1,566	1,883	1,991	1,382	1,624	905	33,510	7,965	0	18	48,481	30,989	0
Marina Pacific Heights - Election Day	922	502	746	340	582	532	810	1,148	571	665	644	664	737	371	609	685	894	918	612	719	351	5,930	4,744	0	6	33,344	14,036	14
Marina Pacific Heights	2,573	1,609	2,393	960	1,831	1,681	2,688	3,560	1,851	2,331	2,174	2,165	2,456	1,248	1,961	2,251	2,777	2,909	1,994	2,343	1,256	39,440	12,709	0	24	81,825	45,025	14
Richmond - Vote By Mail	1,595	1,149	3,227	845	3,082	1,677	3,167	2,551	2,934	3,252	1,760	1,695	3,818	1,094	2,721	2,133	2,385	3,295	2,718	3,273	997	29,449	9,894	0	29	49,282	49,368	0
Richmond - Election Day	844	592	1,719	517	1,660	725	1,553	1,301	1,559	1,589	803	781	1,941	431	1,464	900	1,096	1,724	1,450	1,743	418	8,176	6,019	0	6	35,305	24,825	15
Richmond	2,439	1,741	4,946	1,362	4,742	2,402	4,720	3,852	4,493	4,841	2,563	2,476	5,759	1,525	4,185	3,033	3,481	5,019	4,168	5,016	1,415	37,625	15,913	0	35	84,587	74,193	15
Sea Cliff/Presidio Heights - Vote By Mail	402	258	525	183	403	302	571	840	423	487	387	409	638	214	416	499	554	577	394	468	236	6,458	2,303	0	4	13,804	9,186	0
Sea Cliff/Presidio Heights - Election Day	237	138	277	122	251	153	286	443	219	254	187	200	345	85	226	259	267	339	227	260	81	1,563	1,432	0	1	9,449	4,861	5
Sea Cliff/Presidio Heights	639	396	802	305	654	455	857	1,283	642	741	574	609	983	299	642	758	821	916	621	728	317	8,021	3,735	0	5	23,253	14,047	5
Sunset - Vote By Mail	1,752	1,244	2,939	972	2,994	1,965	3,095	3,159	2,893	3,297	1,874	2,003	4,872	1,242	2,604	2,676	2,804	3,294	2,476	3,190	1,129	34,608	10,540	0	26	52,666	52,474	0
Sunset - Election Day	797	527	1,438	494	1,433	712	1,332	1,424	1,375	1,392	738	786	2,229	387	1,285	988	995	1,619	1,189	1,569	360	8,885	5,722	0	7	34,066	23,084	15
Sunset	2,549	1,771	4,377	1,466	4,427	2,677	4,427	4,583	4,268	4,689	2,612	2,789	7,101	1,629	3,889	3,664	3,799	4,913	3,665	4,759	1,489	43,493	16,262	0	33	86,732	75,558	15
Visitation Valley - Vote By Mail	17	17	28	11	31	15	33	25	30	29	15	18	37	5	24	16	23	30	21	39	12	6,638	74	0	3	234	476	0
Visitation Valley - Election Day	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1,850	7	0	0	67	3	0
Visitation Valley	17	18	28	11	32	15	33	26	30	29	15	18	37	5	24	16	23	30	21	39	12	8,488	81	0	3	301	479	0
West of Twin Peaks - Vote By Mail	1,665	1,215	2,012	881	1,850	1,511	2,245	3,242	1,813	2,133	1,724	1,840	2,692	1,220	1,746	2,347	2,491	2,409	1,632	2,007	1,055	28,440	8,414	0	20	44,210	39,730	0
West of Twin Peaks - Election Day	710	489	870	415	799	532	869	1,414	748	809	642	740	1,077	452	746	927	958	1,016	668	854	338	6,934	4,028	0	4	24,152	16,088	15
West of Twin Peaks	2,375	1,704	2,882	1,296	2,649	2,043	3,114	4,656	2,561	2,942	2,366	2,580	3,769	1,672	2,492	3,274	3,449	3,425	2,300	2,861	1,393	35,374	12,442	0	24	68,362	55,818	15
Western Addition - Vote By Mail	385	297	727	201	607	287	742	609	611	669	386	380	687	195	589	356	453	769	615	751	244	23,716	2,234	0	6	11,720	10,560	0
Western Addition - Election Day	211	145	346	106	302	144	320	287	291	314	177	185	319	97	289	151	223	350	281	351	93	7,780	1,280	0	0	7,806	4,994	12
Western Addition	596	442	1,073	307	909	431	1,062	896	902	983	563	565	1,006	292	878	507	676	1,119	896	1,102	337	31,496	3,514	0	6	19,526	15,554	12
