Subtotal Area	PHIL COLLINS	ROQUE "ROCKY" DE LA FUENTE	CHARLES KRAUT	J.R. MYERS	DON BLANKENSHIP	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7052 - Vote By Mail	0	1	0	0	0	722	3	0	0	2	1	0
Precinct 7052 - Election Day	1	0	0	0	0	184	1	0	0	0	1	0
Precinct 7052	1	1	0	0	0	906	4	0	0	2	2	0
Precinct 7053 - Vote By Mail	0	0	0	0	1	542	2	0	0	1	1	0
Precinct 7053 - Election Day	0	0	0	0	0	43	2	0	0	1	1	1
Precinct 7053	0	0	0	0	1	585	4	0	0	2	2	1
Precinct 7054 - Vote By Mail	0	1	0	0	0	863	3	0	0	2	1	0
Precinct 7054 - Election Day	1	1	1	0	0	273	3	0	0	0	3	0
Precinct 7054	1	2	1	0	0	1,136	6	0	0	2	4	0
Precinct 7055 - Vote By Mail	0	0	0	1	0	732	1	0	0	0	1	0
Precinct 7055 - Election Day	0	0	0	0	0	94	0	0	0	0	0	0
Precinct 7055	0	0	0	1	0	826	1	0	0	0	1	0
Precinct 7056 - Vote By Mail	0	0	0	0	0	618	0	0	0	0	0	0
Precinct 7056 - Election Day	1	0	0	0	0	87	1	0	0	0	1	0
Precinct 7056	1	0	0	0	0	705	1	0	0	0	1	0
Precinct 7101 MB - Vote By Mail	0	0	0	0	0	162	0	0	0	0	0	0
Precinct 7101 MB - Election Day	0	0	0	0	0	-15	0	0	0	0	0	0
Precinct 7101 MB	0	0	0	0	0	147	0	0	0	0	0	0
Precinct 7201 - Vote By Mail	0	0	0	1	0	788	5	0	0	4	1	0
Precinct 7201 - Election Day	0	0	0	0	0	147	0	0	0	0	0	0
Precinct 7201	0	0	0	1	0	935	5	0	0	4	1	0
Precinct 7202 - Vote By Mail	1	2	0	0	1	708	9	0	0	5	4	0
Precinct 7202 - Election Day	0	1	0	0	0	143	3	0	0	0	3	2
Precinct 7202	1	3	0	0	1	851	12	0	0	5	7	2
