Subtotal Area	PHIL COLLINS	ROQUE "ROCKY" DE LA FUENTE	CHARLES KRAUT	J.R. MYERS	DON BLANKENSHIP	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7941 - Vote By Mail	0	0	0	0	0	576	1	0	0	1	0	0
Precinct 7941 - Election Day	1	0	0	0	0	196	1	0	0	0	1	0
Precinct 7941	1	0	0	0	0	772	2	0	0	1	1	0
Precinct 7942 - Vote By Mail	0	0	0	1	0	658	3	0	0	2	1	0
Precinct 7942 - Election Day	0	0	0	1	0	274	1	0	0	0	1	0
Precinct 7942	0	0	0	2	0	932	4	0	0	2	2	0
Precinct 7943 - Vote By Mail	0	0	0	0	0	686	1	0	0	1	0	0
Precinct 7943 - Election Day	2	0	0	1	0	214	4	0	0	1	3	0
Precinct 7943	2	0	0	1	0	900	5	0	0	2	3	0
Precinct 7944 - Vote By Mail	0	0	0	0	0	584	3	0	0	3	0	0
Precinct 7944 - Election Day	0	0	0	0	0	230	1	0	0	1	0	0
Precinct 7944	0	0	0	0	0	814	4	0	0	4	0	0
Precinct 7945 - Vote By Mail	1	0	0	0	2	726	6	0	0	3	3	0
Precinct 7945 - Election Day	0	0	0	0	0	228	0	0	0	0	0	0
Precinct 7945	1	0	0	0	2	954	6	0	0	3	3	0
Precinct 7946 - Vote By Mail	0	1	1	0	0	779	6	0	0	4	2	0
Precinct 7946 - Election Day	0	0	0	0	0	206	1	0	0	1	0	0
Precinct 7946	0	1	1	0	0	985	7	0	0	5	2	0
Precinct 7947 - Vote By Mail	0	0	0	2	1	792	5	0	0	2	3	0
Precinct 7947 - Election Day	0	0	0	0	1	194	2	0	0	1	1	0
Precinct 7947	0	0	0	2	2	986	7	0	0	3	4	0
Precinct 7948 - Vote By Mail	3	1	0	0	0	730	11	0	0	7	4	0
Precinct 7948 - Election Day	0	1	0	0	0	200	3	0	0	2	1	0
Precinct 7948	3	2	0	0	0	930	14	0	0	9	5	0
Precinct 7949 - Vote By Mail	0	0	1	0	1	484	4	0	0	2	2	0
Precinct 7949 - Election Day	0	0	0	0	0	106	1	0	0	0	1	1
Precinct 7949	0	0	1	0	1	590	5	0	0	2	3	1
Precinct 7951 - Vote By Mail	0	1	0	0	1	731	3	0	0	1	2	0
Precinct 7951 - Election Day	0	1	0	0	1	156	2	0	0	0	2	0
Precinct 7951	0	2	0	0	2	887	5	0	0	1	4	0
Precinct 7952 - Vote By Mail	1	0	0	0	0	730	8	0	0	7	1	0
Precinct 7952 - Election Day	0	0	0	0	1	182	2	0	0	0	2	1
Precinct 7952	1	0	0	0	1	912	10	0	0	7	3	1
Precinct 7953 - Vote By Mail	1	0	1	1	0	669	11	0	0	8	3	0
Precinct 7953 - Election Day	0	0	0	0	0	161	2	0	0	2	0	0
Precinct 7953	1	0	1	1	0	830	13	0	0	10	3	0
Precinct 7955 - Vote By Mail	0	0	2	0	0	774	8	0	0	6	2	0
Precinct 7955 - Election Day	0	0	0	0	0	173	2	0	0	0	2	2
Precinct 7955	0	0	2	0	0	947	10	0	0	6	4	2
Precinct 7956 - Vote By Mail	0	0	1	1	0	699	4	0	0	2	2	0
Precinct 7956 - Election Day	0	0	0	0	0	170	1	0	0	1	0	0
Precinct 7956	0	0	1	1	0	869	5	0	0	3	2	0
Precinct 7957 - Vote By Mail	1	2	0	0	1	538	5	0	0	1	4	0
Precinct 7957 - Election Day	0	0	0	0	0	135	0	0	0	0	0	0
Precinct 7957	1	2	0	0	1	673	5	0	0	1	4	0
Precinct 7958 MB - Vote By Mail	0	0	0	0	0	320	3	0	0	3	0	0
Precinct 7958 MB - Election Day	0	0	0	0	0	-23	0	0	0	0	0	0
Precinct 7958 MB	0	0	0	0	0	297	3	0	0	3	0	0
Precinct 7959 - Vote By Mail	1	0	0	0	0	541	3	0	0	2	1	0
Precinct 7959 - Election Day	0	0	0	0	0	145	0	0	0	0	0	0
Precinct 7959	1	0	0	0	0	686	3	0	0	2	1	0
Precinct 9001 MB - Vote By Mail	0	0	0	0	0	314	1	0	0	1	0	0
Precinct 9001 MB - Election Day	0	0	0	0	0	-30	0	0	0	0	0	0
Precinct 9001 MB	0	0	0	0	0	284	1	0	0	1	0	0
Precinct 9101 - Vote By Mail	0	0	1	0	1	712	5	0	0	3	2	0
Precinct 9101 - Election Day	0	1	0	0	0	201	2	0	0	1	1	0
Precinct 9101	0	1	1	0	1	913	7	0	0	4	3	0
Precinct 9102 - Vote By Mail	0	0	0	0	1	788	3	0	0	2	1	0
Precinct 9102 - Election Day	0	0	0	0	0	204	1	0	0	1	0	0
Precinct 9102	0	0	0	0	1	992	4	0	0	3	1	0
Precinct 9103 - Vote By Mail	2	0	0	2	0	719	7	0	0	3	4	0
Precinct 9103 - Election Day	0	1	0	0	0	238	1	0	0	0	1	0
Precinct 9103	2	1	0	2	0	957	8	0	0	3	5	0
Precinct 9104 - Vote By Mail	2	0	0	0	0	810	4	0	0	2	2	0
Precinct 9104 - Election Day	0	0	0	1	0	220	2	0	0	1	1	0
Precinct 9104	2	0	0	1	0	1,030	6	0	0	3	3	0
Precinct 9105 - Vote By Mail	0	0	0	0	0	719	5	0	0	5	0	0
Precinct 9105 - Election Day	0	0	0	0	0	199	0	0	0	0	0	0
Precinct 9105	0	0	0	0	0	918	5	0	0	5	0	0
Precinct 9106 - Vote By Mail	1	0	0	0	0	748	2	0	0	1	1	0
Precinct 9106 - Election Day	0	0	1	0	0	198	1	0	0	0	1	0
Precinct 9106	1	0	1	0	0	946	3	0	0	1	2	0
Precinct 9107 - Vote By Mail	2	1	0	0	0	636	11	0	0	8	3	0
Precinct 9107 - Election Day	1	0	0	0	0	208	1	0	0	0	1	0
Precinct 9107	3	1	0	0	0	844	12	0	0	8	4	0
Precinct 9108 - Vote By Mail	0	1	0	0	0	610	3	0	0	2	1	0
Precinct 9108 - Election Day	0	0	0	1	0	200	2	0	0	1	1	0
Precinct 9108	0	1	0	1	0	810	5	0	0	3	2	0
Precinct 9109 - Vote By Mail	1	0	0	0	0	672	3	0	0	2	1	0
Precinct 9109 - Election Day	0	0	0	0	0	211	0	0	0	0	0	0
Precinct 9109	1	0	0	0	0	883	3	0	0	2	1	0
Precinct 9111 - Vote By Mail	0	0	0	0	0	639	4	0	0	4	0	0
Precinct 9111 - Election Day	0	0	0	0	0	195	0	0	0	0	0	0
Precinct 9111	0	0	0	0	0	834	4	0	0	4	0	0
Precinct 9112 - Vote By Mail	0	1	0	0	0	742	2	0	0	1	1	0
Precinct 9112 - Election Day	0	0	0	0	0	219	0	0	0	0	0	0
Precinct 9112	0	1	0	0	0	961	2	0	0	1	1	0
Precinct 9113 - Vote By Mail	0	0	0	0	0	797	0	0	0	0	0	0
Precinct 9113 - Election Day	3	0	0	0	0	207	3	0	0	0	3	0
Precinct 9113	3	0	0	0	0	1,004	3	0	0	0	3	0
Precinct 9114 - Vote By Mail	0	0	0	1	0	659	5	0	0	4	1	0
Precinct 9114 - Election Day	1	0	0	0	0	231	1	0	0	0	1	0
Precinct 9114	1	0	0	1	0	890	6	0	0	4	2	0
Precinct 9115 - Vote By Mail	1	0	0	0	0	699	3	0	0	2	1	0
Precinct 9115 - Election Day	0	0	0	0	0	182	0	0	0	0	0	0
Precinct 9115	1	0	0	0	0	881	3	0	0	2	1	0
Precinct 9116 - Vote By Mail	1	0	0	1	0	782	5	0	0	3	2	0
Precinct 9116 - Election Day	0	1	0	0	0	179	4	0	0	2	2	1
Precinct 9116	1	1	0	1	0	961	9	0	0	5	4	1
Precinct 9117 - Vote By Mail	0	0	0	0	1	629	3	0	0	2	1	0
Precinct 9117 - Election Day	0	0	0	0	0	171	0	0	0	0	0	0
Precinct 9117	0	0	0	0	1	800	3	0	0	2	1	0
Precinct 9118 - Vote By Mail	1	0	0	1	0	742	4	0	0	2	2	0
Precinct 9118 - Election Day	0	0	0	0	0	242	1	0	0	0	1	1
Precinct 9118	1	0	0	1	0	984	5	0	0	2	3	1
Precinct 9119 - Vote By Mail	1	0	2	0	0	703	4	0	0	1	3	0
Precinct 9119 - Election Day	0	0	0	0	1	197	2	0	0	1	1	0
Precinct 9119	1	0	2	0	1	900	6	0	0	2	4	0
Precinct 9121 - Vote By Mail	1	0	0	0	0	735	4	0	0	3	1	0
Precinct 9121 - Election Day	0	0	0	0	0	218	0	0	0	0	0	0
Precinct 9121	1	0	0	0	0	953	4	0	0	3	1	0
Precinct 9122 - Vote By Mail	1	0	0	0	1	775	5	0	0	3	2	0
Precinct 9122 - Election Day	1	0	0	0	0	192	2	0	0	1	1	0
Precinct 9122	2	0	0	0	1	967	7	0	0	4	3	0
Precinct 9123 - Vote By Mail	0	0	0	0	0	661	3	0	0	3	0	0
Precinct 9123 - Election Day	0	0	0	0	0	191	0	0	0	0	0	0
Precinct 9123	0	0	0	0	0	852	3	0	0	3	0	0
Precinct 9124 - Vote By Mail	0	0	0	0	0	736	1	0	0	1	0	0
Precinct 9124 - Election Day	0	1	0	0	0	167	2	0	0	1	1	0
Precinct 9124	0	1	0	0	0	903	3	0	0	2	1	0
Precinct 9125 - Vote By Mail	1	0	0	0	1	681	4	0	0	2	2	0
Precinct 9125 - Election Day	0	0	0	0	0	188	1	0	0	1	0	0
Precinct 9125	1	0	0	0	1	869	5	0	0	3	2	0
Precinct 9126 - Vote By Mail	1	0	0	0	0	819	6	0	0	5	1	0
Precinct 9126 - Election Day	0	0	0	0	0	194	1	0	0	1	0	0
Precinct 9126	1	0	0	0	0	1,013	7	0	0	6	1	0
Precinct 9127 - Vote By Mail	0	1	1	0	0	748	6	0	0	4	2	0
Precinct 9127 - Election Day	0	0	0	0	0	223	1	0	0	1	0	0
Precinct 9127	0	1	1	0	0	971	7	0	0	5	2	0
Precinct 9128 - Vote By Mail	0	0	0	0	0	628	1	0	0	1	0	0
Precinct 9128 - Election Day	0	0	0	0	0	190	5	0	0	5	0	0
Precinct 9128	0	0	0	0	0	818	6	0	0	6	0	0
Precinct 9129 - Vote By Mail	0	0	0	0	2	587	4	0	0	2	2	0
Precinct 9129 - Election Day	0	0	0	0	0	151	1	0	0	1	0	0
Precinct 9129	0	0	0	0	2	738	5	0	0	3	2	0
Precinct 9131 - Vote By Mail	0	0	0	0	0	596	3	0	0	3	0	0
Precinct 9131 - Election Day	0	0	0	0	0	138	0	0	0	0	0	0
Precinct 9131	0	0	0	0	0	734	3	0	0	3	0	0
Precinct 9132 - Vote By Mail	0	1	0	1	0	627	3	0	0	1	2	0
Precinct 9132 - Election Day	1	0	0	0	0	194	2	0	0	0	2	1
Precinct 9132	1	1	0	1	0	821	5	0	0	1	4	1
Precinct 9133 - Vote By Mail	1	0	0	1	1	808	5	0	0	2	3	0
Precinct 9133 - Election Day	0	0	0	0	0	209	0	0	0	0	0	0
Precinct 9133	1	0	0	1	1	1,017	5	0	0	2	3	0
Precinct 9134 - Vote By Mail	1	1	0	0	0	736	5	0	0	3	2	0
Precinct 9134 - Election Day	1	0	1	0	0	155	2	0	0	0	2	0
Precinct 9134	2	1	1	0	0	891	7	0	0	3	4	0
Precinct 9135 - Vote By Mail	0	0	0	0	0	640	5	0	0	5	0	0
Precinct 9135 - Election Day	0	0	1	1	0	182	3	0	0	1	2	0
Precinct 9135	0	0	1	1	0	822	8	0	0	6	2	0
Precinct 9136 - Vote By Mail	0	0	0	0	0	706	2	0	0	2	0	0
Precinct 9136 - Election Day	0	0	0	0	0	212	0	0	0	0	0	0
Precinct 9136	0	0	0	0	0	918	2	0	0	2	0	0
Precinct 9137 - Vote By Mail	0	0	0	0	0	806	3	0	0	3	0	0
Precinct 9137 - Election Day	0	1	0	0	0	209	2	0	0	1	1	0
Precinct 9137	0	1	0	0	0	1,015	5	0	0	4	1	0
Precinct 9138 - Vote By Mail	2	0	1	0	1	770	6	0	0	2	4	0
Precinct 9138 - Election Day	0	0	0	1	0	175	2	0	0	1	1	0
Precinct 9138	2	0	1	1	1	945	8	0	0	3	5	0
Precinct 9139 - Vote By Mail	1	0	0	0	0	828	7	0	0	6	1	0
Precinct 9139 - Election Day	0	0	0	1	0	190	1	0	0	0	1	0
Precinct 9139	1	0	0	1	0	1,018	8	0	0	6	2	0
Precinct 9141 - Vote By Mail	0	0	0	0	0	789	2	0	0	2	0	0
Precinct 9141 - Election Day	0	0	0	0	0	184	0	0	0	0	0	0
Precinct 9141	0	0	0	0	0	973	2	0	0	2	0	0
Precinct 9142 - Vote By Mail	0	1	0	0	0	747	5	0	0	4	1	0
Precinct 9142 - Election Day	0	0	0	0	0	239	0	0	0	0	0	0
Precinct 9142	0	1	0	0	0	986	5	0	0	4	1	0
Precinct 9143 - Vote By Mail	0	0	0	0	0	706	3	0	0	3	0	0
Precinct 9143 - Election Day	0	0	0	0	0	208	2	0	0	1	1	1
Precinct 9143	0	0	0	0	0	914	5	0	0	4	1	1
Precinct 9144 - Vote By Mail	0	0	0	0	0	767	4	0	0	4	0	0
Precinct 9144 - Election Day	0	0	0	0	0	203	0	0	0	0	0	0
Precinct 9144	0	0	0	0	0	970	4	0	0	4	0	0
Precinct 9145 - Vote By Mail	3	1	0	0	0	681	8	0	0	4	4	0
Precinct 9145 - Election Day	0	0	0	0	0	194	0	0	0	0	0	0
Precinct 9145	3	1	0	0	0	875	8	0	0	4	4	0
Precinct 9146 - Vote By Mail	0	0	0	0	0	725	1	0	0	1	0	0
Precinct 9146 - Election Day	3	0	0	0	0	160	6	0	0	3	3	0
Precinct 9146	3	0	0	0	0	885	7	0	0	4	3	0
Precinct 9147 - Vote By Mail	0	0	0	0	0	765	4	0	0	4	0	0
Precinct 9147 - Election Day	1	0	0	0	0	225	1	0	0	0	1	0
Precinct 9147	1	0	0	0	0	990	5	0	0	4	1	0
Precinct 9148 - Vote By Mail	1	2	0	0	0	779	5	0	0	2	3	0
Precinct 9148 - Election Day	0	0	0	1	0	235	2	0	0	0	2	1
Precinct 9148	1	2	0	1	0	1,014	7	0	0	2	5	1
Precinct 9149 - Vote By Mail	0	0	0	1	0	813	3	0	0	2	1	0
Precinct 9149 - Election Day	0	0	0	0	1	178	3	0	0	1	2	1
Precinct 9149	0	0	0	1	1	991	6	0	0	3	3	1
Precinct 9151 - Vote By Mail	0	0	0	0	1	693	5	0	0	4	1	0
Precinct 9151 - Election Day	0	0	0	0	0	168	2	0	0	2	0	0
Precinct 9151	0	0	0	0	1	861	7	0	0	6	1	0
Precinct 9152 - Vote By Mail	1	0	0	0	1	550	3	0	0	1	2	0
Precinct 9152 - Election Day	0	0	0	2	0	187	4	0	0	1	3	1
Precinct 9152	1	0	0	2	1	737	7	0	0	2	5	1
Precinct 9201 - Vote By Mail	1	0	0	0	0	785	3	0	0	2	1	0
Precinct 9201 - Election Day	0	0	0	0	0	186	2	0	0	1	1	1
Precinct 9201	1	0	0	0	0	971	5	0	0	3	2	1
Precinct 9202 - Vote By Mail	0	0	0	0	0	819	2	0	0	2	0	0
Precinct 9202 - Election Day	0	0	0	1	0	177	4	0	0	3	1	0
Precinct 9202	0	0	0	1	0	996	6	0	0	5	1	0
Precinct 9203 - Vote By Mail	1	0	1	0	1	847	6	0	0	3	3	0
Precinct 9203 - Election Day	0	0	0	1	0	155	3	0	0	2	1	0
Precinct 9203	1	0	1	1	1	1,002	9	0	0	5	4	0
Precinct 9204 - Vote By Mail	0	0	0	0	0	686	7	0	0	7	0	0
Precinct 9204 - Election Day	0	0	0	0	0	176	1	0	0	1	0	0
Precinct 9204	0	0	0	0	0	862	8	0	0	8	0	0
Precinct 9205 - Vote By Mail	0	0	0	0	1	621	5	0	0	4	1	0
Precinct 9205 - Election Day	0	0	0	0	0	115	0	0	0	0	0	0
Precinct 9205	0	0	0	0	1	736	5	0	0	4	1	0
Precinct 9206 - Vote By Mail	1	0	0	0	1	741	7	0	0	5	2	0
Precinct 9206 - Election Day	1	0	0	1	0	188	3	0	0	1	2	0
Precinct 9206	2	0	0	1	1	929	10	0	0	6	4	0
Precinct 9207 - Vote By Mail	0	0	0	1	0	824	2	0	0	1	1	0
Precinct 9207 - Election Day	0	0	0	0	0	165	0	0	0	0	0	0
Precinct 9207	0	0	0	1	0	989	2	0	0	1	1	0
Precinct 9208 - Vote By Mail	0	0	0	0	0	808	3	0	0	3	0	0
Precinct 9208 - Election Day	0	0	0	1	0	179	1	0	0	0	1	0
Precinct 9208	0	0	0	1	0	987	4	0	0	3	1	0
Precinct 9209 - Vote By Mail	0	0	1	0	0	615	7	0	0	6	1	0
Precinct 9209 - Election Day	1	0	0	1	0	156	3	0	0	0	3	1
Precinct 9209	1	0	1	1	0	771	10	0	0	6	4	1
Precinct 9211 - Vote By Mail	0	0	0	0	0	730	3	0	0	3	0	0
Precinct 9211 - Election Day	1	0	0	0	0	161	1	0	0	0	1	0
Precinct 9211	1	0	0	0	0	891	4	0	0	3	1	0
Precinct 9212 - Vote By Mail	0	1	0	0	0	671	3	0	0	2	1	0
Precinct 9212 - Election Day	1	0	0	1	0	137	6	0	0	2	4	2
Precinct 9212	1	1	0	1	0	808	9	0	0	4	5	2
Precinct 9213 - Vote By Mail	0	0	0	1	1	776	5	0	0	3	2	0
Precinct 9213 - Election Day	0	0	0	0	0	161	2	0	0	2	0	0
Precinct 9213	0	0	0	1	1	937	7	0	0	5	2	0
Precinct 9214 - Vote By Mail	0	0	0	1	0	517	4	0	0	3	1	0
Precinct 9214 - Election Day	0	0	0	1	0	110	2	0	0	1	1	0
Precinct 9214	0	0	0	2	0	627	6	0	0	4	2	0
Precinct 9215 - Vote By Mail	0	0	0	0	1	524	2	0	0	1	1	0
Precinct 9215 - Election Day	0	0	0	0	0	120	0	0	0	0	0	0
Precinct 9215	0	0	0	0	1	644	2	0	0	1	1	0
Precinct 9216 - Vote By Mail	0	0	0	0	0	669	5	0	0	5	0	0
Precinct 9216 - Election Day	0	0	0	0	0	155	1	0	0	0	1	1
Precinct 9216	0	0	0	0	0	824	6	0	0	5	1	1
Precinct 9217 - Vote By Mail	0	0	0	0	0	588	3	0	0	3	0	0
Precinct 9217 - Election Day	0	1	0	0	0	117	3	0	0	2	1	0
Precinct 9217	0	1	0	0	0	705	6	0	0	5	1	0
Precinct 9218 - Vote By Mail	0	0	0	0	0	652	6	0	0	6	0	0
Precinct 9218 - Election Day	0	0	0	0	0	164	3	0	0	1	2	2
Precinct 9218	0	0	0	0	0	816	9	0	0	7	2	2
Precinct 9219 - Vote By Mail	0	0	0	1	0	646	4	0	0	3	1	0
Precinct 9219 - Election Day	0	0	0	0	0	144	1	0	0	1	0	0
Precinct 9219	0	0	0	1	0	790	5	0	0	4	1	0
Precinct 9221 - Vote By Mail	0	1	0	0	0	562	3	0	0	2	1	0
Precinct 9221 - Election Day	0	0	0	0	0	89	0	0	0	0	0	0
Precinct 9221	0	1	0	0	0	651	3	0	0	2	1	0
Precinct 9222 - Vote By Mail	0	0	0	0	0	773	10	0	0	10	0	0
Precinct 9222 - Election Day	0	0	0	0	0	137	2	0	0	1	1	1
Precinct 9222	0	0	0	0	0	910	12	0	0	11	1	1
Precinct 9223 - Vote By Mail	0	0	0	0	0	558	3	0	0	3	0	0
Precinct 9223 - Election Day	0	0	0	0	0	109	0	0	0	0	0	0
Precinct 9223	0	0	0	0	0	667	3	0	0	3	0	0
Precinct 9224 - Vote By Mail	0	0	0	0	1	768	3	0	0	2	1	0
Precinct 9224 - Election Day	0	0	0	0	0	181	1	0	0	0	1	1
Precinct 9224	0	0	0	0	1	949	4	0	0	2	2	1
Precinct 9225 - Vote By Mail	1	1	0	0	1	757	6	0	0	3	3	0
Precinct 9225 - Election Day	0	0	0	1	0	169	2	0	0	0	2	1
Precinct 9225	1	1	0	1	1	926	8	0	0	3	5	1
Precinct 9226 - Vote By Mail	0	1	0	1	0	741	2	0	0	0	2	0
Precinct 9226 - Election Day	0	0	0	0	0	155	1	0	0	1	0	0
Precinct 9226	0	1	0	1	0	896	3	0	0	1	2	0
Precinct 9227 - Vote By Mail	0	0	0	0	0	605	2	0	0	2	0	0
Precinct 9227 - Election Day	0	0	0	0	1	124	2	0	0	1	1	0
Precinct 9227	0	0	0	0	1	729	4	0	0	3	1	0
Precinct 9228 - Vote By Mail	0	0	0	0	0	578	3	0	0	3	0	0
Precinct 9228 - Election Day	0	0	0	0	0	160	0	0	0	0	0	0
Precinct 9228	0	0	0	0	0	738	3	0	0	3	0	0
Precinct 9229 - Vote By Mail	0	0	0	0	0	460	2	0	0	2	0	0
Precinct 9229 - Election Day	0	0	0	0	0	119	0	0	0	0	0	0
Precinct 9229	0	0	0	0	0	579	2	0	0	2	0	0
Precinct 9231 - Vote By Mail	0	1	0	0	1	726	8	0	0	6	2	0
Precinct 9231 - Election Day	0	0	0	1	0	236	1	0	0	0	1	0
Precinct 9231	0	1	0	1	1	962	9	0	0	6	3	0
Precinct 9232 - Vote By Mail	1	0	1	0	0	608	4	0	0	2	2	0
Precinct 9232 - Election Day	0	0	0	0	0	126	1	0	0	0	1	1
Precinct 9232	1	0	1	0	0	734	5	0	0	2	3	1
Precinct 9233 - Vote By Mail	0	0	0	0	0	668	5	0	0	5	0	0
Precinct 9233 - Election Day	1	0	0	0	0	150	2	0	0	1	1	0
Precinct 9233	1	0	0	0	0	818	7	0	0	6	1	0
Precinct 9234 - Vote By Mail	0	0	0	0	0	643	10	0	0	10	0	0
Precinct 9234 - Election Day	0	1	0	0	0	91	1	0	0	0	1	0
Precinct 9234	0	1	0	0	0	734	11	0	0	10	1	0
Precinct 9235 - Vote By Mail	0	0	0	0	0	703	5	0	0	5	0	0
Precinct 9235 - Election Day	0	0	0	0	1	160	2	0	0	0	2	1
Precinct 9235	0	0	0	0	1	863	7	0	0	5	2	1
Precinct 9236 - Vote By Mail	0	0	0	0	0	537	1	0	0	1	0	0
Precinct 9236 - Election Day	0	0	0	0	0	136	2	0	0	2	0	0
Precinct 9236	0	0	0	0	0	673	3	0	0	3	0	0
Precinct 9237 - Vote By Mail	0	0	0	0	1	779	5	0	0	4	1	0
Precinct 9237 - Election Day	1	0	0	0	0	118	3	0	0	1	2	1
Precinct 9237	1	0	0	0	1	897	8	0	0	5	3	1
Precinct 9238 - Vote By Mail	0	0	0	0	0	687	8	0	0	8	0	0
Precinct 9238 - Election Day	0	0	0	0	0	118	1	0	0	1	0	0
Precinct 9238	0	0	0	0	0	805	9	0	0	9	0	0
Precinct 9239 - Vote By Mail	0	0	0	0	0	740	3	0	0	3	0	0
Precinct 9239 - Election Day	0	0	0	0	0	124	0	0	0	0	0	0
Precinct 9239	0	0	0	0	0	864	3	0	0	3	0	0
Precinct 9241 - Vote By Mail	2	0	0	0	0	819	9	0	0	7	2	0
Precinct 9241 - Election Day	0	0	0	0	0	141	1	0	0	1	0	0
Precinct 9241	2	0	0	0	0	960	10	0	0	8	2	0
Precinct 9242 - Vote By Mail	1	0	0	0	0	771	4	0	0	3	1	0
Precinct 9242 - Election Day	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 9242	1	0	0	0	0	943	4	0	0	3	1	0
Precinct 9243 - Vote By Mail	0	0	0	0	1	480	5	0	0	4	1	0
Precinct 9243 - Election Day	0	0	0	0	0	123	2	0	0	2	0	0
Precinct 9243	0	0	0	0	1	603	7	0	0	6	1	0
Precinct 9244 - Vote By Mail	0	1	1	0	0	756	11	0	0	9	2	0
Precinct 9244 - Election Day	0	1	0	0	0	154	2	0	0	0	2	1
Precinct 9244	0	2	1	0	0	910	13	0	0	9	4	1
Precinct 9245 - Vote By Mail	0	0	1	1	0	616	5	0	0	3	2	0
Precinct 9245 - Election Day	0	1	0	0	0	98	1	0	0	0	1	0
Precinct 9245	0	1	1	1	0	714	6	0	0	3	3	0
Precinct 9246 - Vote By Mail	0	0	0	0	0	815	4	0	0	4	0	0
Precinct 9246 - Election Day	0	0	0	0	0	155	0	0	0	0	0	0
Precinct 9246	0	0	0	0	0	970	4	0	0	4	0	0
Precinct 9247 - Vote By Mail	1	1	0	0	0	764	6	0	0	4	2	0
Precinct 9247 - Election Day	0	0	0	0	0	148	3	0	0	2	1	1
Precinct 9247	1	1	0	0	0	912	9	0	0	6	3	1
Precinct 9248 - Vote By Mail	0	1	0	0	2	757	7	0	0	4	3	0
Precinct 9248 - Election Day	0	0	0	0	0	150	0	0	0	0	0	0
Precinct 9248	0	1	0	0	2	907	7	0	0	4	3	0
Precinct 9249 - Vote By Mail	0	0	0	0	0	724	4	0	0	4	0	0
Precinct 9249 - Election Day	0	0	0	0	0	191	0	0	0	0	0	0
Precinct 9249	0	0	0	0	0	915	4	0	0	4	0	0
Precinct 9251 - Vote By Mail	0	0	0	0	0	792	5	0	0	5	0	0
Precinct 9251 - Election Day	2	0	1	0	0	174	3	0	0	0	3	0
Precinct 9251	2	0	1	0	0	966	8	0	0	5	3	0
Precinct 9252 - Vote By Mail	0	0	0	0	0	811	1	0	0	1	0	0
Precinct 9252 - Election Day	0	0	0	0	0	142	2	0	0	0	2	2
Precinct 9252	0	0	0	0	0	953	3	0	0	1	2	2
Precinct 9253 - Vote By Mail	0	0	0	1	0	599	3	0	0	2	1	0
Precinct 9253 - Election Day	0	1	0	0	0	162	1	0	0	0	1	0
Precinct 9253	0	1	0	1	0	761	4	0	0	2	2	0
Precinct 9254 - Vote By Mail	0	0	0	0	0	758	7	0	0	7	0	0
Precinct 9254 - Election Day	0	0	0	0	0	163	0	0	0	0	0	0
Precinct 9254	0	0	0	0	0	921	7	0	0	7	0	0
Precinct 9255 - Vote By Mail	0	0	0	2	0	437	4	0	0	2	2	0
Precinct 9255 - Election Day	0	0	0	0	0	113	0	0	0	0	0	0
Precinct 9255	0	0	0	2	0	550	4	0	0	2	2	0
Precinct 9256 - Vote By Mail	0	1	0	0	0	367	5	0	0	4	1	0
Precinct 9256 - Election Day	0	0	0	0	0	95	1	0	0	0	1	1
Precinct 9256	0	1	0	0	0	462	6	0	0	4	2	1
Precinct 9257 MB - Vote By Mail	0	0	0	0	0	359	0	0	0	0	0	0
Precinct 9257 MB - Election Day	0	0	0	0	0	-39	0	0	0	0	0	0
Precinct 9257 MB	0	0	0	0	0	320	0	0	0	0	0	0
Precinct 9258 - Vote By Mail	0	0	0	0	0	583	2	0	0	2	0	0
Precinct 9258 - Election Day	0	0	0	0	0	120	2	0	0	2	0	0
Precinct 9258	0	0	0	0	0	703	4	0	0	4	0	0
Precinct 9401 - Vote By Mail	1	0	0	0	0	796	1	0	0	0	1	0
Precinct 9401 - Election Day	1	0	0	0	0	242	2	0	0	1	1	0
Precinct 9401	2	0	0	0	0	1,038	3	0	0	1	2	0
Precinct 9402 - Vote By Mail	0	0	0	0	0	775	4	0	0	4	0	0
Precinct 9402 - Election Day	0	0	0	0	0	242	0	0	0	0	0	0
Precinct 9402	0	0	0	0	0	1,017	4	0	0	4	0	0
Precinct 9403 - Vote By Mail	1	0	0	0	1	731	3	0	0	1	2	0
Precinct 9403 - Election Day	0	0	0	0	0	190	2	0	0	2	0	0
Precinct 9403	1	0	0	0	1	921	5	0	0	3	2	0
Precinct 9404 - Vote By Mail	0	0	2	0	0	753	5	0	0	3	2	0
Precinct 9404 - Election Day	0	0	1	0	0	191	1	0	0	0	1	0
Precinct 9404	0	0	3	0	0	944	6	0	0	3	3	0
Precinct 9405 - Vote By Mail	0	0	0	0	1	629	7	0	0	6	1	0
Precinct 9405 - Election Day	1	0	0	0	0	151	3	0	0	0	3	2
Precinct 9405	1	0	0	0	1	780	10	0	0	6	4	2
Precinct 9406 - Vote By Mail	0	0	1	2	0	695	5	0	0	2	3	0
Precinct 9406 - Election Day	0	0	0	1	0	188	1	0	0	0	1	0
Precinct 9406	0	0	1	3	0	883	6	0	0	2	4	0
Precinct 9407 - Vote By Mail	0	0	0	0	0	712	5	0	0	5	0	0
