Subtotal Area	SCOTT WIENER	ERIN SMITH	JACKIE FIELDER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7041 MB - Election Day	0	0	0	-4	0	0	0	0	0	0
Precinct 7041 MB	12	3	10	66	29	0	0	4	25	0
Precinct 7042 - Vote By Mail	111	24	65	514	221	0	0	21	200	0
Precinct 7042 - Election Day	22	10	20	146	59	0	0	7	52	0
Precinct 7042	133	34	85	660	280	0	0	28	252	0
Precinct 7043 - Vote By Mail	156	35	81	754	295	0	1	22	272	0
Precinct 7043 - Election Day	32	8	31	224	78	0	0	7	71	0
Precinct 7043	188	43	112	978	373	0	1	29	343	0
Precinct 7044 - Vote By Mail	72	22	48	586	148	0	1	5	142	0
Precinct 7044 - Election Day	18	1	8	266	33	0	0	5	28	1
Precinct 7044	90	23	56	852	181	0	1	10	170	1
Precinct 7045 - Vote By Mail	127	52	51	632	266	0	3	33	230	0
Precinct 7045 - Election Day	25	6	17	154	53	0	0	5	48	0
Precinct 7045	152	58	68	786	319	0	3	38	278	0
Precinct 7046 - Vote By Mail	70	21	30	334	132	0	0	11	121	0
Precinct 7046 - Election Day	21	4	19	96	48	0	0	4	44	0
Precinct 7046	91	25	49	430	180	0	0	15	165	0
Precinct 7047 - Vote By Mail	174	44	66	733	314	0	0	30	284	0
Precinct 7047 - Election Day	28	6	21	150	62	0	0	7	55	0
Precinct 7047	202	50	87	883	376	0	0	37	339	0
Precinct 7048 - Vote By Mail	151	30	56	685	267	0	1	29	237	0
Precinct 7048 - Election Day	29	3	14	196	56	0	0	10	46	0
Precinct 7048	180	33	70	881	323	0	1	39	283	0
Precinct 7049 - Vote By Mail	114	48	48	616	247	0	1	36	210	0
Precinct 7049 - Election Day	39	8	21	210	70	0	0	2	68	0
Precinct 7049	153	56	69	826	317	0	1	38	278	0
Precinct 7051 - Vote By Mail	145	51	69	715	306	0	1	40	265	0
Precinct 7051 - Election Day	35	11	18	165	70	0	0	6	64	0
Precinct 7051	180	62	87	880	376	0	1	46	329	0
Precinct 7052 - Vote By Mail	139	53	71	722	296	0	0	33	263	0
Precinct 7052 - Election Day	43	3	31	184	84	0	0	7	77	0
Precinct 7052	182	56	102	906	380	0	0	40	340	0
Precinct 7053 - Vote By Mail	113	43	40	542	227	0	0	31	196	0
Precinct 7053 - Election Day	30	0	6	43	42	0	0	6	36	0
Precinct 7053	143	43	46	585	269	0	0	37	232	0
Precinct 7054 - Vote By Mail	175	23	86	863	308	0	0	24	284	0
Precinct 7054 - Election Day	58	5	38	273	106	0	0	5	101	0
Precinct 7054	233	28	124	1,136	414	0	0	29	385	0
Precinct 7055 - Vote By Mail	156	37	74	732	291	0	0	24	267	0
Precinct 7055 - Election Day	44	1	20	94	77	0	0	11	66	1
Precinct 7055	200	38	94	826	368	0	0	35	333	1
Precinct 7056 - Vote By Mail	170	13	66	618	273	0	0	24	249	0
Precinct 7056 - Election Day	77	4	30	87	119	0	0	6	113	2
Precinct 7056	247	17	96	705	392	0	0	30	362	2
Precinct 7101 MB - Vote By Mail	55	1	27	162	99	0	1	15	83	0
Precinct 7101 MB - Election Day	3	0	0	-15	4	0	0	1	3	0
Precinct 7101 MB	58	1	27	147	103	0	1	16	86	0
Precinct 7201 - Vote By Mail	221	62	68	788	383	0	0	32	351	0
Precinct 7201 - Election Day	93	16	34	147	168	0	0	24	144	1
Precinct 7201	314	78	102	935	551	0	0	56	495	1
Precinct 7202 - Vote By Mail	176	57	48	708	308	0	0	27	281	0
Precinct 7202 - Election Day	88	17	34	143	156	0	0	17	139	0
Precinct 7202	264	74	82	851	464	0	0	44	420	0
Precinct 7203 - Vote By Mail	170	38	68	693	321	0	0	45	276	0
Precinct 7203 - Election Day	81	15	62	186	186	0	0	28	158	0
Precinct 7203	251	53	130	879	507	0	0	73	434	0
Precinct 7204 - Vote By Mail	245	50	88	773	421	0	1	37	383	0
Precinct 7204 - Election Day	74	12	21	126	122	0	0	15	107	0
Precinct 7204	319	62	109	899	543	0	1	52	490	0
Precinct 7205 - Vote By Mail	215	55	67	724	360	0	0	23	337	0
Precinct 7205 - Election Day	100	14	39	147	175	0	0	21	154	1
Precinct 7205	315	69	106	871	535	0	0	44	491	1
Precinct 7206 - Vote By Mail	67	14	35	299	129	0	0	13	116	0
Precinct 7206 - Election Day	54	4	33	78	102	0	0	11	91	0
Precinct 7206	121	18	68	377	231	0	0	24	207	0
Precinct 7207 - Vote By Mail	171	43	81	744	333	0	0	38	295	0
Precinct 7207 - Election Day	85	18	37	123	151	0	0	11	140	0
Precinct 7207	256	61	118	867	484	0	0	49	435	0
Precinct 7208 - Vote By Mail	134	36	61	492	253	0	0	22	231	0
Precinct 7208 - Election Day	56	7	21	78	94	0	1	9	84	0
Precinct 7208	190	43	82	570	347	0	1	31	315	0
Precinct 7209 - Vote By Mail	223	43	47	595	341	0	0	28	313	0
Precinct 7209 - Election Day	42	6	16	52	75	0	0	11	64	0
Precinct 7209	265	49	63	647	416	0	0	39	377	0
Precinct 7301 - Vote By Mail	182	42	68	813	317	0	1	24	292	0
Precinct 7301 - Election Day	61	14	46	201	141	0	0	20	121	0
Precinct 7301	243	56	114	1,014	458	0	1	44	413	0
Precinct 7302 - Vote By Mail	205	51	61	713	351	0	1	33	317	0
Precinct 7302 - Election Day	76	18	23	136	137	0	0	20	117	0
Precinct 7302	281	69	84	849	488	0	1	53	434	0
Precinct 7303 - Vote By Mail	229	37	70	869	376	0	0	40	336	0
Precinct 7303 - Election Day	85	12	39	199	155	0	0	18	137	1
Precinct 7303	314	49	109	1,068	531	0	0	58	473	1
Precinct 7304 - Vote By Mail	206	52	73	802	366	0	0	35	331	0
Precinct 7304 - Election Day	99	11	59	199	184	0	0	15	169	0
Precinct 7304	305	63	132	1,001	550	0	0	50	500	0
Precinct 7305 - Vote By Mail	192	68	91	713	386	0	0	35	351	0
Precinct 7305 - Election Day	85	19	38	154	154	0	0	12	142	0
Precinct 7305	277	87	129	867	540	0	0	47	493	0
Precinct 7306 - Vote By Mail	183	48	91	801	373	0	0	51	322	0
Precinct 7306 - Election Day	111	13	44	243	193	0	0	25	168	0
Precinct 7306	294	61	135	1,044	566	0	0	76	490	0
Precinct 7307 - Vote By Mail	151	30	70	605	272	0	0	21	251	0
Precinct 7307 - Election Day	63	7	39	169	126	0	0	16	110	1
Precinct 7307	214	37	109	774	398	0	0	37	361	1
Precinct 7308 - Vote By Mail	147	27	57	520	256	0	0	25	231	0
Precinct 7308 - Election Day	79	18	46	105	157	0	0	14	143	0
Precinct 7308	226	45	103	625	413	0	0	39	374	0
Precinct 7309 - Vote By Mail	177	43	74	691	324	0	0	30	294	0
Precinct 7309 - Election Day	99	16	55	167	190	0	0	20	170	0
Precinct 7309	276	59	129	858	514	0	0	50	464	0
Precinct 7311 - Vote By Mail	205	35	60	698	333	0	0	33	300	0
Precinct 7311 - Election Day	128	10	60	208	215	0	0	17	198	0
Precinct 7311	333	45	120	906	548	0	0	50	498	0
Precinct 7312 - Vote By Mail	236	51	67	700	394	0	0	40	354	0
Precinct 7312 - Election Day	93	13	31	110	160	0	0	23	137	0
Precinct 7312	329	64	98	810	554	0	0	63	491	0
Precinct 7313 - Vote By Mail	184	39	97	819	373	0	2	51	320	0
Precinct 7313 - Election Day	77	11	46	184	160	0	0	25	135	1
Precinct 7313	261	50	143	1,003	533	0	2	76	455	1
Precinct 7314 - Vote By Mail	129	32	42	612	226	0	0	23	203	0
Precinct 7314 - Election Day	43	6	21	147	83	0	0	13	70	0
Precinct 7314	172	38	63	759	309	0	0	36	273	0
Precinct 7315 - Vote By Mail	107	22	63	570	206	0	0	14	192	0
Precinct 7315 - Election Day	61	9	50	195	134	0	0	14	120	0
Precinct 7315	168	31	113	765	340	0	0	28	312	0
Precinct 7316 - Vote By Mail	139	23	70	654	261	0	1	28	232	0
Precinct 7316 - Election Day	54	8	56	178	130	0	0	12	118	0
Precinct 7316	193	31	126	832	391	0	1	40	350	0
Precinct 7317 - Vote By Mail	195	49	73	744	348	0	0	31	317	0
Precinct 7317 - Election Day	61	10	28	146	111	0	0	12	99	0
Precinct 7317	256	59	101	890	459	0	0	43	416	0
Precinct 7318 - Vote By Mail	173	28	49	605	293	0	2	41	250	0
Precinct 7318 - Election Day	53	14	20	118	106	0	0	19	87	0
Precinct 7318	226	42	69	723	399	0	2	60	337	0
Precinct 7319 - Vote By Mail	163	44	102	861	344	0	1	34	309	0
Precinct 7319 - Election Day	105	20	38	188	180	0	0	16	164	1
Precinct 7319	268	64	140	1,049	524	0	1	50	473	1
Precinct 7321 - Vote By Mail	101	21	53	557	202	0	2	25	175	0
Precinct 7321 - Election Day	41	8	22	102	84	0	0	13	71	0
Precinct 7321	142	29	75	659	286	0	2	38	246	0
Precinct 7322 - Vote By Mail	170	29	48	742	294	0	3	44	247	0
Precinct 7322 - Election Day	18	4	22	146	49	0	1	4	44	0
Precinct 7322	188	33	70	888	343	0	4	48	291	0
Precinct 7323 - Vote By Mail	212	42	75	790	368	0	0	39	329	0
Precinct 7323 - Election Day	76	12	46	166	157	0	0	22	135	1
Precinct 7323	288	54	121	956	525	0	0	61	464	1
Precinct 7324 - Vote By Mail	157	15	63	587	259	0	0	24	235	0
Precinct 7324 - Election Day	42	7	26	150	89	0	0	14	75	0
Precinct 7324	199	22	89	737	348	0	0	38	310	0
Precinct 7325 - Vote By Mail	166	31	83	714	326	0	0	46	280	0
Precinct 7325 - Election Day	65	10	36	172	123	0	0	11	112	1
Precinct 7325	231	41	119	886	449	0	0	57	392	1
Precinct 7326 - Vote By Mail	163	33	76	685	303	0	1	30	272	0
Precinct 7326 - Election Day	86	14	32	174	155	0	0	22	133	1
Precinct 7326	249	47	108	859	458	0	1	52	405	1
Precinct 7327 - Vote By Mail	139	35	32	561	230	0	1	23	206	0
Precinct 7327 - Election Day	26	5	13	126	49	0	0	5	44	0
Precinct 7327	165	40	45	687	279	0	1	28	250	0
Precinct 7328 - Vote By Mail	186	46	57	829	333	0	0	44	289	0
Precinct 7328 - Election Day	27	8	26	173	67	0	0	6	61	0
Precinct 7328	213	54	83	1,002	400	0	0	50	350	0
Precinct 7329 - Vote By Mail	128	46	30	556	227	0	0	23	204	0
Precinct 7329 - Election Day	36	10	17	95	76	0	0	12	64	1
Precinct 7329	164	56	47	651	303	0	0	35	268	1
Precinct 7331 - Vote By Mail	217	65	50	710	360	0	1	27	332	0
Precinct 7331 - Election Day	81	30	18	160	158	0	0	29	129	0
Precinct 7331	298	95	68	870	518	0	1	56	461	0
Precinct 7332 - Vote By Mail	121	28	82	654	262	0	1	30	231	0
Precinct 7332 - Election Day	68	6	57	136	147	0	0	16	131	0
Precinct 7332	189	34	139	790	409	0	1	46	362	0
Precinct 7333 - Vote By Mail	202	33	117	822	389	0	0	37	352	0
