Subtotal Area	JOHN RIZZO	BRIGITTE DAVILA	VICTOR OLIVIERI	THEA SELBY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7537 - None	0	0	0	0	752	0	0	0	0	0	0
Precinct 7538 - None	0	0	0	0	771	0	0	0	0	0	0
Precinct 7538 - None	0	0	0	0	771	0	0	0	0	0	0
Precinct 7539 - None	0	0	0	0	922	0	0	0	0	0	0
Precinct 7539 - None	0	0	0	0	922	0	0	0	0	0	0
Precinct 7541 - None	0	0	0	0	805	0	0	0	0	0	0
Precinct 7541 - None	0	0	0	0	805	0	0	0	0	0	0
Precinct 7542 - None	0	0	0	0	821	0	0	0	0	0	0
Precinct 7542 - None	0	0	0	0	821	0	0	0	0	0	0
Precinct 7543 - None	0	0	0	0	909	0	0	0	0	0	0
Precinct 7543 - None	0	0	0	0	909	0	0	0	0	0	0
Precinct 7544 - None	0	0	0	0	898	0	0	0	0	0	0
Precinct 7544 - None	0	0	0	0	898	0	0	0	0	0	0
Precinct 7545 - None	0	0	0	0	918	0	0	0	0	0	0
Precinct 7545 - None	0	0	0	0	918	0	0	0	0	0	0
Precinct 7546 - None	0	0	0	0	982	0	0	0	0	0	0
Precinct 7546 - None	0	0	0	0	982	0	0	0	0	0	0
Precinct 7547 - None	0	0	0	0	1,029	0	0	0	0	0	0
Precinct 7547 - None	0	0	0	0	1,029	0	0	0	0	0	0
Precinct 7548 - None	0	0	0	0	1,073	0	0	0	0	0	0
Precinct 7548 - None	0	0	0	0	1,073	0	0	0	0	0	0
Precinct 7549 - None	0	0	0	0	811	0	0	0	0	0	0
Precinct 7549 - None	0	0	0	0	811	0	0	0	0	0	0
Precinct 7551 - None	0	0	0	0	741	0	0	0	0	0	0
Precinct 7551 - None	0	0	0	0	741	0	0	0	0	0	0
Precinct 7552 - None	0	0	0	0	727	0	0	0	0	0	0
Precinct 7552 - None	0	0	0	0	727	0	0	0	0	0	0
Precinct 7553 MB - None	0	0	0	0	180	0	0	0	0	0	0
Precinct 7554 - None	0	0	0	0	808	0	0	0	0	0	0
Precinct 7554 - None	0	0	0	0	808	0	0	0	0	0	0
Precinct 7555 - None	0	0	0	0	886	0	0	0	0	0	0
Precinct 7555 - None	0	0	0	0	886	0	0	0	0	0	0
Precinct 7556/7557 - None	0	0	0	0	969	0	0	0	0	0	0
Precinct 7556/7557 - None	0	0	0	0	969	0	0	0	0	0	0
Precinct 7601 - None	0	0	0	0	767	0	0	0	0	0	0
Precinct 7601 - None	0	0	0	0	767	0	0	0	0	0	0
Precinct 7602 - None	0	0	0	0	901	0	0	0	0	0	0
Precinct 7602 - None	0	0	0	0	901	0	0	0	0	0	0
Precinct 7603 - None	0	0	0	0	830	0	0	0	0	0	0
Precinct 7603 - None	0	0	0	0	830	0	0	0	0	0	0
Precinct 7604 - None	0	0	0	0	954	0	0	0	0	0	0
Precinct 7604 - None	0	0	0	0	954	0	0	0	0	0	0
Precinct 7605 - None	0	0	0	0	648	0	0	0	0	0	0
Precinct 7605 - None	0	0	0	0	648	0	0	0	0	0	0
Precinct 7606 - None	0	0	0	0	924	0	0	0	0	0	0
Precinct 7606 - None	0	0	0	0	924	0	0	0	0	0	0
Precinct 7607 - None	0	0	0	0	960	0	0	0	0	0	0
