Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7632 - None	0	0	1,124	0	0	0	0	0
Precinct 7633 - None	0	0	741	0	0	0	0	0
Precinct 7633 - None	0	0	741	0	0	0	0	0
Precinct 7634 - None	0	0	900	0	0	0	0	0
Precinct 7634 - None	0	0	900	0	0	0	0	0
Precinct 7635 - None	0	0	840	0	0	0	0	0
Precinct 7635 - None	0	0	840	0	0	0	0	0
Precinct 7636 - None	0	0	938	0	0	0	0	0
Precinct 7636 - None	0	0	938	0	0	0	0	0
Precinct 7637 - None	0	0	809	0	0	0	0	0
Precinct 7637 - None	0	0	809	0	0	0	0	0
Precinct 7638 - None	0	0	1,467	0	0	0	0	0
Precinct 7638 - None	0	0	1,467	0	0	0	0	0
Precinct 7639 - None	0	0	1,011	0	0	0	0	0
Precinct 7639 - None	0	0	1,011	0	0	0	0	0
Precinct 7641 - None	0	0	972	0	0	0	0	0
Precinct 7641 - None	0	0	972	0	0	0	0	0
Precinct 7642 - None	0	0	937	0	0	0	0	0
Precinct 7642 - None	0	0	937	0	0	0	0	0
Precinct 7643 - None	0	0	920	0	0	0	0	0
Precinct 7643 - None	0	0	920	0	0	0	0	0
Precinct 7644 - None	0	0	1,175	0	0	0	0	0
Precinct 7644 - None	0	0	1,175	0	0	0	0	0
Precinct 7645 - None	0	0	640	0	0	0	0	0
Precinct 7645 - None	0	0	640	0	0	0	0	0
Precinct 7646 - None	0	0	1,100	0	0	0	0	0
Precinct 7646 - None	0	0	1,100	0	0	0	0	0
Precinct 7647 - None	0	0	1,075	0	0	0	0	0
Precinct 7647 - None	0	0	1,075	0	0	0	0	0
Precinct 7648 MB - None	0	0	1	0	0	0	0	0
Precinct 7649 - None	0	0	891	0	0	0	0	0
Precinct 7649 - None	0	0	891	0	0	0	0	0
Precinct 7651 - None	0	0	677	0	0	0	0	0
Precinct 7651 - None	0	0	677	0	0	0	0	0
Precinct 7652 - None	0	0	628	0	0	0	0	0
Precinct 7652 - None	0	0	628	0	0	0	0	0
Precinct 7653 - None	0	0	1,280	0	0	0	0	0
Precinct 7653 - None	0	0	1,280	0	0	0	0	0
