Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7335 - Vote By Mail	0	0	970	0	0	0	0	0
Precinct 7336 - Election Day	0	0	955	0	0	0	0	0
Precinct 7336 - Vote By Mail	0	0	955	0	0	0	0	0
Precinct 7337 - Election Day	0	0	851	0	0	0	0	0
Precinct 7337 - Vote By Mail	0	0	851	0	0	0	0	0
Precinct 7338 - Election Day	0	0	915	0	0	0	0	0
Precinct 7338 - Vote By Mail	0	0	915	0	0	0	0	0
Precinct 7339 - Election Day	0	0	669	0	0	0	0	0
Precinct 7339 - Vote By Mail	0	0	669	0	0	0	0	0
Precinct 7341 - Election Day	0	0	908	0	0	0	0	0
Precinct 7341 - Vote By Mail	0	0	908	0	0	0	0	0
Precinct 7342 - Election Day	0	0	947	0	0	0	0	0
Precinct 7342 - Vote By Mail	0	0	947	0	0	0	0	0
Precinct 7343 - Election Day	0	0	731	0	0	0	0	0
Precinct 7343 - Vote By Mail	0	0	731	0	0	0	0	0
Precinct 7344 - Election Day	0	0	1,110	0	0	0	0	0
Precinct 7344 - Vote By Mail	0	0	1,110	0	0	0	0	0
Precinct 7345 - Election Day	0	0	1,141	0	0	0	0	0
Precinct 7345 - Vote By Mail	0	0	1,141	0	0	0	0	0
Precinct 7346 - Election Day	0	0	920	0	0	0	0	0
Precinct 7346 - Vote By Mail	0	0	920	0	0	0	0	0
Precinct 7347 - Election Day	0	0	1,040	0	0	0	0	0
Precinct 7347 - Vote By Mail	0	0	1,040	0	0	0	0	0
Precinct 7348 - Election Day	0	0	861	0	0	0	0	0
Precinct 7348 - Vote By Mail	0	0	861	0	0	0	0	0
Precinct 7349 - Election Day	0	0	957	0	0	0	0	0
Precinct 7349 - Vote By Mail	0	0	957	0	0	0	0	0
Precinct 7501 - Election Day	0	0	565	0	0	0	0	0
Precinct 7501 - Vote By Mail	0	0	565	0	0	0	0	0
Precinct 7502 - Election Day	0	0	784	0	0	0	0	0
Precinct 7502 - Vote By Mail	0	0	784	0	0	0	0	0
Precinct 7503 - Election Day	0	0	764	0	0	0	0	0
Precinct 7503 - Vote By Mail	0	0	764	0	0	0	0	0
Precinct 7504 - Election Day	0	0	503	0	0	0	0	0
Precinct 7504 - Vote By Mail	0	0	503	0	0	0	0	0
Precinct 7505 - Election Day	0	0	869	0	0	0	0	0
Precinct 7505 - Vote By Mail	0	0	869	0	0	0	0	0
Precinct 7506 - Election Day	0	0	999	0	0	0	0	0
Precinct 7506 - Vote By Mail	0	0	999	0	0	0	0	0
Precinct 7507 - Election Day	0	0	955	0	0	0	0	0
Precinct 7507 - Vote By Mail	0	0	955	0	0	0	0	0
Precinct 7508 - Election Day	0	0	727	0	0	0	0	0
Precinct 7508 - Vote By Mail	0	0	727	0	0	0	0	0
Precinct 7509/7511 - Election Day	0	0	932	0	0	0	0	0
Precinct 7509/7511 - Vote By Mail	0	0	932	0	0	0	0	0
Precinct 7512 - Election Day	0	0	612	0	0	0	0	0
Precinct 7512 - Vote By Mail	0	0	612	0	0	0	0	0
Precinct 7513 - Election Day	0	0	818	0	0	0	0	0
Precinct 7513 - Vote By Mail	0	0	818	0	0	0	0	0
Precinct 7514 - Election Day	0	0	874	0	0	0	0	0
Precinct 7514 - Vote By Mail	0	0	874	0	0	0	0	0
Precinct 7515 - Election Day	0	0	869	0	0	0	0	0
Precinct 7515 - Vote By Mail	0	0	869	0	0	0	0	0
Precinct 7516 - Election Day	0	0	922	0	0	0	0	0
Precinct 7516 - Vote By Mail	0	0	922	0	0	0	0	0
Precinct 7517 - Election Day	0	0	863	0	0	0	0	0
Precinct 7517 - Vote By Mail	0	0	863	0	0	0	0	0
Precinct 7518 - Election Day	0	0	950	0	0	0	0	0
Precinct 7518 - Vote By Mail	0	0	950	0	0	0	0	0
Precinct 7519 - Election Day	0	0	737	0	0	0	0	0
Precinct 7519 - Vote By Mail	0	0	737	0	0	0	0	0
Precinct 7521 - Election Day	0	0	812	0	0	0	0	0
Precinct 7521 - Vote By Mail	0	0	812	0	0	0	0	0
Precinct 7522 - Election Day	0	0	764	0	0	0	0	0
Precinct 7522 - Vote By Mail	0	0	764	0	0	0	0	0
Precinct 7523 - Election Day	0	0	747	0	0	0	0	0
Precinct 7523 - Vote By Mail	0	0	747	0	0	0	0	0
Precinct 7524 - Election Day	0	0	615	0	0	0	0	0
Precinct 7524 - Vote By Mail	0	0	615	0	0	0	0	0
Precinct 7525 - Election Day	0	0	800	0	0	0	0	0
Precinct 7525 - Vote By Mail	0	0	800	0	0	0	0	0
Precinct 7526 - Election Day	0	0	1,011	0	0	0	0	0
Precinct 7526 - Vote By Mail	0	0	1,011	0	0	0	0	0
Precinct 7527/7528 - Election Day	0	0	725	0	0	0	0	0
Precinct 7527/7528 - Vote By Mail	0	0	725	0	0	0	0	0
Precinct 7529 - Election Day	0	0	948	0	0	0	0	0
Precinct 7529 - Vote By Mail	0	0	948	0	0	0	0	0
Precinct 7531 - Election Day	0	0	865	0	0	0	0	0
Precinct 7531 - Vote By Mail	0	0	865	0	0	0	0	0
Precinct 7532 - Election Day	0	0	852	0	0	0	0	0
Precinct 7532 - Vote By Mail	0	0	852	0	0	0	0	0
Precinct 7533 - Election Day	0	0	1,015	0	0	0	0	0
Precinct 7533 - Vote By Mail	0	0	1,015	0	0	0	0	0
Precinct 7534 - Election Day	0	0	936	0	0	0	0	0
Precinct 7534 - Vote By Mail	0	0	936	0	0	0	0	0
Precinct 7535 - Election Day	0	0	767	0	0	0	0	0
Precinct 7535 - Vote By Mail	0	0	767	0	0	0	0	0
Precinct 7536 - Election Day	0	0	863	0	0	0	0	0
Precinct 7536 - Vote By Mail	0	0	863	0	0	0	0	0
Precinct 7537 - Election Day	0	0	752	0	0	0	0	0
Precinct 7537 - Vote By Mail	0	0	752	0	0	0	0	0
Precinct 7538 - Election Day	0	0	771	0	0	0	0	0
Precinct 7538 - Vote By Mail	0	0	771	0	0	0	0	0
Precinct 7539 - Election Day	0	0	922	0	0	0	0	0
Precinct 7539 - Vote By Mail	0	0	922	0	0	0	0	0
Precinct 7541 - Election Day	0	0	805	0	0	0	0	0
Precinct 7541 - Vote By Mail	0	0	805	0	0	0	0	0
Precinct 7542 - Election Day	0	0	821	0	0	0	0	0
Precinct 7542 - Vote By Mail	0	0	821	0	0	0	0	0
Precinct 7543 - Election Day	0	0	909	0	0	0	0	0
