Subtotal Area	CYNTHIA MING-MEI LEE	ELIZABETH ZAREH	KWIXUAN H. MALOOF	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts - Total	126,913	20,723	55,070	481,991	253,583	246	155	49,475	203,707	1,001
All Precincts - Election Day	38,006	8,437	22,830	481,991	89,756	-68	37	20,002	69,785	512
All Precincts - Vote By Mail	88,907	12,286	32,240	481,991	163,827	314	118	29,473	133,922	489
Precinct 1101 - Election Day	30	6	29	544	83	0	0	18	65	0
Precinct 1101 - Vote By Mail	105	16	53	544	198	0	0	24	174	0
Precinct 1102 - Election Day	74	28	49	964	188	-2	0	38	152	1
Precinct 1102 - Vote By Mail	161	47	73	964	337	1	1	54	281	0
Precinct 1103 - Election Day	83	17	31	914	163	0	0	32	131	0
Precinct 1103 - Vote By Mail	200	36	59	914	348	1	0	50	297	2
Precinct 1104/1105 - Election Day	51	30	45	953	167	0	0	40	127	1
Precinct 1104/1105 - Vote By Mail	138	30	65	953	292	0	0	56	236	3
Precinct 1106 - Election Day	45	13	33	740	113	0	0	21	92	1
Precinct 1106 - Vote By Mail	132	22	48	740	231	0	0	29	202	0
Precinct 1107 - Election Day	40	14	29	721	101	0	0	17	84	1
Precinct 1107 - Vote By Mail	117	26	47	721	240	5	0	43	192	2
Precinct 1108 - Election Day	51	27	33	882	156	-1	0	44	113	2
Precinct 1108 - Vote By Mail	188	26	57	882	328	3	0	53	272	1
Precinct 1109 - Election Day	54	15	29	758	124	0	0	24	100	2
Precinct 1109 - Vote By Mail	165	19	43	758	265	0	1	37	227	0
Precinct 1111 - Election Day	54	20	32	938	132	-1	0	26	107	1
Precinct 1111 - Vote By Mail	188	33	42	938	330	3	1	61	265	2
Precinct 1112 - Election Day	38	14	25	702	96	0	0	19	77	0
Precinct 1112 - Vote By Mail	122	16	41	702	221	1	0	38	182	3
Precinct 1113 - Election Day	29	3	24	701	82	0	0	24	58	2
Precinct 1113 - Vote By Mail	148	29	39	701	272	2	1	50	219	3
Precinct 1114 - Election Day	44	26	34	915	139	0	0	34	105	1
Precinct 1114 - Vote By Mail	142	51	63	915	280	0	0	23	257	1
Precinct 1115 - Election Day	45	9	30	835	97	-1	0	14	84	0
Precinct 1115 - Vote By Mail	156	19	46	835	279	1	0	57	221	0
Precinct 1116 - Election Day	44	17	36	842	141	0	0	43	98	1
Precinct 1116 - Vote By Mail	147	22	49	842	275	1	0	55	219	1
Precinct 1117 - Election Day	46	27	30	827	138	-3	0	38	103	0
Precinct 1117 - Vote By Mail	123	26	53	827	240	1	0	36	203	1
Precinct 1118 - Election Day	57	28	47	974	158	0	0	23	135	3
Precinct 1118 - Vote By Mail	169	37	59	974	335	0	0	68	267	2
Precinct 1119 - Election Day	31	12	32	745	97	0	0	20	77	2
Precinct 1119 - Vote By Mail	132	34	59	745	274	0	0	47	227	2
Precinct 1121 - Election Day	39	24	24	653	104	-1	0	17	88	1
Precinct 1121 - Vote By Mail	109	27	41	653	221	2	1	41	177	0
Precinct 1122 - Election Day	27	11	17	607	69	0	0	12	57	2
Precinct 1122 - Vote By Mail	118	19	30	607	213	0	0	46	167	0
Precinct 1123 - Election Day	37	18	31	876	118	0	0	31	87	1
Precinct 1123 - Vote By Mail	144	30	41	876	254	1	0	38	215	0
Precinct 1124 - Election Day	33	15	23	773	109	0	0	37	72	1
Precinct 1124 - Vote By Mail	106	22	44	773	200	-1	0	28	173	1
Precinct 1125 - Election Day	25	9	24	987	80	-1	0	20	61	3
Precinct 1125 - Vote By Mail	173	52	44	987	329	-1	0	60	270	1
Precinct 1126 - Election Day	28	23	20	900	92	-2	0	20	74	3
Precinct 1126 - Vote By Mail	160	45	31	900	292	1	0	51	240	4
Precinct 1127 - Election Day	49	23	35	875	141	-1	0	33	109	2
Precinct 1127 - Vote By Mail	156	37	36	875	277	1	0	45	231	2
Precinct 1128 - Election Day	33	14	24	813	104	0	0	30	74	3
Precinct 1128 - Vote By Mail	135	40	33	813	246	0	1	37	208	0
Precinct 1129 - Election Day	50	24	15	924	120	0	0	30	90	1
Precinct 1129 - Vote By Mail	157	33	43	924	274	2	0	39	233	0
Precinct 1131 - Election Day	38	14	21	783	85	0	0	9	76	3
Precinct 1131 - Vote By Mail	165	38	38	783	288	1	0	44	243	2
Precinct 1132 - Election Day	39	19	32	910	112	0	0	21	91	1
Precinct 1132 - Vote By Mail	202	34	43	910	324	0	1	44	279	0
Precinct 1133 - Election Day	41	11	22	826	99	0	0	24	75	1
Precinct 1133 - Vote By Mail	165	33	42	826	292	-2	0	50	244	4
Precinct 1134 - Election Day	44	17	35	727	126	0	0	28	98	2
Precinct 1134 - Vote By Mail	139	26	27	727	241	0	0	48	193	1
Precinct 1135 - Election Day	35	9	13	511	71	0	0	13	58	1
Precinct 1135 - Vote By Mail	111	27	40	511	217	0	0	37	180	2
Precinct 1136 - Election Day	42	20	16	807	97	0	0	18	79	1
Precinct 1136 - Vote By Mail	159	38	41	807	287	1	2	46	238	0
Precinct 1141 - Election Day	63	16	40	998	149	0	0	29	120	1
Precinct 1141 - Vote By Mail	201	50	67	998	368	0	0	50	318	0
Precinct 1142 - Election Day	52	19	25	822	120	0	0	23	97	1
Precinct 1142 - Vote By Mail	123	36	64	822	266	1	1	41	223	0
Precinct 1143 - Election Day	46	33	46	989	147	-1	0	22	126	1
Precinct 1143 - Vote By Mail	126	48	69	989	311	0	1	62	248	5
Precinct 1144 - Election Day	50	22	43	870	148	-1	1	32	116	1
Precinct 1144 - Vote By Mail	136	30	59	870	264	-2	0	41	225	0
Precinct 1145 - Election Day	46	20	37	879	136	1	0	31	104	1
Precinct 1145 - Vote By Mail	203	29	80	879	370	0	0	58	312	0
Precinct 1146 - Election Day	36	23	44	971	124	1	0	18	105	2
Precinct 1146 - Vote By Mail	158	54	66	971	326	0	1	45	280	2
Precinct 1147 - Election Day	54	18	48	853	166	1	0	44	121	1
Precinct 1147 - Vote By Mail	133	37	70	853	279	-1	1	39	240	0
Precinct 1148 - Election Day	44	23	24	918	121	0	0	30	91	0
Precinct 1148 - Vote By Mail	177	35	46	918	314	1	0	54	259	1
Precinct 1149 - Election Day	44	31	37	873	148	-2	0	38	112	0
Precinct 1149 - Vote By Mail	144	43	54	873	285	0	1	41	243	2
Precinct 1152 - Election Day	46	20	37	838	125	-1	1	22	103	0
Precinct 1152 - Vote By Mail	171	27	39	838	286	1	0	46	239	2
Precinct 1153 - Election Day	58	23	18	909	139	0	0	40	99	0
Precinct 1153 - Vote By Mail	179	29	57	909	306	0	0	41	265	0
Precinct 7001 - Election Day	42	7	39	735	119	-2	0	32	89	1
Precinct 7001 - Vote By Mail	121	12	68	735	266	6	0	59	201	0
Precinct 7002 - Election Day	60	7	36	641	132	1	0	28	103	0
Precinct 7002 - Vote By Mail	92	7	53	641	173	0	0	21	152	0
Precinct 7003 - Election Day	78	8	54	864	188	-1	1	47	141	1
Precinct 7003 - Vote By Mail	185	14	74	864	340	1	1	65	273	0
Precinct 7004 - Election Day	93	5	30	835	175	-1	0	47	129	1
Precinct 7004 - Vote By Mail	160	19	76	835	306	6	0	43	257	2
Precinct 7005 - Election Day	78	9	57	812	180	-1	0	37	144	0
Precinct 7005 - Vote By Mail	145	14	83	812	295	2	0	51	242	0
Precinct 7006 - Election Day	60	16	85	884	213	-1	0	52	162	1
Precinct 7006 - Vote By Mail	132	21	93	884	290	1	0	42	247	1
Precinct 7007 - Election Day	106	17	64	916	233	-4	0	49	188	1
Precinct 7007 - Vote By Mail	195	7	70	916	323	2	0	48	273	1
Precinct 7008 - Election Day	83	9	45	861	187	0	0	50	137	0
Precinct 7008 - Vote By Mail	194	17	66	861	345	0	0	68	277	0
Precinct 7009 - Election Day	49	12	44	864	133	-1	0	29	105	0
Precinct 7009 - Vote By Mail	156	18	73	864	312	-2	0	67	247	0
Precinct 7011 - Election Day	54	16	34	976	141	0	0	34	107	3
Precinct 7011 - Vote By Mail	85	21	54	976	205	1	0	42	162	2
Precinct 7012 - Election Day	98	18	68	1,061	224	0	0	39	185	1
Precinct 7012 - Vote By Mail	198	23	90	1,061	383	0	0	71	312	1
Precinct 7013 - Election Day	61	9	35	805	132	0	0	26	106	1
Precinct 7013 - Vote By Mail	138	13	56	805	251	2	0	41	208	1
Precinct 7014 - Election Day	80	15	58	1,213	188	-2	0	37	153	0
Precinct 7014 - Vote By Mail	242	19	99	1,213	434	-1	0	75	360	0
Precinct 7015 MB - Vote By Mail	11	1	20	93	34	0	0	2	32	0
Precinct 7016 - Election Day	32	16	31	891	112	2	0	31	79	0
Precinct 7016 - Vote By Mail	119	23	32	891	221	2	0	43	176	2
Precinct 7017 - Election Day	26	10	11	734	79	0	0	32	47	0
Precinct 7017 - Vote By Mail	71	26	33	734	167	1	0	36	130	0
Precinct 7018 - Election Day	32	12	22	908	88	-1	0	23	66	0
Precinct 7018 - Vote By Mail	198	34	44	908	343	5	1	60	277	1
Precinct 7019 - Election Day	43	9	22	864	111	2	0	35	74	0
Precinct 7019 - Vote By Mail	214	20	64	864	349	-1	1	50	299	1
Precinct 7021 - Election Day	33	21	41	927	129	0	0	32	97	2
Precinct 7021 - Vote By Mail	101	24	49	927	220	-1	0	45	176	2
Precinct 7022 - Election Day	59	25	50	923	164	-1	0	31	134	0
Precinct 7022 - Vote By Mail	128	38	57	923	270	2	0	45	223	0
Precinct 7023 - Election Day	52	11	34	906	131	-1	0	32	100	3
Precinct 7023 - Vote By Mail	167	17	69	906	301	-3	0	50	254	1
Precinct 7024 - Election Day	9	7	2	386	30	0	0	10	20	2
Precinct 7024 - Vote By Mail	32	4	5	386	47	1	0	5	41	0
Precinct 7025 - Election Day	23	9	15	448	66	1	0	18	47	0
Precinct 7025 - Vote By Mail	35	8	25	448	78	2	0	8	68	0
Precinct 7026 - Election Day	41	12	15	971	90	-1	0	22	69	1
Precinct 7026 - Vote By Mail	246	23	28	971	350	8	0	45	297	0
Precinct 7027 - Election Day	42	14	32	845	136	2	0	45	89	1
Precinct 7027 - Vote By Mail	140	18	51	845	271	2	0	60	209	0
Precinct 7028 - Election Day	67	20	39	835	157	-1	0	32	126	0
Precinct 7028 - Vote By Mail	86	21	37	835	180	0	1	33	146	2
Precinct 7029 - Election Day	33	31	24	855	115	1	1	25	88	0
Precinct 7029 - Vote By Mail	85	13	37	855	166	2	1	26	137	2
Precinct 7030 - Election Day	57	8	17	729	94	0	0	12	82	0
Precinct 7030 - Vote By Mail	188	13	30	729	277	0	0	45	232	1
Precinct 7031 - Election Day	27	7	7	611	50	0	0	8	42	1
Precinct 7031 - Vote By Mail	133	19	30	611	224	0	1	41	182	0
Precinct 7032 - Election Day	34	18	35	867	126	-2	0	39	89	2
Precinct 7032 - Vote By Mail	122	27	42	867	238	1	0	46	191	0
Precinct 7033 - Election Day	37	27	37	765	135	0	0	30	105	4
Precinct 7033 - Vote By Mail	79	33	36	765	181	0	0	32	149	1
Precinct 7034 - Election Day	28	21	15	914	97	0	1	31	65	1
Precinct 7034 - Vote By Mail	64	21	35	914	154	-1	0	34	121	1
Precinct 7035 - Election Day	24	8	25	553	73	-1	0	17	57	0
Precinct 7035 - Vote By Mail	88	13	32	553	170	1	1	34	134	1
Precinct 7036 - Election Day	18	6	17	898	52	0	0	11	41	0
Precinct 7036 - Vote By Mail	173	29	18	898	265	0	1	38	226	6
Precinct 7037 - Election Day	24	11	9	730	73	0	0	28	45	1
Precinct 7037 - Vote By Mail	30	10	13	730	64	1	0	9	54	1
Precinct 7038 - Election Day	31	15	13	880	84	0	0	22	62	3
Precinct 7038 - Vote By Mail	147	27	33	880	255	0	1	46	208	1
Precinct 7039 - Election Day	44	21	26	768	111	0	0	19	92	1
Precinct 7039 - Vote By Mail	131	20	25	768	225	3	0	42	180	4
Precinct 7041 MB - Vote By Mail	12	2	4	60	24	1	0	5	18	0
Precinct 7042 - Election Day	37	6	17	632	75	0	0	12	63	3
Precinct 7042 - Vote By Mail	102	14	37	632	191	0	0	38	153	0
Precinct 7043 - Election Day	18	19	36	915	97	0	0	24	73	0
Precinct 7043 - Vote By Mail	143	30	65	915	282	0	1	42	239	1
Precinct 7044 - Election Day	22	14	15	805	86	-1	0	34	53	2
Precinct 7044 - Vote By Mail	59	21	24	805	125	-1	0	22	104	0
Precinct 7045 - Election Day	32	8	21	763	87	0	0	24	63	2
Precinct 7045 - Vote By Mail	169	21	25	763	282	1	2	64	215	0
Precinct 7046 - Election Day	25	7	14	385	54	0	0	8	46	0
Precinct 7046 - Vote By Mail	84	6	25	385	136	-1	0	22	115	0
Precinct 7047 - Election Day	25	10	16	781	68	-1	0	18	51	0
Precinct 7047 - Vote By Mail	186	19	42	781	298	2	0	46	250	3
Precinct 7048 - Election Day	34	20	18	815	94	0	0	19	75	3
Precinct 7048 - Vote By Mail	160	14	28	815	248	1	0	41	206	4
Precinct 7049 - Election Day	56	15	11	751	108	0	0	24	84	2
Precinct 7049 - Vote By Mail	153	10	26	751	241	0	0	50	191	2
Precinct 7051 - Election Day	22	11	21	839	70	-1	1	16	54	0
Precinct 7051 - Vote By Mail	189	22	32	839	302	2	0	53	247	4
Precinct 7052 - Election Day	63	14	25	806	120	-1	0	19	102	0
Precinct 7052 - Vote By Mail	183	12	36	806	278	1	0	46	231	0
Precinct 7053 - Election Day	22	3	9	548	44	0	0	10	34	0
Precinct 7053 - Vote By Mail	127	16	25	548	205	3	0	34	168	0
Precinct 7054 - Election Day	38	22	50	1,024	141	0	0	29	112	2
Precinct 7054 - Vote By Mail	120	30	78	1,024	275	1	2	42	230	2
Precinct 7055 - Election Day	39	3	19	699	83	-1	0	23	61	0
Precinct 7055 - Vote By Mail	155	4	48	699	256	2	0	46	208	1
Precinct 7101 MB - Vote By Mail	45	3	16	141	83	0	0	19	64	0
Precinct 7201 - Election Day	60	14	21	900	147	0	0	51	96	1
Precinct 7201 - Vote By Mail	171	30	59	900	333	0	0	73	260	0
Precinct 7202 - Election Day	67	12	23	830	138	-1	0	35	104	2
Precinct 7202 - Vote By Mail	158	31	29	830	271	-2	0	55	218	0
Precinct 7203 - Election Day	83	18	33	867	174	0	0	40	134	0
Precinct 7203 - Vote By Mail	126	25	34	867	243	1	0	55	187	2
Precinct 7204 - Election Day	61	22	29	888	157	0	0	45	112	0
Precinct 7204 - Vote By Mail	192	22	64	888	340	2	0	60	278	0
Precinct 7205 - Election Day	97	13	31	847	183	0	0	41	142	1
Precinct 7205 - Vote By Mail	202	18	40	847	309	0	0	49	260	0
Precinct 7206 - Election Day	40	13	20	375	88	0	0	14	74	1
Precinct 7206 - Vote By Mail	52	14	16	375	124	1	0	40	83	1
Precinct 7207 - Election Day	48	12	25	744	119	0	0	33	86	1
Precinct 7207 - Vote By Mail	123	20	42	744	231	2	0	44	185	0
Precinct 7208 - Election Day	30	12	18	567	76	0	0	16	60	0
Precinct 7208 - Vote By Mail	110	24	31	567	206	1	0	39	166	1
Precinct 7209 - Election Day	37	6	8	586	69	0	0	18	51	0
Precinct 7209 - Vote By Mail	208	21	33	586	326	3	1	60	262	0
Precinct 7301 - Election Day	74	19	19	1,002	150	0	0	35	115	3
Precinct 7301 - Vote By Mail	157	28	51	1,002	299	3	0	59	237	1
Precinct 7302 - Election Day	61	14	25	806	121	0	0	21	100	0
Precinct 7302 - Vote By Mail	221	16	55	806	352	0	0	59	293	1
Precinct 7303 - Election Day	72	9	39	986	167	-1	0	48	120	0
Precinct 7303 - Vote By Mail	181	13	57	986	318	1	0	65	252	1
Precinct 7304 - Election Day	101	16	34	972	203	1	0	51	151	0
Precinct 7304 - Vote By Mail	196	18	53	972	330	0	0	62	268	1
Precinct 7305 - Election Day	78	15	30	851	171	0	0	48	123	0
Precinct 7305 - Vote By Mail	166	15	50	851	306	-1	0	73	234	3
Precinct 7306 - Election Day	71	18	39	1,014	179	0	0	51	128	0
Precinct 7306 - Vote By Mail	171	20	46	1,014	302	-2	1	65	238	1
Precinct 7307 - Election Day	66	10	31	726	143	0	0	36	107	0
Precinct 7307 - Vote By Mail	123	14	31	726	226	2	0	56	168	0
Precinct 7308 - Election Day	67	10	27	598	133	0	0	28	105	1
Precinct 7308 - Vote By Mail	128	9	32	598	204	-1	0	36	169	0
Precinct 7309 - Election Day	74	10	37	826	160	-2	0	41	121	0
Precinct 7309 - Vote By Mail	111	19	35	826	209	0	0	44	165	0
Precinct 7311 - Election Day	79	16	39	901	175	-1	0	41	135	1
Precinct 7311 - Vote By Mail	152	18	48	901	266	0	0	48	218	0
Precinct 7312 - Election Day	70	8	16	810	128	0	0	34	94	0
Precinct 7312 - Vote By Mail	207	16	39	810	332	3	1	66	262	0
Precinct 7313 - Election Day	56	13	37	925	135	0	0	29	106	0
Precinct 7313 - Vote By Mail	200	22	40	925	315	-1	1	53	262	0
Precinct 7314 - Election Day	36	6	15	760	92	0	0	35	57	0
Precinct 7314 - Vote By Mail	129	10	23	760	213	-1	0	52	162	0
Precinct 7315 - Election Day	40	9	36	725	119	0	1	32	86	1
Precinct 7315 - Vote By Mail	106	12	29	725	178	1	0	30	147	0
Precinct 7316 - Election Day	44	10	40	824	122	0	0	27	95	1
Precinct 7316 - Vote By Mail	149	14	56	824	266	0	1	46	219	0
Precinct 7317 - Election Day	49	11	32	886	117	0	0	24	93	1
Precinct 7317 - Vote By Mail	199	26	50	886	340	2	0	61	277	2
Precinct 7318 - Election Day	46	8	25	709	123	0	0	42	81	2
Precinct 7318 - Vote By Mail	160	18	26	709	243	-2	0	41	204	0
Precinct 7319 - Election Day	91	17	33	1,035	182	0	1	40	141	0
Precinct 7319 - Vote By Mail	152	17	48	1,035	296	0	0	79	217	0
Precinct 7321 - Election Day	52	8	14	644	100	0	0	26	74	0
Precinct 7321 - Vote By Mail	133	12	25	644	211	0	1	40	170	0
Precinct 7322 - Election Day	25	7	12	859	60	0	0	16	44	0
Precinct 7322 - Vote By Mail	225	3	20	859	304	-1	1	55	249	1
Precinct 7323 - Election Day	67	14	29	881	146	1	1	34	110	0
Precinct 7323 - Vote By Mail	151	19	43	881	273	0	0	60	213	0
Precinct 7324 - Election Day	58	6	26	687	125	0	0	35	90	0
Precinct 7324 - Vote By Mail	125	9	21	687	198	0	1	42	155	0
Precinct 7325 - Election Day	63	11	28	870	150	0	0	47	103	1
Precinct 7325 - Vote By Mail	172	7	25	870	276	0	0	71	205	1
Precinct 7326 - Election Day	81	7	27	853	150	1	0	33	116	1
Precinct 7326 - Vote By Mail	143	16	42	853	256	-1	0	56	201	0
Precinct 7327 - Election Day	27	1	17	684	62	0	0	17	45	0
Precinct 7327 - Vote By Mail	202	12	17	684	277	1	0	45	231	0
Precinct 7328 - Election Day	33	6	11	950	70	0	1	19	50	0
Precinct 7328 - Vote By Mail	258	20	31	950	391	0	1	80	310	1
Precinct 7329 - Election Day	38	4	13	610	71	-1	0	17	55	0
Precinct 7329 - Vote By Mail	142	11	23	610	205	-2	0	30	177	1
Precinct 7331 - Election Day	73	10	16	860	130	0	0	30	100	1
Precinct 7331 - Vote By Mail	219	19	45	860	357	-1	0	73	285	2
Precinct 7332 - Election Day	62	7	48	799	154	0	0	34	120	3
Precinct 7332 - Vote By Mail	103	17	49	799	209	0	0	39	170	1
Precinct 7333 - Election Day	79	16	42	974	174	1	0	36	137	0
Precinct 7333 - Vote By Mail	174	18	55	974	323	0	0	74	249	2
Precinct 7334 - Election Day	47	4	36	854	113	0	1	25	87	0
Precinct 7334 - Vote By Mail	146	26	49	854	275	-2	0	55	222	1
Precinct 7335 - Election Day	63	10	33	936	144	0	0	37	107	1
Precinct 7335 - Vote By Mail	222	26	52	936	354	-2	1	54	301	1
Precinct 7336 - Election Day	75	13	32	920	155	2	0	33	120	0
Precinct 7336 - Vote By Mail	180	24	54	920	324	0	0	65	259	1
Precinct 7337 - Election Day	52	4	30	825	115	0	0	29	86	0
Precinct 7337 - Vote By Mail	174	12	53	825	305	0	1	64	240	1
Precinct 7338 - Election Day	55	3	17	884	100	1	0	24	75	0
Precinct 7338 - Vote By Mail	255	11	30	884	364	-3	0	71	296	0
Precinct 7339 - Election Day	49	8	21	618	111	-1	0	34	78	0
Precinct 7339 - Vote By Mail	96	11	43	618	181	1	1	29	150	0
Precinct 7341 - Election Day	52	13	31	877	124	0	0	28	96	0
Precinct 7341 - Vote By Mail	126	11	61	877	246	-2	0	50	198	0
Precinct 7342 - Election Day	100	18	63	911	234	3	0	49	182	1
Precinct 7342 - Vote By Mail	125	19	59	911	251	0	0	47	204	1
Precinct 7343 - Election Day	51	12	45	707	144	0	0	35	109	1
