Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7322 - Vote By Mail	160	67	859	304	-4	0	81	227
Precinct 7323 - Election Day	87	42	881	146	2	0	15	129
Precinct 7323 - Vote By Mail	167	79	881	273	0	0	27	246
Precinct 7324 - Election Day	69	43	687	125	0	0	13	112
Precinct 7324 - Vote By Mail	128	44	687	198	-3	0	29	172
Precinct 7325 - Election Day	92	31	870	150	0	0	27	123
Precinct 7325 - Vote By Mail	164	74	870	276	-1	0	39	238
Precinct 7326 - Election Day	81	44	853	150	0	0	25	125
Precinct 7326 - Vote By Mail	150	73	853	256	1	0	32	223
Precinct 7327 - Election Day	33	13	684	62	0	0	16	46
Precinct 7327 - Vote By Mail	158	65	684	277	-3	0	57	223
Precinct 7328 - Election Day	33	20	950	70	0	0	17	53
Precinct 7328 - Vote By Mail	202	78	950	391	-1	1	111	280
Precinct 7329 - Election Day	44	23	610	71	-1	0	5	67
Precinct 7329 - Vote By Mail	125	47	610	205	-1	1	33	172
Precinct 7331 - Election Day	84	35	860	130	0	0	11	119
Precinct 7331 - Vote By Mail	210	121	860	357	-3	0	29	331
Precinct 7332 - Election Day	96	41	799	154	0	0	17	137
Precinct 7332 - Vote By Mail	130	58	799	209	0	0	21	188
Precinct 7333 - Election Day	114	45	974	174	0	0	15	159
Precinct 7333 - Vote By Mail	178	99	974	323	3	1	42	277
Precinct 7334 - Election Day	78	27	854	113	0	0	8	105
Precinct 7334 - Vote By Mail	191	55	854	275	0	0	29	246
Precinct 7335 - Election Day	100	28	936	144	0	0	16	128
Precinct 7335 - Vote By Mail	218	100	936	354	-2	2	36	318
Precinct 7336 - Election Day	92	46	920	155	0	0	17	138
Precinct 7336 - Vote By Mail	176	115	920	324	0	0	33	291
Precinct 7337 - Election Day	74	29	825	115	-1	0	13	103
Precinct 7337 - Vote By Mail	212	61	825	305	2	0	30	273
Precinct 7338 - Election Day	60	20	884	100	1	0	19	80
Precinct 7338 - Vote By Mail	182	111	884	364	-7	0	78	293
Precinct 7339 - Election Day	67	32	618	111	-1	0	13	99
Precinct 7339 - Vote By Mail	113	46	618	181	-1	0	23	159
Precinct 7341 - Election Day	79	31	877	124	-1	0	15	110
Precinct 7341 - Vote By Mail	162	66	877	246	-1	0	19	228
Precinct 7342 - Election Day	141	67	911	234	2	0	24	208
Precinct 7342 - Vote By Mail	164	68	911	251	0	0	19	232
Precinct 7343 - Election Day	98	35	707	144	0	0	11	133
Precinct 7343 - Vote By Mail	131	38	707	186	1	0	16	169
Precinct 7344 - Election Day	124	40	1,039	179	-1	0	16	164
Precinct 7344 - Vote By Mail	229	85	1,039	334	-2	0	22	314
Precinct 7345 - Election Day	134	34	1,077	183	0	0	15	168
Precinct 7345 - Vote By Mail	177	75	1,077	283	2	0	29	252
Precinct 7346 - Election Day	116	31	877	168	1	0	20	147
Precinct 7346 - Vote By Mail	138	60	877	221	-1	0	24	198
Precinct 7347 - Election Day	99	26	968	137	0	0	12	125
Precinct 7347 - Vote By Mail	193	71	968	279	-1	0	16	264
