Subtotal Area	MARK BURNS	CATHLEEN GALGIANI	BARRY CHANG	MALIA COHEN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7611 - None	14	38	35	73	756	204	2	0	41	161	1
Precinct 7612 - None	10	12	15	17	574	76	0	1	21	54	0
Precinct 7612 - None	13	36	41	69	574	210	-1	1	50	160	1
Precinct 7613 - None	6	25	19	67	887	140	0	0	23	117	0
Precinct 7613 - None	18	35	14	103	887	215	2	2	41	170	0
Precinct 7614 - None	10	28	11	43	1,015	123	-2	0	31	94	2
Precinct 7614 - None	26	39	24	101	1,015	238	0	4	42	192	2
Precinct 7615 - None	7	23	14	34	832	108	0	4	24	80	2
Precinct 7615 - None	18	41	28	58	832	170	0	0	23	147	2
Precinct 7616 - None	3	30	9	52	951	129	-1	0	34	96	2
Precinct 7616 - None	18	56	17	157	951	331	2	0	79	250	2
Precinct 7617 - None	7	17	9	33	751	84	-1	2	17	66	0
Precinct 7617 - None	21	36	31	85	751	223	2	3	45	173	0
Precinct 7618 - None	7	16	5	60	866	123	1	0	32	90	2
Precinct 7618 - None	21	43	25	123	866	272	-3	0	61	214	2
Precinct 7619 - None	9	27	7	66	993	154	-1	0	45	110	1
Precinct 7619 - None	23	40	40	140	993	308	-1	0	64	245	2
Precinct 7621 - None	13	32	10	68	1,132	163	-1	0	39	125	2
Precinct 7621 - None	36	49	28	167	1,132	346	3	0	59	284	4
Precinct 7622 - None	6	21	7	42	964	99	2	1	19	77	1
Precinct 7622 - None	20	41	13	69	964	193	1	2	44	146	3
Precinct 7623 - None	5	35	19	47	712	122	-15	1	29	107	1
Precinct 7623 - None	20	30	18	83	712	196	2	0	43	151	0
Precinct 7624 - None	9	23	3	50	905	104	1	0	18	85	0
Precinct 7624 - None	20	45	14	78	905	195	1	0	36	158	1
Precinct 7625 - None	2	9	11	27	821	73	0	0	24	49	0
Precinct 7625 - None	48	58	116	113	821	415	0	4	76	335	0
Precinct 7626 - None	10	22	7	58	1,081	128	1	0	30	97	0
Precinct 7626 - None	34	49	19	156	1,081	361	1	0	97	263	5
Precinct 7627 - None	14	17	4	57	1,075	116	-1	0	24	93	1
Precinct 7627 - None	45	65	16	119	1,075	319	0	1	69	249	4
Precinct 7628 - None	7	27	4	70	906	156	0	0	47	109	1
Precinct 7628 - None	14	44	14	132	906	267	0	0	61	206	2
Precinct 7629 - None	5	17	6	55	805	108	-1	0	26	83	0
Precinct 7629 - None	12	31	10	93	805	206	2	1	55	148	2
Precinct 7631 - None	9	32	11	59	1,085	146	-1	0	35	112	1
Precinct 7631 - None	32	62	30	145	1,085	339	2	0	64	273	4
Precinct 7632 - None	8	39	12	68	965	167	1	0	35	131	4
Precinct 7632 - None	22	46	13	148	965	286	0	0	51	235	6
Precinct 7633 - None	6	24	8	30	702	90	0	0	22	68	0
Precinct 7633 - None	19	41	60	81	702	253	0	0	51	202	1
Precinct 7634 - None	18	14	15	39	859	120	1	1	30	88	2
Precinct 7634 - None	28	65	45	106	859	291	2	1	44	244	0
Precinct 7635 - None	5	21	9	35	782	89	0	0	17	72	2
Precinct 7635 - None	14	36	9	131	782	242	3	0	46	193	3
Precinct 7636 - None	7	25	11	50	920	134	-1	0	41	94	1
Precinct 7636 - None	27	31	17	116	920	251	-1	0	60	192	1
Precinct 7637 - None	11	15	6	31	732	89	0	0	24	65	2
Precinct 7637 - None	24	32	15	117	732	249	0	0	59	190	2
Precinct 7638 - None	22	19	11	50	1,365	129	0	0	27	102	0
Precinct 7638 - None	85	68	37	205	1,365	492	2	2	93	395	0
Precinct 7639 - None	13	12	10	39	962	110	1	0	33	76	2
Precinct 7639 - None	38	48	25	119	962	319	-2	1	89	231	1
Precinct 7641 - None	10	25	8	44	931	114	0	0	27	87	0
Precinct 7641 - None	56	56	34	147	931	374	0	0	78	296	3
Precinct 7642 - None	5	20	5	33	909	84	0	0	21	63	0
Precinct 7642 - None	29	46	15	87	909	268	0	0	91	177	0
Precinct 7643 - None	3	11	10	43	871	99	0	0	29	70	3
Precinct 7643 - None	31	61	74	122	871	355	2	1	63	289	1
Precinct 7644 - None	7	29	12	62	1,082	156	-2	0	48	110	0
Precinct 7644 - None	19	48	26	121	1,082	291	1	0	74	216	2
Precinct 7645 - None	12	10	5	24	631	63	0	0	12	51	0
Precinct 7645 - None	33	38	12	96	631	241	-3	0	65	179	0
Precinct 7646 - None	2	19	13	41	1,035	110	0	0	34	76	1
Precinct 7646 - None	35	46	23	145	1,035	326	0	0	76	250	1
Precinct 7647 - None	10	27	8	47	1,027	107	0	0	12	95	3
Precinct 7647 - None	12	40	13	77	1,027	185	0	0	42	143	1
Precinct 7648 MB - None	0	0	0	0	2	0	0	0	0	0	0
Precinct 7649 - None	9	15	10	42	877	97	1	0	18	78	2
Precinct 7649 - None	32	31	26	99	877	234	2	0	43	189	1
Precinct 7651 - None	5	8	5	22	555	48	0	0	8	40	0
Precinct 7651 - None	13	34	12	57	555	155	0	1	38	116	0
Precinct 7652 - None	5	16	6	28	580	68	-1	1	13	55	0
Precinct 7652 - None	9	22	11	75	580	163	-3	0	48	118	1
Precinct 7653 - None	13	29	10	42	1,092	137	1	0	39	97	3
Precinct 7653 - None	23	52	25	151	1,092	321	0	0	68	253	2
Precinct 7701 - None	17	47	8	93	1,012	225	0	0	60	165	0
Precinct 7701 - None	34	64	21	166	1,012	383	2	2	92	287	2
Precinct 7702 - None	11	18	13	49	704	117	0	0	25	92	1
Precinct 7702 - None	51	46	27	113	704	302	-1	0	65	238	1
Precinct 7703 MB - None	11	8	7	22	172	66	1	2	15	48	0
Precinct 7704 - None	29	31	14	82	977	208	0	0	50	158	2
Precinct 7704 - None	63	69	31	147	977	396	1	0	81	314	4
Precinct 7705 - None	14	16	15	51	547	123	0	0	27	96	0
Precinct 7705 - None	32	39	25	90	547	227	0	0	41	186	0
Precinct 7706 - None	25	33	9	95	821	189	0	0	27	162	0
Precinct 7706 - None	54	55	18	145	821	341	0	2	66	273	1
Precinct 7707 - None	18	42	16	82	839	200	1	1	40	158	0
Precinct 7707 - None	37	70	31	166	839	379	-1	0	76	304	0
Precinct 7708 - None	16	29	9	84	860	181	1	1	39	140	2
Precinct 7708 - None	47	66	37	188	860	400	-1	0	63	338	0
Precinct 7709 - None	7	13	5	39	383	85	1	0	20	64	0
Precinct 7709 - None	12	32	13	79	383	174	0	0	37	137	1
Precinct 7711 - None	8	28	7	77	772	162	0	0	41	121	1
Precinct 7711 - None	29	64	29	147	772	344	0	0	70	274	5
Precinct 7712 - None	9	15	10	71	524	131	0	0	26	105	0
Precinct 7712 - None	18	32	26	97	524	230	-1	0	52	179	6
Precinct 7801 - None	5	48	12	110	970	230	1	0	53	176	1
Precinct 7801 - None	35	72	4	210	970	424	-2	0	103	323	2
Precinct 7802 - None	5	41	12	91	762	205	-1	0	56	150	1
Precinct 7802 - None	17	53	5	151	762	313	2	2	83	226	0
Precinct 7803 - None	6	26	6	58	823	143	0	0	47	96	0
Precinct 7803 - None	27	69	10	199	823	412	-1	0	106	307	2
Precinct 7804 - None	11	42	9	120	891	236	0	0	51	185	3
Precinct 7804 - None	14	57	12	209	891	394	0	1	96	297	5
Precinct 7805 - None	1	34	4	96	785	176	1	0	39	136	1
Precinct 7805 - None	18	52	17	175	785	348	-1	0	85	264	2
Precinct 7806 - None	3	30	3	78	699	163	0	0	49	114	0
Precinct 7806 - None	18	45	9	123	699	283	3	0	84	196	1
Precinct 7807 - None	4	52	11	98	796	228	2	0	59	167	2
Precinct 7807 - None	11	46	6	129	796	273	0	0	77	196	4
Precinct 7808 - None	4	33	10	74	655	178	0	0	56	122	1
Precinct 7808 - None	7	33	10	120	655	243	0	0	70	173	3
Precinct 7809 - None	2	33	7	80	742	160	-1	0	39	122	0
Precinct 7809 - None	8	41	9	133	742	267	0	0	74	193	2
Precinct 7811 - None	8	37	7	89	726	186	-1	0	42	145	4
Precinct 7811 - None	8	46	9	117	726	243	1	1	55	186	6
Precinct 7812 - None	18	30	22	84	843	207	0	0	51	156	2
Precinct 7812 - None	7	42	18	154	843	292	-2	0	70	224	3
Precinct 7813 - None	4	44	15	113	988	251	-1	0	72	180	4
Precinct 7813 - None	10	50	16	189	988	362	1	0	95	266	1
Precinct 7814 - None	13	32	6	68	892	173	-1	1	51	122	3
Precinct 7814 - None	13	34	16	105	892	223	1	2	51	169	1
Precinct 7815 - None	10	25	10	94	914	178	-1	0	38	141	2
Precinct 7815 - None	15	69	14	224	914	407	0	0	83	324	2
Precinct 7816 - None	6	36	2	107	858	202	1	0	47	154	3
Precinct 7816 - None	13	67	12	209	858	390	0	0	86	304	3
Precinct 7817 - None	8	43	12	103	795	215	-1	0	50	166	0
Precinct 7817 - None	9	61	11	148	795	309	2	0	75	232	3
Precinct 7818 - None	6	37	7	77	823	172	0	0	43	129	2
Precinct 7818 - None	8	48	17	167	823	335	0	0	93	242	2
Precinct 7819 - None	6	29	6	83	760	169	0	1	44	124	0
Precinct 7819 - None	24	45	19	132	760	297	1	0	73	223	3
Precinct 7821 - None	4	49	15	111	947	229	0	1	49	179	0
Precinct 7821 - None	26	60	12	223	947	439	0	0	116	323	2
Precinct 7822 - None	13	47	4	126	927	244	0	0	54	190	0
Precinct 7822 - None	15	62	13	179	927	343	1	0	71	271	2
Precinct 7823 - None	1	52	4	119	857	237	0	0	59	178	2
Precinct 7823 - None	9	59	14	188	857	347	1	0	75	271	1
Precinct 7824 - None	5	19	6	87	756	170	0	0	51	119	2
Precinct 7824 - None	10	31	17	149	756	274	3	0	64	207	0
Precinct 7825 - None	6	26	7	81	580	160	-1	0	41	120	0
Precinct 7825 - None	8	35	6	96	580	215	0	0	65	150	5
Precinct 7826 - None	6	34	6	106	665	214	0	0	57	157	5
Precinct 7826 - None	7	25	6	90	665	194	-2	0	67	129	1
Precinct 7827 - None	8	29	10	90	828	199	0	0	60	139	2
Precinct 7827 - None	19	34	10	113	828	252	0	0	70	182	6
Precinct 7828 - None	9	46	14	88	976	205	2	0	46	157	0
Precinct 7828 - None	29	64	16	203	976	397	-1	0	85	313	1
Precinct 7829 - None	9	32	12	97	882	199	0	0	49	150	0
Precinct 7829 - None	22	67	11	208	882	391	-1	0	83	309	1
Precinct 7831 - None	9	30	9	102	828	202	1	0	50	151	1
Precinct 7831 - None	18	55	21	183	828	369	1	0	91	277	0
Precinct 7832 - None	7	27	5	75	781	162	-1	0	45	118	4
Precinct 7832 - None	20	48	9	177	781	343	-1	1	85	258	4
Precinct 7833 - None	6	28	4	77	745	182	-1	0	66	117	2
Precinct 7833 - None	11	39	7	135	745	271	0	0	78	193	1
Precinct 7834 - None	5	44	8	84	836	225	-1	0	80	146	5
Precinct 7834 - None	6	44	11	127	836	288	-1	0	97	192	4
Precinct 7835 - None	11	34	12	79	808	175	0	0	35	140	4
Precinct 7835 - None	32	40	26	178	808	338	-1	0	62	277	1
Precinct 7836 - None	5	49	8	95	979	199	0	0	41	158	1
Precinct 7836 - None	32	65	20	215	979	421	0	0	87	334	2
Precinct 7837 - None	10	41	10	110	883	237	1	0	62	174	3
Precinct 7837 - None	16	45	6	181	883	339	0	1	89	249	1
Precinct 7838 - None	9	38	11	93	891	210	0	0	59	151	0
Precinct 7838 - None	22	76	16	193	891	413	1	0	103	309	2
Precinct 7839 - None	6	22	6	77	830	172	-2	0	62	112	1
Precinct 7839 - None	24	54	12	180	830	389	1	0	115	273	3
Precinct 7841 - None	4	38	12	102	898	240	0	0	79	161	5
Precinct 7841 - None	14	63	11	162	898	353	0	0	98	255	5
Precinct 7842 - None	9	46	8	96	873	214	0	0	55	159	0
Precinct 7842 - None	21	40	9	143	873	308	2	1	86	219	6
Precinct 7843 - None	6	28	5	93	751	182	-1	0	49	134	2
Precinct 7843 - None	14	37	8	128	751	267	0	0	75	192	5
