Subtotal Area	MARK BURNS	CATHLEEN GALGIANI	BARRY CHANG	MALIA COHEN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9108 - None	16	24	39	92	761	220	-1	0	50	171	0
Precinct 9109 - None	23	22	15	92	848	205	-1	0	52	154	2
Precinct 9109 - None	27	43	29	123	848	285	4	1	58	222	0
Precinct 9111 - None	13	28	8	67	756	150	0	2	31	117	1
Precinct 9111 - None	32	30	21	93	756	226	-1	1	50	176	0
Precinct 9112 - None	18	31	15	102	918	211	0	0	42	169	3
Precinct 9112 - None	25	43	33	117	918	295	0	1	75	219	1
Precinct 9113 - None	21	24	17	108	959	231	0	0	58	173	3
Precinct 9113 - None	46	33	33	151	959	351	1	0	87	263	0
Precinct 9114 - None	13	22	13	80	820	170	0	0	39	131	3
Precinct 9114 - None	22	44	38	108	820	273	1	2	56	214	2
Precinct 9115 - None	16	21	18	76	873	172	0	0	40	132	1
Precinct 9115 - None	26	35	24	129	873	287	2	1	69	215	1
Precinct 9116 - None	16	20	16	89	903	193	2	0	43	148	7
Precinct 9116 - None	32	43	22	125	903	314	4	0	84	226	4
Precinct 9117 - None	18	32	9	77	756	180	2	0	42	136	0
Precinct 9117 - None	36	40	40	116	756	285	1	1	50	233	1
Precinct 9118 - None	22	22	19	74	923	184	0	0	47	137	0
Precinct 9118 - None	30	36	53	98	923	268	0	0	49	219	2
Precinct 9119 - None	11	25	8	65	856	152	-2	0	43	111	2
Precinct 9119 - None	39	42	53	137	856	323	0	2	50	271	0
Precinct 9121 - None	29	24	17	70	890	188	0	0	46	142	2
Precinct 9121 - None	30	37	45	98	890	274	0	0	62	212	2
Precinct 9122 - None	11	16	15	54	913	131	0	0	35	96	0
Precinct 9122 - None	50	27	61	102	913	292	1	0	49	242	2
Precinct 9123 - None	22	25	14	75	829	175	0	0	38	137	1
Precinct 9123 - None	42	39	43	104	829	270	1	0	38	231	3
Precinct 9124 - None	18	18	14	67	832	150	0	0	33	117	0
Precinct 9124 - None	44	25	45	115	832	290	1	1	58	230	1
Precinct 9125 - None	12	17	18	82	822	159	1	0	28	130	1
Precinct 9125 - None	25	37	49	129	822	299	-3	1	60	241	1
Precinct 9126 - None	24	20	17	82	945	186	0	0	41	145	2
Precinct 9126 - None	58	34	54	133	945	350	0	1	68	281	2
Precinct 9127 - None	19	25	22	86	908	209	0	0	54	155	3
Precinct 9127 - None	34	38	36	132	908	315	-1	0	74	242	2
Precinct 9128 - None	16	27	20	76	805	188	0	0	46	142	3
Precinct 9128 - None	46	31	33	127	805	296	0	0	57	239	2
Precinct 9129 - None	15	27	15	77	713	173	0	0	38	135	1
Precinct 9129 - None	25	26	26	99	713	225	3	0	44	178	2
Precinct 9131 - None	12	16	13	77	740	151	0	0	30	121	3
Precinct 9131 - None	35	35	40	107	740	274	2	1	51	220	3
Precinct 9132 - None	9	21	12	72	827	167	0	0	50	117	3
Precinct 9132 - None	21	32	28	106	827	251	0	2	60	189	2
Precinct 9133 - None	5	18	19	105	1,007	188	0	0	41	147	0
Precinct 9133 - None	35	51	64	165	1,007	388	1	1	68	318	3
Precinct 9134 - None	11	8	8	69	893	132	0	0	33	99	3
Precinct 9134 - None	38	35	24	130	893	297	3	1	66	227	0
Precinct 9135 - None	22	25	11	54	778	149	0	0	36	113	1
Precinct 9135 - None	54	40	12	114	778	269	1	0	48	220	0
Precinct 9136 - None	13	14	18	102	894	191	0	0	41	150	3
Precinct 9136 - None	27	39	31	123	894	289	4	1	61	223	3
Precinct 9137 - None	33	25	16	82	946	201	0	0	43	158	2
Precinct 9137 - None	42	44	53	114	946	323	3	1	65	254	1
Precinct 9138 - None	14	18	19	62	892	155	-1	0	42	114	1
Precinct 9138 - None	38	44	52	132	892	323	-2	0	57	268	2
Precinct 9139 - None	22	19	17	65	912	163	-1	0	41	123	0
Precinct 9139 - None	67	38	67	126	912	356	1	1	55	299	1
Precinct 9141 - None	24	23	16	65	904	168	2	0	36	130	2
Precinct 9141 - None	35	44	41	140	904	328	-1	1	66	262	2
Precinct 9142 - None	15	33	20	111	921	219	1	0	33	185	6
Precinct 9142 - None	26	40	48	123	921	288	-1	0	52	237	0
Precinct 9143 - None	17	24	22	81	887	196	0	0	50	146	2
Precinct 9143 - None	45	45	39	115	887	315	3	0	67	245	1
Precinct 9144 - None	23	26	15	102	931	221	1	0	52	168	2
Precinct 9144 - None	43	53	36	120	931	322	-2	0	71	253	1
Precinct 9145 - None	18	31	16	79	837	197	0	0	52	145	1
Precinct 9145 - None	35	34	31	113	837	282	0	0	67	215	2
