Subtotal Area	KONSTANTINOS RODITIS	MARY LOU FINLEY	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Supervisorial District 2	3,032	494	15,915	48,242	24,389	0	10	4,905	19,474	33
Supervisorial District 3	1,580	564	12,283	38,273	18,567	0	6	4,107	14,454	27
Supervisorial District 4	2,320	724	14,896	41,216	21,994	0	5	4,004	17,985	45
Supervisorial District 5	1,221	1,023	20,372	52,114	28,694	0	15	6,006	22,673	57
Supervisorial District 6	1,341	867	11,426	41,151	17,498	0	14	3,810	13,674	40
Supervisorial District 7	2,801	787	17,971	46,301	26,230	0	10	4,609	21,611	52
Supervisorial District 8	1,478	1,021	26,142	56,415	36,015	0	8	7,312	28,695	54
Supervisorial District 9	987	1,044	15,953	41,665	22,565	0	11	4,510	18,044	60
Supervisorial District 10	1,038	928	12,107	39,848	17,900	0	6	3,782	14,112	39
Supervisorial District 11	1,432	862	11,636	35,847	17,300	0	13	3,294	13,993	63
Bayview/Hunters Point	416	503	5,198	19,131	7,881	0	4	1,741	6,136	19
Chinatown	662	208	5,328	16,742	8,038	0	4	1,825	6,209	11
Civic Center/Downtown	911	641	7,894	27,631	12,231	0	9	2,750	9,472	26
Diamond Heights	249	121	3,234	6,857	4,487	0	1	874	3,612	8
Excelsior	1,141	607	8,643	26,541	12,895	0	9	2,457	10,429	38
Haight Ashbury	273	278	6,025	14,552	8,410	0	5	1,819	6,586	10
Ingleside	378	303	3,737	11,506	5,461	0	4	1,011	4,446	28
Inner Sunset	274	180	3,999	9,393	5,438	0	2	972	4,464	11
Lake Merced	446	148	2,235	8,641	3,424	0	3	583	2,838	9
Laurel Heights/Anza Vista	360	154	3,627	9,744	5,037	0	2	890	4,145	4
Marina Pacific Heights	2,405	415	12,281	38,757	19,070	0	6	3,934	15,130	29
Mission	574	751	11,540	30,096	16,088	0	5	3,169	12,914	49
Noe Valley	474	274	7,631	16,415	10,584	0	2	2,188	8,394	15
North Bernal Heights	136	193	4,061	8,622	5,494	0	2	1,087	4,405	15
North Embarcadero	358	105	2,363	6,827	3,580	0	0	752	2,828	2
Portola	413	230	2,850	8,914	4,445	0	2	939	3,504	11
Potrero Hill	443	252	5,623	15,511	7,917	0	2	1,586	6,329	11
Richmond	1,677	671	13,896	35,688	19,724	0	7	3,429	16,288	44
Sea Cliff/Presidio Heights	571	91	3,000	7,813	4,593	0	2	921	3,670	8
South of Bernal Heights	235	204	3,906	9,230	5,452	0	4	1,094	4,354	9
South of Market	847	403	6,615	23,278	10,026	0	7	2,132	7,887	22
Sunset	2,301	712	14,667	40,651	21,684	0	5	3,954	17,725	45
Upper Market/Eureka Valley	411	319	8,885	18,424	12,111	0	3	2,483	9,625	10
Visitation Valley	264	195	2,062	7,867	3,226	0	0	694	2,532	11
West of Twin Peaks	2,221	556	14,298	33,960	20,797	0	6	3,678	17,113	38
Western Addition	673	557	10,919	29,200	15,490	0	9	3,297	12,184	35
