Subtotal Area	KONSTANTINOS RODITIS	MARY LOU FINLEY	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9225 - Vote By Mail	38	3	150	898	243	0	0	50	193	2
Precinct 9226 - Election Day	27	2	85	905	143	0	0	28	115	1
Precinct 9226 - Vote By Mail	39	2	193	905	312	0	0	77	235	1
Precinct 9227 - Election Day	14	3	99	729	140	0	0	23	117	1
Precinct 9227 - Vote By Mail	43	5	186	729	304	0	1	69	234	0
Precinct 9228 - Election Day	21	1	106	726	175	0	0	47	128	0
Precinct 9228 - Vote By Mail	50	0	168	726	277	0	1	57	219	1
Precinct 9229 - Election Day	12	3	85	596	130	0	0	29	101	1
Precinct 9229 - Vote By Mail	31	4	141	596	219	0	0	43	176	0
Precinct 9231 - Election Day	19	1	157	919	221	0	0	44	177	0
Precinct 9231 - Vote By Mail	30	7	211	919	294	0	0	46	248	0
Precinct 9232 - Election Day	12	5	100	701	151	0	0	34	117	0
Precinct 9232 - Vote By Mail	35	2	193	701	274	0	0	44	230	0
Precinct 9233 - Election Day	14	2	88	774	139	0	0	35	104	0
Precinct 9233 - Vote By Mail	51	5	179	774	308	0	0	73	235	0
Precinct 9234 - Election Day	13	3	80	731	131	0	0	35	96	0
Precinct 9234 - Vote By Mail	41	5	186	731	281	0	0	48	233	1
Precinct 9235 - Election Day	24	4	111	842	174	0	0	35	139	0
Precinct 9235 - Vote By Mail	53	8	186	842	298	0	0	51	247	0
Precinct 9236 - Election Day	19	3	74	658	130	0	0	34	96	0
Precinct 9236 - Vote By Mail	16	3	143	658	207	0	0	44	163	1
Precinct 9237 - Election Day	12	2	96	880	145	0	0	35	110	0
Precinct 9237 - Vote By Mail	43	5	209	880	331	0	0	74	257	0
Precinct 9238 - Election Day	16	3	81	792	130	0	0	29	101	1
Precinct 9238 - Vote By Mail	47	1	162	792	271	0	0	61	210	0
Precinct 9239 - Election Day	13	5	73	835	117	0	0	25	92	1
Precinct 9239 - Vote By Mail	56	1	197	835	318	0	0	64	254	0
Precinct 9241 - Election Day	18	3	113	961	158	0	0	23	135	1
Precinct 9241 - Vote By Mail	46	5	222	961	322	0	0	48	274	1
Precinct 9242 - Election Day	22	2	92	940	154	0	0	38	116	0
Precinct 9242 - Vote By Mail	31	5	212	940	300	0	0	52	248	0
Precinct 9243 - Election Day	13	0	89	572	135	0	0	33	102	0
Precinct 9243 - Vote By Mail	19	2	133	572	188	0	0	33	155	1
Precinct 9244 - Election Day	5	8	106	880	149	0	0	29	120	1
Precinct 9244 - Vote By Mail	13	2	200	880	269	0	0	54	215	0
Precinct 9245 - Election Day	10	0	87	706	128	0	0	29	99	2
Precinct 9245 - Vote By Mail	20	1	161	706	226	0	0	44	182	0
Precinct 9246 - Election Day	14	2	98	910	139	0	0	25	114	0
Precinct 9246 - Vote By Mail	36	3	200	910	299	0	0	60	239	0
Precinct 9247 - Election Day	18	9	97	936	151	0	0	27	124	0
Precinct 9247 - Vote By Mail	28	5	220	936	303	0	0	50	253	0
Precinct 9248 - Election Day	12	9	117	898	181	0	0	43	138	0
Precinct 9248 - Vote By Mail	23	3	195	898	282	0	0	61	221	0
Precinct 9249 - Election Day	20	4	116	910	187	0	0	47	140	0
Precinct 9249 - Vote By Mail	32	4	219	910	314	0	0	58	256	1
Precinct 9251 - Election Day	17	4	144	946	204	0	0	39	165	0
Precinct 9251 - Vote By Mail	28	7	250	946	342	0	0	57	285	0
Precinct 9252 - Election Day	8	5	103	913	140	0	0	23	117	1
Precinct 9252 - Vote By Mail	38	12	245	913	352	0	0	57	295	0
Precinct 9253 - Election Day	11	3	85	751	138	0	0	39	99	0
Precinct 9253 - Vote By Mail	33	5	180	751	272	0	1	53	218	0
Precinct 9254 - Election Day	8	3	123	889	168	0	0	33	135	1
Precinct 9254 - Vote By Mail	28	4	239	889	318	0	0	47	271	0
Precinct 9255 - Election Day	8	3	97	545	126	0	0	18	108	0
Precinct 9255 - Vote By Mail	8	7	94	545	128	0	0	19	109	0
Precinct 9256 - Election Day	3	3	53	433	77	0	0	18	59	0
Precinct 9256 - Vote By Mail	7	4	77	433	103	0	0	15	88	0
Precinct 9257 MB - Vote By Mail	8	1	121	312	150	0	0	20	130	0
Precinct 9258 - Election Day	7	4	95	699	127	0	0	21	106	0
Precinct 9258 - Vote By Mail	19	6	181	699	244	0	1	37	206	0
Precinct 9401 - Election Day	9	14	131	970	194	0	0	39	155	1
Precinct 9401 - Vote By Mail	22	11	208	970	293	0	0	51	242	1
Precinct 9402 - Election Day	11	8	135	931	197	0	1	42	154	0
Precinct 9402 - Vote By Mail	29	9	208	931	307	0	0	61	246	0
Precinct 9403 - Election Day	12	7	125	853	167	0	0	23	144	0
Precinct 9403 - Vote By Mail	35	10	198	853	286	0	0	42	244	1
Precinct 9404 - Election Day	18	8	95	889	153	0	0	32	121	0
Precinct 9404 - Vote By Mail	33	6	211	889	320	0	0	70	250	0
Precinct 9405 - Election Day	18	3	105	757	160	0	0	34	126	0
Precinct 9405 - Vote By Mail	29	6	172	757	245	0	0	37	208	1
Precinct 9406 - Election Day	21	11	119	815	179	0	0	27	152	1
Precinct 9406 - Vote By Mail	28	11	194	815	277	0	0	44	233	0
Precinct 9407 - Election Day	17	8	130	861	191	0	0	36	155	0
Precinct 9407 - Vote By Mail	35	10	197	861	284	0	0	42	242	0
Precinct 9408 - Election Day	5	13	127	837	187	0	0	42	145	0
Precinct 9408 - Vote By Mail	13	6	186	837	246	0	0	41	205	0
Precinct 9409 - Election Day	7	7	107	565	140	0	0	19	121	0
Precinct 9409 - Vote By Mail	12	5	122	565	170	0	0	31	139	0
Precinct 9411 - Election Day	7	10	124	936	175	0	0	33	142	1
Precinct 9411 - Vote By Mail	19	5	194	936	261	0	0	41	220	2
Precinct 9412 - Election Day	14	11	116	843	164	0	0	22	142	1
Precinct 9412 - Vote By Mail	22	13	195	843	285	0	0	54	231	1
Precinct 9413 - Election Day	16	13	109	858	172	0	0	34	138	0
Precinct 9413 - Vote By Mail	24	10	225	858	310	0	1	50	259	0
Precinct 9414 - Election Day	13	2	101	862	159	0	1	41	117	1
Precinct 9414 - Vote By Mail	32	9	218	862	307	0	0	47	260	1
Precinct 9415 - Election Day	9	4	81	755	121	0	0	26	95	1
Precinct 9415 - Vote By Mail	33	5	194	755	284	0	0	50	234	2
Precinct 9416 - Election Day	13	8	142	962	198	0	0	34	164	1
Precinct 9416 - Vote By Mail	20	5	226	962	316	0	0	64	252	1
Precinct 9417 - Election Day	9	4	77	714	117	0	0	27	90	0
Precinct 9417 - Vote By Mail	39	9	192	714	286	0	0	45	241	1
Precinct 9418 - Election Day	12	3	109	753	157	0	0	33	124	0
Precinct 9418 - Vote By Mail	31	6	168	753	269	0	0	63	206	1
Precinct 9419 - Election Day	19	3	107	893	167	0	0	38	129	0
