Subtotal Area	JOSH JONES	J. BRIBIESCA	GLORIA ESTELA LA RIVA	PETER Y LIU	ANTONIO VILLARAIGOSA	YVONNE GIRARD	ROBERT DAVIDSON GRIFFIS	SHUBHAM GOEL	TRAVIS ALLEN	AKINYEMI AGBEDE	JOHNNY WATTENBURG	NICKOLAS WILDSTAR	DESMOND SILVEIRA	MICHAEL SHELLENBERGER	ZOLTAN ISTVAN	CHRISTOPHER N. CARLSON	THOMAS JEFFERSON CARES	JOHN CHIANG	JOHN H. COX	AMANDA RENTERIA	DELAINE EASTIN	JEFFREY EDWARD TAYLOR	KLEMENT TINAJ	HAKAN "HAWK" MIKADO	ALBERT CAESAR MEZZETTI	GAVIN NEWSOM	ROBERT C. NEWMAN, II	K. PEARCE	VERONIKA FIMBRES	ARMANDO M. ARREOLA	ARMAN SOLTANI	PETER CRAWFORD VALENTINO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 9709 - Vote By Mail	1	0	2	1	19	0	0	0	17	0	0	0	0	1	0	0	0	54	36	1	20	0	0	0	1	195	0	0	0	0	0	0	998	355	0	4	3	348	0
Precinct 9711 - Election Day	1	0	0	0	7	0	0	0	2	0	0	0	0	1	0	0	0	17	19	2	14	0	0	1	1	99	0	0	0	0	0	0	625	167	0	0	3	164	0
Precinct 9711 - Vote By Mail	1	3	2	0	20	0	0	0	6	0	0	0	0	0	0	0	0	16	24	3	17	0	0	0	0	155	1	0	0	0	0	0	625	254	0	3	3	248	0
Precinct 9712 - Election Day	1	0	0	0	20	0	0	0	0	0	0	0	0	1	0	0	0	10	11	1	14	0	0	0	0	75	0	0	0	0	0	0	651	134	0	1	0	133	0
Precinct 9712 - Vote By Mail	1	0	0	0	18	0	1	0	7	0	0	0	0	0	0	1	0	14	37	5	19	0	0	0	0	185	0	0	0	0	0	0	651	288	0	0	0	288	0
Precinct 9713 - Election Day	2	0	1	1	10	0	0	0	3	0	0	1	0	0	1	0	0	21	22	4	14	1	0	0	1	72	2	0	0	0	0	0	930	161	0	0	4	157	1
Precinct 9713 - Vote By Mail	1	1	0	3	24	0	0	0	18	0	0	0	0	0	0	0	0	62	36	4	29	0	0	3	0	173	0	0	0	0	0	0	930	362	0	4	4	354	0
Precinct 9714 - Election Day	1	0	0	0	13	0	0	0	2	0	0	1	0	0	1	0	0	9	18	1	14	0	0	0	0	93	1	0	0	0	0	0	911	154	0	0	0	154	0
Precinct 9714 - Vote By Mail	0	0	1	1	37	0	0	0	8	0	0	0	0	0	0	0	0	44	51	3	21	1	0	0	1	194	0	0	0	0	0	0	911	367	0	3	2	362	0
Precinct 9715 - Election Day	1	0	1	0	20	0	0	0	1	0	0	0	0	0	0	0	0	12	18	2	15	0	0	0	0	91	0	0	0	0	0	0	566	162	0	1	0	161	0
Precinct 9715 - Vote By Mail	0	1	0	2	18	0	0	0	10	0	0	0	0	1	0	0	0	24	28	0	12	0	0	0	0	118	0	0	0	0	0	0	566	218	0	0	4	214	0
Precinct 9716 - Election Day	1	0	2	1	19	0	0	0	4	0	1	0	0	0	1	1	1	16	23	2	21	0	0	0	1	100	1	0	0	0	0	0	928	198	0	3	0	195	0
