Subtotal Area	JEFF BLEICH	ELENI KOUNALAKIS	CAMERON GHARABIKLOU	TIM FERREIRA	DAVID FENNELL	DANNY THOMAS	COLE HARRIS	ED HERNANDEZ	DAVID R. HERNANDEZ	LYDIA ORTEGA	GAYLE MCLAUGHLIN	MARJAN S. FARIBA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7014 - None	118	133	2	9	2	2	11	54	2	7	58	0	1,213	434	0	0	35	399	1
Precinct 7015 MB - None	8	7	0	0	0	0	2	4	0	0	11	0	93	34	0	0	2	32	0
Precinct 7016 - None	4	31	1	2	0	4	1	22	3	5	14	0	891	112	0	1	24	87	0
Precinct 7016 - None	30	47	3	4	0	8	16	51	3	7	12	0	891	221	0	2	37	182	1
Precinct 7017 - None	4	19	2	1	2	0	2	20	1	1	2	0	734	79	0	1	24	54	0
Precinct 7017 - None	14	61	3	0	2	1	4	24	4	7	20	0	734	167	0	1	26	140	0
Precinct 7018 - None	13	21	1	0	1	1	6	15	2	1	11	0	908	88	0	0	16	72	0
Precinct 7018 - None	31	73	2	2	6	13	28	80	6	16	20	0	908	343	0	2	61	280	3
Precinct 7019 - None	12	28	2	1	1	0	1	26	2	4	17	0	864	111	0	0	17	94	0
Precinct 7019 - None	33	99	2	7	7	8	33	71	5	14	30	0	864	349	0	0	39	310	1
Precinct 7021 - None	8	28	2	2	0	2	7	27	1	3	28	0	927	129	0	0	21	108	0
Precinct 7021 - None	31	59	2	4	0	4	6	47	6	11	22	0	927	220	0	0	28	192	0
Precinct 7022 - None	15	47	3	4	0	0	4	43	1	3	26	0	923	164	0	0	18	146	0
Precinct 7022 - None	33	65	3	9	1	4	10	74	3	7	27	0	923	270	0	3	30	237	1
Precinct 7023 - None	15	46	2	0	0	3	8	23	2	2	7	0	906	131	0	2	20	109	1
Precinct 7023 - None	52	93	1	0	3	2	15	62	1	7	26	0	906	301	0	0	38	263	1
Precinct 7024 - None	6	8	0	1	0	1	1	1	2	3	0	0	386	30	0	0	7	23	0
Precinct 7024 - None	5	17	0	0	1	2	3	8	2	2	2	0	386	47	0	1	4	42	0
Precinct 7025 - None	6	14	0	7	1	1	5	11	2	1	8	0	448	66	0	0	10	56	0
Precinct 7025 - None	14	17	3	0	0	1	3	11	0	4	15	0	448	78	0	0	10	68	0
Precinct 7026 - None	16	16	2	1	0	2	2	23	0	6	9	0	971	90	0	0	13	77	0
Precinct 7026 - None	47	54	2	4	12	8	31	93	5	10	17	0	971	350	0	0	65	285	2
Precinct 7027 - None	13	39	1	1	2	2	6	24	4	3	15	0	845	136	0	0	25	111	1
Precinct 7027 - None	23	85	3	2	12	3	21	38	4	16	22	0	845	271	0	1	39	231	2
Precinct 7028 - None	16	58	1	2	2	0	6	35	3	1	16	0	835	157	0	0	17	140	0
Precinct 7028 - None	22	54	2	1	2	0	4	51	1	6	21	0	835	180	0	0	15	165	1
Precinct 7029 - None	20	39	4	3	0	0	3	15	3	3	5	0	855	115	0	1	19	95	0
Precinct 7029 - None	29	54	0	2	2	4	8	20	2	4	23	0	855	166	0	1	16	149	1
Precinct 7030 - None	10	15	0	3	5	1	6	13	7	5	12	0	729	94	0	0	17	77	0
Precinct 7030 - None	29	49	3	7	15	6	19	44	10	24	29	0	729	277	0	1	40	236	1
Precinct 7031 - None	3	13	0	3	0	3	1	11	0	2	3	0	611	50	0	0	11	39	0
Precinct 7031 - None	20	52	8	7	6	4	20	40	4	9	9	0	611	224	0	1	44	179	0
Precinct 7032 - None	14	30	1	2	2	3	2	24	4	4	15	0	867	126	0	1	24	101	0
Precinct 7032 - None	22	59	5	3	4	4	13	60	4	10	21	0	867	238	0	1	32	205	0
Precinct 7033 - None	20	28	5	3	2	3	4	22	4	6	15	0	765	135	0	1	19	115	3
Precinct 7033 - None	24	57	3	2	5	1	4	35	6	6	16	0	765	181	0	2	20	159	0
Precinct 7034 - None	13	23	3	2	1	4	3	16	3	2	8	0	914	97	0	3	16	78	0
Precinct 7034 - None	13	60	3	2	1	4	5	30	1	4	10	0	914	154	0	0	19	135	2
Precinct 7035 - None	9	21	1	0	2	2	4	13	0	1	7	0	553	73	0	0	12	61	1
Precinct 7035 - None	18	61	1	3	4	3	8	33	1	6	14	0	553	170	0	0	17	153	1
Precinct 7036 - None	4	11	0	4	1	1	3	8	3	3	5	0	898	52	0	0	9	43	0
Precinct 7036 - None	33	50	6	1	7	5	27	65	10	17	13	0	898	265	0	2	29	234	0
Precinct 7037 - None	12	16	1	1	0	5	1	10	2	2	5	0	730	73	0	0	18	55	0
Precinct 7037 - None	7	21	0	1	1	1	4	14	2	5	3	0	730	64	0	0	5	59	0
Precinct 7038 - None	10	22	0	0	1	2	10	17	1	3	7	0	880	84	0	0	11	73	0
Precinct 7038 - None	26	37	4	7	6	4	24	65	10	10	15	0	880	255	0	2	43	210	2
Precinct 7039 - None	13	24	0	0	3	0	12	18	6	8	13	0	768	111	0	0	14	97	0
Precinct 7039 - None	24	53	1	2	7	9	32	44	3	5	13	0	768	225	0	0	31	194	1
Precinct 7041 MB - None	3	4	0	0	4	0	0	5	0	0	6	0	60	24	0	0	2	22	0
Precinct 7042 - None	9	15	1	2	0	0	6	15	5	3	9	0	632	75	0	0	10	65	0
Precinct 7042 - None	26	47	0	3	3	6	19	37	4	6	17	0	632	191	0	3	20	168	0
Precinct 7043 - None	7	34	0	1	0	0	2	17	0	1	18	0	915	97	0	1	16	80	0
Precinct 7043 - None	29	78	7	0	2	5	9	67	4	13	28	0	915	282	0	1	39	242	0
Precinct 7044 - None	13	12	1	1	1	2	4	21	1	2	4	0	805	86	0	0	23	63	1
Precinct 7044 - None	14	30	1	0	2	2	12	32	5	7	6	0	805	125	0	1	13	111	0
Precinct 7045 - None	5	15	1	1	2	1	8	19	3	2	10	0	763	87	0	0	20	67	0
Precinct 7045 - None	22	52	3	1	3	6	27	63	13	12	19	0	763	282	0	2	57	223	2
Precinct 7046 - None	6	13	0	1	2	0	3	12	2	0	7	0	385	54	0	0	7	47	1
Precinct 7046 - None	13	34	5	7	1	1	18	21	5	5	12	0	385	136	0	1	12	123	1
Precinct 7047 - None	12	18	1	1	0	1	1	7	2	1	11	0	781	68	0	0	13	55	0
Precinct 7047 - None	29	64	5	1	3	5	30	72	9	14	26	0	781	298	0	2	35	261	3
Precinct 7048 - None	8	17	3	2	2	0	5	34	4	3	5	0	815	94	0	0	11	83	0
Precinct 7048 - None	23	47	3	4	5	5	16	70	5	16	15	0	815	248	0	0	37	211	2
Precinct 7049 - None	11	22	0	1	7	9	10	21	4	2	7	0	751	108	0	0	13	95	1
Precinct 7049 - None	26	37	4	4	10	15	29	40	8	13	13	0	751	241	0	0	41	200	1
Precinct 7051 - None	5	14	1	3	2	3	3	15	0	3	9	0	839	70	0	1	11	58	0
Precinct 7051 - None	37	43	10	2	7	8	39	71	5	14	16	0	839	302	0	1	48	253	1
Precinct 7052 - None	26	22	1	1	0	1	9	21	7	3	11	0	806	120	0	0	18	102	0
Precinct 7052 - None	27	70	3	2	10	8	29	47	6	18	13	0	806	278	0	2	43	233	0
Precinct 7053 - None	3	16	0	2	0	1	2	5	0	1	3	0	548	44	0	0	10	34	1
Precinct 7053 - None	42	53	4	2	7	3	16	37	2	8	9	0	548	205	0	0	22	183	0
Precinct 7054 - None	15	34	2	2	2	1	2	30	2	6	27	0	1,024	141	0	2	16	123	0
Precinct 7054 - None	26	89	2	2	5	2	8	58	14	10	30	0	1,024	275	0	1	28	246	0
Precinct 7055 - None	18	24	1	0	0	0	1	10	2	0	12	0	699	83	0	0	14	69	1
Precinct 7055 - None	37	70	2	5	14	2	9	37	3	8	29	0	699	256	0	0	40	216	0
Precinct 7101 MB - None	27	23	0	1	0	0	0	11	0	0	11	0	141	83	0	0	10	73	0
Precinct 7201 - None	35	44	0	4	3	0	8	20	0	3	11	0	900	147	0	0	19	128	0
Precinct 7201 - None	67	101	2	9	6	1	23	40	6	6	31	0	900	333	0	2	39	292	0
Precinct 7202 - None	33	34	3	3	4	0	11	16	3	2	16	0	830	138	0	0	13	125	0
Precinct 7202 - None	44	84	0	1	18	0	35	37	3	10	13	0	830	271	0	1	25	245	0
Precinct 7203 - None	32	54	2	2	1	0	12	18	1	5	24	0	867	174	0	0	23	151	0
Precinct 7203 - None	49	81	3	1	8	1	9	34	3	12	20	0	867	243	0	0	22	221	0
Precinct 7204 - None	42	36	1	4	2	1	5	22	2	7	16	0	888	157	0	1	18	138	0
Precinct 7204 - None	92	95	1	4	10	1	17	44	4	4	26	0	888	340	0	1	41	298	0
Precinct 7205 - None	47	55	0	4	3	1	6	20	5	7	19	0	847	183	0	0	16	167	0
Precinct 7205 - None	85	78	2	1	4	1	28	42	2	13	24	0	847	309	0	2	27	280	0
Precinct 7206 - None	20	24	1	3	1	1	1	12	1	0	10	0	375	88	0	1	12	75	1
Precinct 7206 - None	26	38	2	4	1	0	6	15	0	1	8	0	375	124	0	3	20	101	0
Precinct 7207 - None	24	29	0	1	1	2	7	19	1	7	11	0	744	119	0	0	17	102	0
Precinct 7207 - None	50	77	4	3	5	1	10	28	4	5	16	0	744	231	0	0	28	203	0
Precinct 7208 - None	9	26	0	0	1	0	2	10	0	3	14	0	567	76	0	0	11	65	0
Precinct 7208 - None	38	63	2	3	8	1	11	28	3	4	19	0	567	206	0	5	21	180	0
Precinct 7209 - None	17	20	0	1	0	2	2	13	1	1	2	0	586	69	0	0	10	59	0
Precinct 7209 - None	69	102	1	2	11	3	24	44	1	9	22	0	586	326	0	0	38	288	0
Precinct 7301 - None	19	36	2	1	6	7	9	23	3	4	14	0	1,002	150	0	1	25	124	0
Precinct 7301 - None	50	57	5	3	16	4	16	62	9	17	13	0	1,002	299	0	1	46	252	0
Precinct 7302 - None	27	21	0	0	2	1	7	19	3	2	21	0	806	121	0	0	18	103	0
Precinct 7302 - None	72	96	2	5	14	7	19	57	4	10	27	0	806	352	0	2	37	313	0
Precinct 7303 - None	38	34	1	5	1	0	5	20	1	7	27	0	986	167	0	0	27	140	1
Precinct 7303 - None	58	97	1	7	9	1	12	51	4	13	25	0	986	318	0	2	38	278	0
Precinct 7304 - None	45	58	1	2	5	2	10	26	4	6	20	0	972	203	0	0	23	180	1
Precinct 7304 - None	80	89	4	1	13	2	23	43	3	3	24	0	972	330	0	1	42	287	2
Precinct 7305 - None	40	41	0	3	3	2	16	20	4	6	27	0	851	171	0	0	8	163	1
Precinct 7305 - None	50	89	0	5	10	1	26	36	3	9	31	0	851	306	0	0	46	260	0
Precinct 7306 - None	27	30	0	6	3	5	9	30	1	2	31	0	1,014	179	0	0	34	145	1
Precinct 7306 - None	58	72	3	4	6	0	16	44	6	11	34	0	1,014	302	0	1	47	254	0
Precinct 7307 - None	31	37	3	4	0	1	5	25	1	4	21	0	726	143	0	0	11	132	0
Precinct 7307 - None	42	60	0	5	3	4	21	35	4	5	22	0	726	226	0	0	25	201	0
Precinct 7308 - None	34	32	1	3	2	1	9	16	0	2	17	0	598	133	0	0	16	117	0
Precinct 7308 - None	43	56	1	2	4	1	9	29	2	13	23	0	598	204	0	1	20	183	0
