Subtotal Area	MICHELLE BRAVO	LONDON BREED	MARK LENO	JANE KIM	RICHIE GREENBERG	ANGELA ALIOTO	AMY FARAH WEISS	ELLEN LEE ZHOU	ANTOINE R. ROGERS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 9132 - Election Day	1	40	44	69	1	4	1	2	0	827	167	1	0	3	0	163	1
Precinct 9132 - Vote By Mail	0	87	37	91	8	11	3	11	0	827	251	-1	2	2	0	248	0
Precinct 9133 - Election Day	0	77	49	50	0	8	0	2	0	1,007	188	1	0	1	0	186	0
Precinct 9133 - Vote By Mail	2	130	107	94	12	23	1	14	0	1,007	388	0	1	2	0	385	2
Precinct 9134 - Election Day	0	46	18	50	2	9	1	2	0	893	132	2	0	2	0	128	0
Precinct 9134 - Vote By Mail	1	128	53	77	5	20	2	8	0	893	297	1	0	1	0	295	1
Precinct 9135 - Election Day	1	52	40	30	2	20	2	2	0	778	149	0	0	0	0	149	0
Precinct 9135 - Vote By Mail	2	79	67	61	29	21	2	3	0	778	269	2	0	3	0	264	0
Precinct 9136 - Election Day	0	56	49	68	4	7	1	4	0	894	191	0	0	2	0	189	0
Precinct 9136 - Vote By Mail	1	95	66	71	13	18	1	19	0	894	289	2	1	2	0	284	0
Precinct 9137 - Election Day	1	50	54	58	12	13	1	10	0	946	201	-1	0	3	0	199	0
Precinct 9137 - Vote By Mail	1	106	88	74	6	15	3	24	0	946	323	2	0	4	0	317	0
Precinct 9138 - Election Day	0	50	40	38	9	13	0	4	0	892	155	0	0	1	0	154	0
Precinct 9138 - Vote By Mail	1	111	73	71	14	24	3	25	0	892	323	-4	2	2	0	323	1
Precinct 9139 - Election Day	0	48	27	59	10	12	0	7	0	912	163	-2	0	2	0	163	0
Precinct 9139 - Vote By Mail	4	99	67	73	25	41	3	35	0	912	356	2	2	3	0	349	2
Precinct 9141 - Election Day	0	48	38	47	6	19	0	9	0	904	168	-1	0	2	0	167	0
Precinct 9141 - Vote By Mail	0	104	71	92	13	21	4	17	0	904	328	-2	0	8	0	322	0
Precinct 9142 - Election Day	1	65	47	81	8	9	1	5	0	921	219	2	0	0	0	217	0
Precinct 9142 - Vote By Mail	0	96	70	77	4	23	2	17	0	921	288	-3	0	2	0	289	0
Precinct 9143 - Election Day	0	53	59	63	7	11	0	2	0	887	196	0	0	1	0	195	0
Precinct 9143 - Vote By Mail	1	84	80	85	22	20	4	17	0	887	315	-3	0	4	0	314	1
Precinct 9144 - Election Day	0	62	48	76	10	15	1	6	0	931	221	0	0	2	0	219	1
Precinct 9144 - Vote By Mail	0	103	92	62	7	31	1	25	0	931	322	-3	2	2	0	321	0
Precinct 9145 - Election Day	1	68	52	61	2	7	0	3	0	837	197	2	0	1	0	194	0
Precinct 9145 - Vote By Mail	0	102	67	65	10	14	2	20	0	837	282	-1	0	3	0	280	0
Precinct 9146 - Election Day	0	43	51	88	7	8	0	5	0	866	206	2	0	2	0	202	0
Precinct 9146 - Vote By Mail	1	108	63	93	10	13	1	7	0	866	297	-1	0	1	0	297	1
Precinct 9147 - Election Day	1	71	33	90	4	14	2	8	0	920	227	1	1	0	0	225	2
Precinct 9147 - Vote By Mail	1	109	51	101	6	27	1	23	0	920	318	-3	0	2	0	319	0
Precinct 9148 - Election Day	0	90	42	75	4	10	3	3	0	946	226	-1	0	0	0	227	0
Precinct 9148 - Vote By Mail	0	127	66	96	10	10	2	8	0	946	322	0	1	2	0	319	0
Precinct 9149 - Election Day	2	59	46	63	3	16	3	3	0	884	196	0	0	0	0	196	1
Precinct 9149 - Vote By Mail	0	103	69	83	13	16	0	8	0	884	296	0	0	4	0	292	0
Precinct 9151 - Election Day	1	56	30	43	2	19	0	0	0	806	152	-1	0	2	0	151	0
Precinct 9151 - Vote By Mail	0	107	58	51	10	33	0	1	0	806	267	-1	0	8	0	260	0
Precinct 9152 - Election Day	1	18	13	31	1	1	0	0	0	712	67	1	0	1	0	65	0
Precinct 9152 - Vote By Mail	0	45	29	40	3	20	1	0	0	712	138	0	0	0	0	138	0
Precinct 9201 - Election Day	0	69	33	79	5	9	1	3	0	953	201	1	0	0	0	200	1
Precinct 9201 - Vote By Mail	0	86	49	69	10	11	0	0	0	953	229	0	1	3	0	225	0
Precinct 9202 - Election Day	1	81	34	49	3	14	2	0	0	908	184	-2	1	1	0	184	0
Precinct 9202 - Vote By Mail	0	87	36	71	9	14	0	0	0	908	218	0	0	1	0	217	0
Precinct 9203 - Election Day	1	52	27	22	11	29	0	1	0	968	145	0	0	2	0	143	0
Precinct 9203 - Vote By Mail	1	135	53	35	24	44	1	0	0	968	300	0	0	7	0	293	0
Precinct 9204 - Election Day	0	61	35	16	7	23	0	1	0	809	147	0	0	4	0	143	0
Precinct 9204 - Vote By Mail	0	93	52	21	15	41	0	0	0	809	223	0	1	0	0	222	0
Precinct 9205 - Election Day	0	49	21	24	1	14	2	0	0	694	113	0	0	2	0	111	0
Precinct 9205 - Vote By Mail	0	85	50	35	5	19	0	2	0	694	201	0	1	3	0	197	1
Precinct 9206 - Election Day	1	58	25	15	8	24	1	0	0	887	135	0	0	3	0	132	0
Precinct 9206 - Vote By Mail	0	119	71	26	24	47	2	1	0	887	294	-2	0	5	0	291	1
Precinct 9207 - Election Day	0	67	30	18	9	20	1	0	0	913	148	-1	0	4	0	145	0
Precinct 9207 - Vote By Mail	2	100	51	34	15	45	1	0	0	913	249	-1	0	0	0	250	2
Precinct 9208 - Election Day	0	56	31	30	9	20	0	0	0	936	147	-1	0	2	0	146	0
Precinct 9208 - Vote By Mail	0	95	60	33	13	32	0	1	0	936	240	1	0	3	0	236	2
Precinct 9209 - Election Day	1	49	14	19	9	27	0	0	0	675	121	-1	0	3	0	119	0
Precinct 9209 - Vote By Mail	1	73	33	35	12	31	0	1	0	675	188	-2	1	2	0	187	1
Precinct 9211 - Election Day	1	62	18	27	3	18	0	0	0	834	130	0	0	1	0	129	0
Precinct 9211 - Vote By Mail	0	81	49	28	11	36	3	0	0	834	212	-1	1	4	0	208	0
Precinct 9212 - Election Day	0	49	30	25	4	6	2	0	0	764	121	1	1	3	0	116	0
Precinct 9212 - Vote By Mail	1	68	51	34	12	31	0	1	0	764	205	3	0	4	0	198	0
Precinct 9213 - Election Day	0	51	34	28	4	17	3	0	0	890	140	0	0	3	0	137	0
Precinct 9213 - Vote By Mail	2	105	53	49	16	27	1	4	0	890	260	-1	1	3	0	257	0
Precinct 9214 - Election Day	0	33	18	20	2	17	0	0	0	581	92	0	0	2	0	90	0
Precinct 9214 - Vote By Mail	2	84	53	19	11	28	1	0	0	581	203	1	0	3	0	199	1
Precinct 9215 - Election Day	0	51	28	12	7	26	1	1	0	626	130	0	0	3	0	127	1
Precinct 9215 - Vote By Mail	0	74	37	26	14	14	0	3	0	626	170	0	0	2	0	168	0
Precinct 9216 - Election Day	0	53	31	21	3	26	0	0	0	798	134	0	0	0	0	134	0
Precinct 9216 - Vote By Mail	0	96	42	23	15	23	3	0	0	798	206	0	1	2	0	203	1
Precinct 9217 - Election Day	0	48	28	16	4	20	0	3	0	684	123	0	1	3	0	119	0
Precinct 9217 - Vote By Mail	0	74	34	20	9	36	1	6	0	684	187	2	1	2	0	182	2
Precinct 9218 - Election Day	0	51	25	17	4	19	0	0	0	797	119	0	0	3	0	116	0
Precinct 9218 - Vote By Mail	0	97	44	30	16	33	2	0	0	797	225	-1	0	2	0	224	2
Precinct 9219 - Election Day	2	52	38	32	6	12	0	1	0	733	146	0	0	2	0	144	1
Precinct 9219 - Vote By Mail	0	79	53	28	3	24	1	2	0	733	187	-4	0	1	0	190	0
Precinct 9221 - Election Day	0	58	27	15	2	14	0	0	0	641	121	0	0	5	0	116	0
Precinct 9221 - Vote By Mail	0	131	71	30	8	29	1	4	0	641	278	-1	0	3	0	276	2
Precinct 9222 - Election Day	0	62	34	19	4	16	0	1	0	842	139	0	0	3	0	136	0
Precinct 9222 - Vote By Mail	0	108	84	18	13	35	1	1	0	842	268	0	0	6	0	262	2
Precinct 9223 - Election Day	0	41	20	5	3	17	1	0	0	606	88	1	0	0	0	87	0
Precinct 9223 - Vote By Mail	1	95	47	21	11	25	0	0	0	606	202	-2	0	4	0	200	0
Precinct 9224 - Election Day	0	54	45	35	6	30	2	0	0	912	171	-1	0	0	0	172	0
Precinct 9224 - Vote By Mail	1	124	93	28	22	35	1	0	0	912	308	0	0	3	0	305	1
Precinct 9225 - Election Day	0	61	40	26	6	21	2	0	0	898	161	0	2	2	0	157	1
Precinct 9225 - Vote By Mail	1	109	37	35	24	27	3	2	0	898	243	-2	1	6	0	238	0
Precinct 9226 - Election Day	1	62	34	22	11	13	0	0	0	905	143	-1	0	1	0	143	0
Precinct 9226 - Vote By Mail	0	133	78	34	15	41	1	0	0	905	312	1	0	7	0	304	2
Precinct 9227 - Election Day	1	55	39	13	6	20	2	2	0	729	140	2	0	0	0	138	0
Precinct 9227 - Vote By Mail	1	138	62	42	11	35	4	9	0	729	304	-3	1	4	0	302	0
Precinct 9228 - Election Day	0	85	32	18	7	24	2	1	0	726	175	3	1	1	0	170	1
Precinct 9228 - Vote By Mail	2	117	76	24	20	30	0	5	0	726	277	0	0	2	0	275	1
Precinct 9229 - Election Day	0	54	30	22	5	18	0	0	0	596	130	0	0	1	0	129	0
Precinct 9229 - Vote By Mail	0	103	52	25	10	24	3	0	0	596	219	-1	0	3	0	217	0
Precinct 9231 - Election Day	0	83	65	46	5	15	2	3	0	919	221	2	0	0	0	219	0
Precinct 9231 - Vote By Mail	0	127	77	55	5	22	3	6	0	919	294	-3	0	2	0	295	0
Precinct 9232 - Election Day	0	72	23	27	5	16	1	2	0	701	151	0	1	2	0	148	2
Precinct 9232 - Vote By Mail	1	124	64	44	6	28	1	0	0	701	274	1	0	3	0	270	2
Precinct 9233 - Election Day	0	83	26	12	1	14	1	0	0	774	139	0	0	1	0	138	1
Precinct 9233 - Vote By Mail	0	142	83	40	9	25	1	1	0	774	308	3	0	3	0	302	1
Precinct 9234 - Election Day	0	61	33	19	4	8	1	0	0	731	131	-1	0	4	0	128	2
Precinct 9234 - Vote By Mail	0	145	77	21	14	19	0	2	0	731	281	1	0	1	0	279	1
Precinct 9235 - Election Day	0	94	33	26	5	10	2	0	0	842	174	1	1	0	0	172	2
Precinct 9235 - Vote By Mail	1	169	72	20	11	21	1	2	0	842	298	-1	0	1	0	298	1
Precinct 9236 - Election Day	0	66	28	21	6	8	0	0	0	658	130	-1	0	2	0	129	0
Precinct 9236 - Vote By Mail	1	115	42	25	4	15	0	0	0	658	207	0	0	3	0	204	2
Precinct 9237 - Election Day	0	58	42	23	6	13	1	0	0	880	145	0	0	2	0	143	0
Precinct 9237 - Vote By Mail	0	167	73	31	12	42	0	0	0	880	331	-2	2	5	0	326	1
Precinct 9238 - Election Day	1	60	40	15	3	11	1	0	0	792	130	-1	0	0	0	131	0
Precinct 9238 - Vote By Mail	0	131	63	28	17	27	0	0	0	792	271	0	1	4	0	266	0
Precinct 9239 - Election Day	0	48	30	18	4	11	0	2	0	835	117	0	0	2	0	115	2
Precinct 9239 - Vote By Mail	0	151	88	34	15	25	5	2	0	835	318	-3	0	1	0	320	0
Precinct 9241 - Election Day	0	58	46	35	4	12	1	1	0	961	158	1	0	0	0	157	0
Precinct 9241 - Vote By Mail	1	120	83	47	34	26	2	0	0	961	322	2	1	6	0	313	0
Precinct 9242 - Election Day	0	68	37	26	6	13	0	1	0	940	154	1	0	2	0	151	0
Precinct 9242 - Vote By Mail	0	131	76	40	16	28	0	3	0	940	300	0	1	5	0	294	0
Precinct 9243 - Election Day	1	52	31	29	5	11	1	0	0	572	135	0	0	5	0	130	0
Precinct 9243 - Vote By Mail	0	73	55	26	8	20	0	1	0	572	188	-1	0	5	0	184	1
Precinct 9244 - Election Day	1	74	36	22	0	13	0	0	0	880	149	0	0	3	0	146	0
Precinct 9244 - Vote By Mail	0	144	58	40	6	20	1	0	0	880	269	-2	0	2	0	269	0
Precinct 9245 - Election Day	0	53	39	23	3	10	0	0	0	706	128	0	0	0	0	128	0
Precinct 9245 - Vote By Mail	0	105	51	29	11	21	0	0	0	706	226	1	1	6	0	218	1
Precinct 9246 - Election Day	1	61	31	29	1	11	2	0	0	910	139	0	0	3	0	136	0
Precinct 9246 - Vote By Mail	0	136	54	53	12	37	3	1	0	910	299	-1	0	3	0	297	1
Precinct 9247 - Election Day	1	49	48	34	8	10	1	0	0	936	151	-1	0	1	0	151	0
Precinct 9247 - Vote By Mail	0	114	92	51	11	27	4	1	0	936	303	1	1	1	0	300	0
Precinct 9248 - Election Day	0	71	45	43	3	15	1	2	0	898	181	0	0	1	0	180	0
Precinct 9248 - Vote By Mail	0	100	81	48	20	20	1	2	0	898	282	2	1	7	0	272	0
Precinct 9249 - Election Day	0	79	45	38	6	17	0	1	0	910	187	0	0	1	0	186	0
Precinct 9249 - Vote By Mail	0	133	77	66	13	16	1	2	0	910	314	1	0	5	0	308	0
Precinct 9251 - Election Day	0	75	53	43	10	17	0	3	0	946	204	0	0	3	0	201	0
Precinct 9251 - Vote By Mail	0	156	69	75	11	22	2	4	0	946	342	0	1	2	0	339	0
Precinct 9252 - Election Day	0	52	32	33	4	12	0	4	0	913	140	-1	0	4	0	137	0
Precinct 9252 - Vote By Mail	1	141	93	62	20	26	3	3	0	913	352	-2	1	2	0	351	2
Precinct 9253 - Election Day	0	61	28	23	5	8	0	2	0	751	138	5	1	4	0	128	1
Precinct 9253 - Vote By Mail	2	123	67	30	15	18	1	8	0	751	272	-2	5	4	0	265	1
Precinct 9254 - Election Day	0	74	33	45	3	12	0	0	0	889	168	0	0	1	0	167	0
Precinct 9254 - Vote By Mail	0	152	75	58	5	22	2	4	0	889	318	-2	0	1	0	319	1
Precinct 9255 - Election Day	1	50	24	36	3	10	0	0	0	545	126	0	0	2	0	124	0
Precinct 9255 - Vote By Mail	0	50	32	28	8	10	1	0	0	545	128	-1	0	0	0	129	0
Precinct 9256 - Election Day	0	33	17	23	0	2	0	1	0	433	77	0	0	1	0	76	0
Precinct 9256 - Vote By Mail	0	49	27	21	3	3	2	0	0	433	103	-2	0	0	0	105	0
Precinct 9257 MB - Vote By Mail	1	46	38	52	3	6	2	1	0	312	150	0	1	0	0	149	0
Precinct 9258 - Election Day	0	43	29	38	3	8	3	2	0	699	127	0	0	1	0	126	0
Precinct 9258 - Vote By Mail	0	87	52	70	13	12	1	4	0	699	244	0	0	5	0	239	0
Precinct 9401 - Election Day	0	60	48	70	1	13	1	1	0	970	194	0	0	0	0	194	0
Precinct 9401 - Vote By Mail	0	90	69	94	5	21	1	12	0	970	293	-3	1	1	0	294	2
Precinct 9402 - Election Day	1	53	31	86	3	12	1	7	0	931	197	0	0	3	0	194	0
Precinct 9402 - Vote By Mail	0	75	65	100	18	17	0	24	0	931	307	-1	1	7	0	300	1
Precinct 9403 - Election Day	0	41	31	64	4	15	2	8	0	853	167	1	0	1	0	165	0
Precinct 9403 - Vote By Mail	0	101	46	77	13	27	5	15	0	853	286	1	0	1	0	284	0
Precinct 9404 - Election Day	1	45	34	50	6	8	1	7	0	889	153	1	0	0	0	152	0
Precinct 9404 - Vote By Mail	2	99	49	91	19	24	0	35	0	889	320	-1	0	2	0	319	0
Precinct 9405 - Election Day	2	53	31	42	5	16	0	11	0	757	160	-1	1	0	0	160	0
Precinct 9405 - Vote By Mail	0	79	40	64	11	19	1	28	0	757	245	-1	0	4	0	242	0
Precinct 9406 - Election Day	0	60	30	52	15	9	0	12	0	815	179	0	1	0	0	178	0
Precinct 9406 - Vote By Mail	1	108	41	77	19	7	2	18	0	815	277	0	0	4	0	273	0
Precinct 9407 - Election Day	2	56	24	68	6	21	0	12	0	861	191	0	0	2	0	189	0
Precinct 9407 - Vote By Mail	1	96	47	77	9	27	2	23	0	861	284	-3	0	5	0	282	0
Precinct 9408 - Election Day	1	47	32	82	4	10	2	7	0	837	187	0	1	1	0	185	0
Precinct 9408 - Vote By Mail	0	72	54	91	7	16	1	9	0	837	246	-4	0	0	0	250	0
Precinct 9409 - Election Day	1	51	26	51	3	6	0	1	0	565	140	0	0	1	0	139	0
Precinct 9409 - Vote By Mail	1	61	29	52	11	12	0	4	0	565	170	-1	0	1	0	170	0
Precinct 9411 - Election Day	2	62	24	70	2	10	1	2	0	936	175	-1	0	1	0	175	2
Precinct 9411 - Vote By Mail	0	78	60	85	11	14	1	9	0	936	261	-1	1	3	0	258	0
Precinct 9412 - Election Day	0	47	24	57	6	19	1	7	0	843	164	0	0	1	0	163	2
Precinct 9412 - Vote By Mail	1	93	40	81	9	26	0	34	0	843	285	-1	1	1	0	284	0
Precinct 9413 - Election Day	1	43	34	61	6	10	1	15	0	858	172	-1	1	1	0	171	0
Precinct 9413 - Vote By Mail	2	91	49	78	10	26	2	43	0	858	310	1	1	5	0	303	2
Precinct 9414 - Election Day	0	59	19	51	8	10	2	5	0	862	159	1	0	3	0	155	1
Precinct 9414 - Vote By Mail	2	118	49	73	10	23	2	27	0	862	307	0	0	2	0	305	1
Precinct 9415 - Election Day	0	38	23	36	7	10	0	6	0	755	121	-2	1	2	0	120	0
Precinct 9415 - Vote By Mail	0	99	41	75	16	11	3	38	0	755	284	-5	0	3	0	286	3
Precinct 9416 - Election Day	1	70	35	65	3	15	0	4	0	962	198	0	0	5	0	193	0
Precinct 9416 - Vote By Mail	2	97	51	79	7	22	0	52	0	962	316	0	0	6	0	310	0
Precinct 9417 - Election Day	0	23	27	45	3	8	1	6	0	714	117	1	0	3	0	113	0
Precinct 9417 - Vote By Mail	0	104	47	58	16	30	1	25	0	714	286	-4	0	9	0	281	0
Precinct 9418 - Election Day	0	47	42	33	4	16	0	11	0	753	157	0	0	4	0	153	0
Precinct 9418 - Vote By Mail	1	102	48	46	13	28	3	25	0	753	269	1	1	1	0	266	0
Precinct 9419 - Election Day	1	57	24	41	5	26	2	11	0	893	167	-1	0	1	0	167	0
Precinct 9419 - Vote By Mail	1	116	51	71	20	29	3	31	0	893	326	0	0	4	0	322	0
Precinct 9421 - Election Day	0	56	17	46	6	12	0	11	0	878	150	-1	1	2	0	148	0
Precinct 9421 - Vote By Mail	0	99	59	66	18	31	2	38	0	878	316	0	0	2	0	314	1
Precinct 9422 - Election Day	1	74	24	53	10	21	0	13	0	1,010	200	0	1	2	0	197	1
Precinct 9422 - Vote By Mail	1	113	69	78	19	34	3	38	0	1,010	358	-2	0	5	0	355	0
Precinct 9423 - Election Day	0	56	29	42	2	9	0	7	0	853	147	0	0	1	0	146	1
Precinct 9423 - Vote By Mail	1	98	65	67	5	30	2	22	0	853	292	-2	1	2	0	291	1
Precinct 9424 - Election Day	1	34	22	54	2	15	1	13	0	910	146	1	0	2	0	143	1
Precinct 9424 - Vote By Mail	0	108	63	80	16	31	0	30	0	910	331	-4	1	6	0	328	0
Precinct 9425 - Election Day	0	42	25	43	4	6	0	13	0	903	136	1	0	2	0	133	0
Precinct 9425 - Vote By Mail	1	93	70	61	13	26	6	38	0	903	313	-1	0	6	0	308	0
Precinct 9426 - Election Day	0	39	18	45	13	13	1	13	0	801	143	0	0	1	0	142	0
Precinct 9426 - Vote By Mail	1	74	58	58	18	23	1	41	0	801	283	-1	2	6	0	276	2
Precinct 9427 - Election Day	0	40	23	32	3	14	2	11	0	889	129	1	0	3	0	125	0
Precinct 9427 - Vote By Mail	2	95	62	66	14	28	0	49	0	889	333	4	3	10	0	316	0
Precinct 9428 - Election Day	1	35	25	38	5	13	0	5	0	892	122	-1	0	1	0	122	0
Precinct 9428 - Vote By Mail	1	106	66	91	10	26	1	40	0	892	346	1	1	2	0	342	1
Precinct 9429 - Election Day	1	50	24	45	3	24	4	19	0	866	173	0	1	2	0	170	0
Precinct 9429 - Vote By Mail	1	97	40	82	14	23	1	45	0	866	308	-1	1	4	0	304	1
Precinct 9431 - Election Day	0	64	21	35	6	9	3	13	0	954	152	0	0	1	0	151	0
Precinct 9431 - Vote By Mail	5	130	58	64	14	26	3	46	0	954	352	-2	1	7	0	346	0
Precinct 9432 - Election Day	2	52	33	31	3	17	1	15	0	901	155	0	0	0	0	155	1
Precinct 9432 - Vote By Mail	1	95	66	66	5	15	3	48	0	901	307	-1	1	7	0	300	1
Precinct 9433 - Election Day	1	59	26	36	5	15	3	9	0	912	155	0	0	0	0	155	1
Precinct 9433 - Vote By Mail	1	114	52	64	14	26	2	41	0	912	317	-3	0	5	0	315	1
Precinct 9434 - Election Day	0	68	28	48	8	21	0	12	0	963	188	-1	0	4	0	185	0
Precinct 9434 - Vote By Mail	3	122	70	65	23	29	3	34	0	963	349	-5	1	3	0	350	1
Precinct 9435 - Election Day	0	55	51	46	5	18	3	14	0	934	195	0	0	3	0	192	0
Precinct 9435 - Vote By Mail	0	82	51	85	10	35	1	54	0	934	320	-5	2	4	0	319	1
Precinct 9436 - Election Day	1	53	22	44	7	18	1	11	0	941	161	0	0	4	0	157	0
Precinct 9436 - Vote By Mail	0	105	54	82	16	21	1	54	0	941	337	-2	2	4	0	333	0
Precinct 9437 - Election Day	1	57	27	48	1	20	1	13	0	873	170	1	0	0	0	169	1
Precinct 9437 - Vote By Mail	2	101	46	65	14	33	0	61	0	873	324	-1	0	3	0	322	0
Precinct 9438 - Election Day	0	31	31	44	2	6	0	14	0	918	129	1	0	0	0	128	0
Precinct 9438 - Vote By Mail	0	116	74	43	17	34	1	44	0	918	336	1	0	6	0	329	0
Precinct 9439 - Election Day	0	33	31	33	5	13	0	9	0	827	126	0	0	2	0	124	0
Precinct 9439 - Vote By Mail	1	111	55	58	12	27	3	44	0	827	314	-2	1	4	0	311	0
Precinct 9441 - Election Day	1	65	38	67	6	17	1	10	0	939	205	-1	0	1	0	205	0
Precinct 9441 - Vote By Mail	2	100	56	84	9	30	2	49	0	939	337	-1	0	6	0	332	0
Precinct 9442 - Election Day	0	56	35	64	3	32	0	6	0	970	200	0	0	4	0	196	0
Precinct 9442 - Vote By Mail	0	98	56	68	12	38	0	47	0	970	325	-2	2	6	0	319	0
Precinct 9443 - Election Day	0	50	22	39	4	12	1	3	0	886	138	0	0	6	0	132	1
Precinct 9443 - Vote By Mail	2	91	56	76	12	30	1	25	0	886	304	-2	0	12	0	294	1
Precinct 9444 - Election Day	1	39	19	30	2	17	0	10	0	901	118	-2	0	1	0	119	1
Precinct 9444 - Vote By Mail	0	94	41	61	14	38	1	62	0	901	312	-2	0	3	0	311	0
Precinct 9445 - Election Day	0	45	29	39	5	24	0	12	0	945	154	0	0	0	0	154	0
Precinct 9445 - Vote By Mail	1	112	68	87	11	36	0	22	0	945	342	-4	0	7	0	339	2
Precinct 9446 - Election Day	1	65	34	38	2	18	1	3	0	1,043	164	1	0	1	0	162	0
Precinct 9446 - Vote By Mail	0	124	70	88	18	62	2	51	0	1,043	417	-3	2	3	0	415	0
Precinct 9447 - Election Day	1	62	28	54	3	11	0	10	0	891	171	1	0	1	0	169	0
Precinct 9447 - Vote By Mail	2	129	54	52	10	35	0	38	0	891	327	-2	1	8	0	320	0
Precinct 9448 - Election Day	2	55	26	47	9	12	0	6	0	877	159	0	1	1	0	157	0
Precinct 9448 - Vote By Mail	0	121	41	56	6	34	0	50	0	877	307	-4	1	1	0	309	1
Precinct 9449 - Election Day	1	34	18	24	2	11	0	8	0	784	97	-1	0	0	0	98	0
Precinct 9449 - Vote By Mail	0	96	42	48	12	49	5	41	0	784	302	4	1	3	0	294	1
Precinct 9451 - Election Day	0	27	13	6	0	8	0	3	0	414	57	0	0	0	0	57	0
Precinct 9451 - Vote By Mail	1	71	21	22	12	11	2	9	0	414	154	3	0	2	0	149	0
Precinct 9452 - Election Day	1	61	33	35	7	24	1	9	0	799	175	0	0	3	0	172	1
Precinct 9452 - Vote By Mail	0	84	54	58	14	34	2	35	0	799	281	-2	0	2	0	281	0
Precinct 9453 - Election Day	0	23	14	29	5	19	0	0	0	488	90	0	0	0	0	90	0
Precinct 9453 - Vote By Mail	0	63	42	35	8	18	1	9	0	488	175	-2	1	0	0	176	0
Precinct 9501 MB - Vote By Mail	0	39	10	12	3	7	0	0	0	149	71	-2	0	2	0	71	0
Precinct 9502 MB - Vote By Mail	0	59	25	19	3	6	5	0	0	233	116	-1	0	0	0	117	0
Precinct 9503/9504 - Election Day	1	66	26	23	1	6	0	2	0	725	128	-1	0	4	0	125	0
Precinct 9503/9504 - Vote By Mail	0	75	60	32	8	6	2	0	0	725	184	0	0	0	0	184	1
Precinct 9505 - Election Day	0	77	31	33	1	2	0	1	0	756	147	0	2	0	0	145	0
Precinct 9505 - Vote By Mail	3	112	78	61	3	15	0	2	0	756	274	-4	2	1	0	275	1
Precinct 9506 - Election Day	1	73	22	30	0	5	2	0	0	771	134	-1	1	1	0	133	0
Precinct 9506 - Vote By Mail	0	112	37	56	4	6	0	1	0	771	217	-3	1	2	0	217	1
Precinct 9507 - Election Day	1	70	31	60	2	4	1	0	0	733	170	0	0	1	0	169	0
Precinct 9507 - Vote By Mail	0	96	43	70	3	5	2	0	0	733	218	-2	0	1	0	219	0
Precinct 9508 - Election Day	0	62	38	72	1	4	4	0	0	784	180	-1	0	0	0	181	0
Precinct 9508 - Vote By Mail	0	117	57	76	0	5	0	2	0	784	258	-1	1	0	0	258	1
Precinct 9509 - Election Day	0	55	43	51	5	7	2	1	0	719	165	-1	0	1	0	165	1
Precinct 9509 - Vote By Mail	0	94	63	67	5	6	2	0	0	719	239	-1	0	3	0	237	0
Precinct 9511 - Election Day	0	49	33	58	0	5	0	0	0	600	147	0	1	1	0	145	0
Precinct 9511 - Vote By Mail	0	65	34	60	5	9	2	1	0	600	177	-1	0	2	0	176	0
Precinct 9512 - Election Day	0	60	39	57	1	5	0	0	0	771	161	-2	1	0	0	162	0
Precinct 9512 - Vote By Mail	0	94	61	82	5	11	1	0	0	771	251	-5	0	1	0	255	1
Precinct 9513 - Election Day	0	102	38	53	2	3	1	0	0	864	200	0	0	1	0	199	0
Precinct 9513 - Vote By Mail	0	102	59	83	0	7	1	1	0	864	261	4	1	3	0	253	0
Precinct 9514/9522 - Election Day	0	84	45	78	6	9	0	3	0	869	229	2	0	2	0	225	0
Precinct 9514/9522 - Vote By Mail	0	103	58	74	2	10	2	4	0	869	257	1	1	2	0	253	0
Precinct 9515 - Election Day	0	61	33	50	1	9	1	2	0	685	159	0	0	2	0	157	0
Precinct 9515 - Vote By Mail	0	87	58	65	4	9	3	11	0	685	243	0	1	3	0	239	2
Precinct 9516 - Election Day	2	66	40	70	9	14	0	3	0	864	206	-1	1	2	0	204	0
Precinct 9516 - Vote By Mail	0	111	60	64	9	19	0	6	0	864	269	-1	1	0	0	269	0
Precinct 9517 - Election Day	1	66	32	82	2	11	1	2	0	768	197	0	0	0	0	197	0
Precinct 9517 - Vote By Mail	1	69	55	84	8	13	1	4	0	768	235	-1	0	1	0	235	0
Precinct 9518 - Election Day	0	62	39	74	1	2	0	1	0	783	180	0	0	1	0	179	0
Precinct 9518 - Vote By Mail	0	96	53	74	7	3	2	3	0	783	242	-1	1	4	0	238	0
Precinct 9519 - Election Day	0	68	47	83	2	13	0	3	0	850	217	0	1	0	0	216	0
Precinct 9519 - Vote By Mail	0	98	82	84	4	13	1	4	0	850	294	0	2	6	0	286	0
Precinct 9521 - Election Day	1	89	46	100	1	13	0	0	0	893	254	0	0	2	0	252	2
Precinct 9521 - Vote By Mail	1	123	46	84	10	16	2	4	0	893	290	1	0	3	0	286	0
Precinct 9701 - Election Day	0	40	28	71	2	9	0	3	0	665	156	0	1	1	0	154	1
Precinct 9701 - Vote By Mail	0	82	46	64	7	14	1	17	0	665	235	-2	2	4	0	231	0
Precinct 9702 - Election Day	0	64	53	69	1	3	1	2	0	710	194	0	0	1	0	193	0
