Subtotal Area	CURTIS KARNOW	MARIA EVANGELISTA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7206 - None	36	34	375	88	0	0	16	72	2
Precinct 7206 - None	46	45	375	124	1	0	32	91	0
Precinct 7207 - None	49	38	744	119	0	0	32	87	0
Precinct 7207 - None	112	73	744	231	2	1	43	185	0
Precinct 7208 - None	27	31	567	76	0	0	18	58	0
Precinct 7208 - None	102	64	567	206	1	0	39	166	0
Precinct 7209 - None	30	19	586	69	0	0	20	49	0
Precinct 7209 - None	198	62	586	326	3	1	62	260	0
Precinct 7301 - None	66	50	1,002	150	0	0	32	118	2
Precinct 7301 - None	151	77	1,002	299	3	0	67	229	1
Precinct 7302 - None	60	36	806	121	0	2	22	97	1
Precinct 7302 - None	212	76	806	352	0	1	62	289	1
Precinct 7303 - None	55	63	986	167	-1	0	50	118	0
Precinct 7303 - None	164	89	986	318	1	0	64	253	0
Precinct 7304 - None	87	65	972	203	1	0	49	153	1
Precinct 7304 - None	172	91	972	330	0	0	66	264	1
Precinct 7305 - None	65	61	851	171	0	0	45	126	0
Precinct 7305 - None	153	85	851	306	-1	1	65	241	3
Precinct 7306 - None	63	62	1,014	179	0	0	54	125	0
Precinct 7306 - None	133	92	1,014	302	-2	0	78	226	1
Precinct 7307 - None	56	49	726	143	0	0	38	105	0
Precinct 7307 - None	111	55	726	226	2	0	58	166	0
Precinct 7308 - None	65	40	598	133	0	0	28	105	0
Precinct 7308 - None	122	45	598	204	-1	0	38	167	0
Precinct 7309 - None	66	52	826	160	-2	0	44	118	0
Precinct 7309 - None	98	65	826	209	0	0	46	163	0
Precinct 7311 - None	64	70	901	175	-1	0	41	135	1
Precinct 7311 - None	128	84	901	266	0	0	54	212	0
Precinct 7312 - None	58	35	810	128	0	0	35	93	0
Precinct 7312 - None	195	67	810	332	3	1	66	262	0
Precinct 7313 - None	53	52	925	135	0	0	30	105	0
Precinct 7313 - None	188	64	925	315	-1	0	64	252	0
Precinct 7314 - None	24	30	760	92	0	0	38	54	0
Precinct 7314 - None	116	38	760	213	-1	0	60	154	0
Precinct 7315 - None	32	52	725	119	0	0	34	85	1
Precinct 7315 - None	95	50	725	178	1	0	32	145	0
Precinct 7316 - None	40	55	824	122	0	0	26	96	1
Precinct 7316 - None	130	84	824	266	0	0	52	214	0
Precinct 7317 - None	45	46	886	117	0	0	26	91	0
Precinct 7317 - None	201	78	886	340	2	0	59	279	0
Precinct 7318 - None	42	38	709	123	0	0	43	80	0
Precinct 7318 - None	135	62	709	243	-2	0	48	197	0
Precinct 7319 - None	65	70	1,035	182	0	1	46	135	0
Precinct 7319 - None	129	82	1,035	296	0	0	85	211	0
Precinct 7321 - None	38	34	644	100	0	0	27	73	1
Precinct 7321 - None	116	49	644	211	0	0	45	166	1
Precinct 7322 - None	24	23	859	60	0	0	13	47	0
Precinct 7322 - None	190	43	859	304	-1	0	71	234	1
Precinct 7323 - None	64	45	881	146	1	0	36	109	0
Precinct 7323 - None	132	79	881	273	0	0	62	211	0
Precinct 7324 - None	48	42	687	125	0	0	35	90	0
Precinct 7324 - None	98	45	687	198	0	0	54	144	1
Precinct 7325 - None	48	54	870	150	0	0	48	102	0
Precinct 7325 - None	135	58	870	276	0	0	81	195	2
Precinct 7326 - None	63	50	853	150	1	0	35	114	1
Precinct 7326 - None	118	74	853	256	-1	0	65	192	0
Precinct 7327 - None	24	20	684	62	0	0	18	44	0
Precinct 7327 - None	173	48	684	277	1	0	54	222	1
Precinct 7328 - None	24	21	950	70	0	0	25	45	0
Precinct 7328 - None	214	62	950	391	0	1	110	280	4
Precinct 7329 - None	32	19	610	71	-1	0	21	51	0
Precinct 7329 - None	131	39	610	205	-2	0	36	171	1
Precinct 7331 - None	71	32	860	130	0	0	26	104	1
Precinct 7331 - None	203	84	860	357	-1	0	70	288	1
Precinct 7332 - None	55	63	799	154	0	0	34	120	2
Precinct 7332 - None	91	79	799	209	0	0	38	171	1
Precinct 7333 - None	71	68	974	174	1	0	34	139	0
Precinct 7333 - None	141	95	974	323	0	0	84	239	3
Precinct 7334 - None	42	45	854	113	0	0	26	87	0
Precinct 7334 - None	142	82	854	275	-2	0	52	225	1
Precinct 7335 - None	51	51	936	144	0	0	42	102	0
Precinct 7335 - None	199	99	936	354	-2	0	57	299	1
Precinct 7336 - None	62	54	920	155	2	0	37	116	0
Precinct 7336 - None	164	100	920	324	0	0	59	265	1
Precinct 7337 - None	42	44	825	115	0	0	29	86	0
Precinct 7337 - None	171	66	825	305	0	0	67	238	1
Precinct 7338 - None	31	40	884	100	1	0	28	71	0
Precinct 7338 - None	231	53	884	364	-3	0	83	284	0
Precinct 7339 - None	38	40	618	111	-1	0	34	78	0
Precinct 7339 - None	85	63	618	181	1	1	30	149	1
Precinct 7341 - None	35	58	877	124	0	0	31	93	0
Precinct 7341 - None	108	91	877	246	-2	0	49	199	0
Precinct 7342 - None	79	103	911	234	3	0	48	183	1
Precinct 7342 - None	115	85	911	251	0	0	50	201	1
Precinct 7343 - None	39	70	707	144	0	0	34	110	1
Precinct 7343 - None	55	89	707	186	3	0	39	144	0
Precinct 7344 - None	71	70	1,039	179	-1	0	38	142	1
Precinct 7344 - None	166	116	1,039	334	-1	0	53	282	0
Precinct 7345 - None	54	89	1,077	183	0	0	39	144	1
Precinct 7345 - None	117	102	1,077	283	2	0	59	222	3
Precinct 7346 - None	53	79	877	168	1	0	34	133	1
Precinct 7346 - None	92	92	877	221	-1	0	37	185	1
Precinct 7347 - None	41	69	968	137	0	0	25	112	2
Precinct 7347 - None	115	127	968	279	0	0	37	242	0
Precinct 7348 - None	53	59	832	139	-1	1	25	114	2
Precinct 7348 - None	84	79	832	202	1	0	38	163	0
Precinct 7349 - None	50	63	921	147	-1	1	33	114	1
Precinct 7349 - None	126	94	921	282	0	0	59	223	3
Precinct 7501 - None	53	33	554	118	-1	0	33	86	0
Precinct 7501 - None	91	40	554	168	0	0	37	131	0
Precinct 7502 - None	35	47	741	113	1	0	29	83	1
Precinct 7502 - None	166	114	741	349	-4	0	70	283	3
Precinct 7503 - None	53	46	727	132	1	0	31	100	1
Precinct 7503 - None	101	79	727	226	2	0	44	180	0
Precinct 7504 - None	29	30	484	76	0	0	17	59	0
Precinct 7504 - None	80	34	484	158	1	0	40	117	3
Precinct 7505 - None	69	31	871	131	0	0	29	102	2
Precinct 7505 - None	261	82	871	417	1	0	72	344	1
Precinct 7506 - None	39	58	920	133	1	0	34	98	1
Precinct 7506 - None	106	83	920	252	2	0	60	190	1
Precinct 7507 - None	47	63	919	158	-1	1	46	112	2
Precinct 7507 - None	102	102	919	255	4	0	44	207	3
Precinct 7508 - None	56	26	702	106	0	0	23	83	1
Precinct 7508 - None	164	92	702	340	0	1	82	257	1
Precinct 7509/7511 - None	70	71	909	171	-2	0	31	142	1
Precinct 7509/7511 - None	159	105	909	319	0	0	55	264	0
Precinct 7512 - None	24	40	604	96	2	0	28	66	2
Precinct 7512 - None	95	66	604	196	2	0	33	161	0
Precinct 7513 - None	43	68	790	142	0	0	31	111	0
Precinct 7513 - None	77	81	790	208	0	0	48	160	2
Precinct 7514 - None	21	37	863	95	-2	0	37	60	2
Precinct 7514 - None	92	98	863	235	2	1	42	190	0
Precinct 7515 - None	43	65	845	150	0	0	41	109	1
Precinct 7515 - None	114	108	845	289	3	0	64	222	0
Precinct 7516 - None	60	52	886	145	0	0	32	113	1
