Subtotal Area	STEVE POIZNER	RICARDO LARA	NATHALIE HRIZI	ASIF MAHMOOD	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7313 - None	33	35	17	17	925	135	0	0	33	102	0
Precinct 7313 - None	92	106	23	40	925	315	-1	0	55	261	0
Precinct 7314 - None	19	22	10	10	760	92	0	0	31	61	0
Precinct 7314 - None	27	83	20	19	760	213	-1	0	64	150	1
Precinct 7315 - None	26	35	18	19	725	119	0	0	19	100	2
Precinct 7315 - None	32	60	11	39	725	178	1	0	35	142	0
Precinct 7316 - None	19	49	21	14	824	122	0	1	18	103	0
Precinct 7316 - None	52	95	27	34	824	266	0	0	58	208	0
Precinct 7317 - None	26	37	13	16	886	117	0	0	25	92	0
Precinct 7317 - None	127	107	21	38	886	340	2	0	45	293	0
Precinct 7318 - None	30	36	9	13	709	123	0	0	34	89	1
Precinct 7318 - None	60	94	14	34	709	243	-2	1	41	203	1
Precinct 7319 - None	46	64	16	22	1,035	182	0	0	34	148	0
Precinct 7319 - None	84	91	23	29	1,035	296	0	0	68	228	1
Precinct 7321 - None	18	33	8	11	644	100	0	0	29	71	1
Precinct 7321 - None	67	67	21	27	644	211	0	0	29	182	0
Precinct 7322 - None	9	17	10	5	859	60	0	0	19	41	0
Precinct 7322 - None	42	105	23	47	859	304	-1	0	88	217	0
Precinct 7323 - None	40	49	9	22	881	146	1	1	24	120	0
Precinct 7323 - None	82	81	13	39	881	273	0	0	58	215	0
Precinct 7324 - None	19	34	26	14	687	125	0	0	32	93	0
Precinct 7324 - None	47	66	6	23	687	198	0	0	55	143	1
Precinct 7325 - None	22	56	17	12	870	150	0	1	42	107	0
Precinct 7325 - None	56	89	15	34	870	276	0	0	80	196	2
Precinct 7326 - None	30	48	20	21	853	150	1	0	29	120	1
Precinct 7326 - None	62	81	31	31	853	256	-1	0	52	205	0
Precinct 7327 - None	13	17	9	9	684	62	0	0	14	48	0
Precinct 7327 - None	47	102	23	41	684	277	1	0	63	213	0
Precinct 7328 - None	15	16	7	10	950	70	0	0	21	49	1
Precinct 7328 - None	70	128	28	43	950	391	0	1	119	271	2
Precinct 7329 - None	23	18	4	8	610	71	-1	0	16	56	3
Precinct 7329 - None	89	41	18	26	610	205	-2	0	33	174	0
Precinct 7331 - None	55	31	7	15	860	130	0	1	20	109	1
Precinct 7331 - None	143	102	12	50	860	357	-1	1	49	308	1
Precinct 7332 - None	30	56	17	21	799	154	0	1	28	125	1
Precinct 7332 - None	43	88	27	25	799	209	0	0	24	185	2
Precinct 7333 - None	32	69	17	21	974	174	1	0	34	139	0
Precinct 7333 - None	78	117	20	38	974	323	0	0	68	255	2
Precinct 7334 - None	27	34	20	10	854	113	0	0	22	91	0
Precinct 7334 - None	74	94	26	36	854	275	-2	0	46	231	1
Precinct 7335 - None	33	55	8	14	936	144	0	0	34	110	0
Precinct 7335 - None	134	107	15	40	936	354	-2	1	57	298	2
Precinct 7336 - None	41	54	16	18	920	155	2	0	24	129	0
Precinct 7336 - None	118	100	21	33	920	324	0	0	52	272	0
Precinct 7337 - None	40	25	9	16	825	115	0	0	25	90	0
Precinct 7337 - None	104	77	24	40	825	305	0	1	59	245	0
Precinct 7338 - None	22	28	10	15	884	100	1	0	24	75	0
Precinct 7338 - None	101	129	16	29	884	364	-3	1	91	275	0
Precinct 7339 - None	27	31	15	14	618	111	-1	0	25	87	0
