Subtotal Area	VIVEK VISWANATHAN	JACK M. GUERRERO	KEVIN AKIN	GREG CONLON	FIONA MA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 7541 - Vote By Mail	35	7	30	1	141	791	245	0	0	30	215	1
Precinct 7542 - Election Day	19	1	37	0	97	787	183	0	0	29	154	0
Precinct 7542 - Vote By Mail	30	4	46	1	130	787	247	0	0	36	211	0
Precinct 7543 - Election Day	16	7	21	2	105	910	187	0	1	35	151	0
Precinct 7543 - Vote By Mail	46	11	41	7	190	910	332	0	0	37	295	0
Precinct 7544 - Election Day	21	10	27	3	98	877	186	0	0	25	161	2
Precinct 7544 - Vote By Mail	48	10	35	4	180	877	331	0	0	53	278	1
Precinct 7545 - Election Day	21	9	25	2	96	877	179	0	0	26	153	0
Precinct 7545 - Vote By Mail	46	13	36	9	144	877	291	0	0	42	249	1
Precinct 7546 - Election Day	30	6	29	6	118	913	219	0	0	29	190	1
Precinct 7546 - Vote By Mail	44	12	43	11	165	913	310	0	1	34	275	0
Precinct 7547 - Election Day	28	5	40	1	124	987	244	0	0	46	198	0
Precinct 7547 - Vote By Mail	51	10	42	2	165	987	322	0	1	50	271	1
Precinct 7548 - Election Day	30	7	30	6	123	1,054	236	0	0	40	196	0
Precinct 7548 - Vote By Mail	53	8	37	7	201	1,054	345	0	1	36	308	2
Precinct 7549 - Election Day	17	4	18	5	95	785	165	0	0	26	139	0
Precinct 7549 - Vote By Mail	49	16	25	7	148	785	281	0	0	35	246	1
Precinct 7551 - Election Day	23	7	22	4	109	705	199	0	1	33	165	0
Precinct 7551 - Vote By Mail	28	6	31	1	142	705	240	0	0	32	208	0
Precinct 7552 - Election Day	20	2	19	2	121	718	191	0	0	27	164	0
Precinct 7552 - Vote By Mail	29	7	18	3	143	718	232	0	0	32	200	0
Precinct 7553 MB - Vote By Mail	13	4	0	4	57	171	87	0	0	9	78	0
Precinct 7554 - Election Day	22	4	18	4	106	785	179	0	0	23	156	2
Precinct 7554 - Vote By Mail	37	22	18	4	208	785	323	0	0	34	289	0
Precinct 7555 - Election Day	23	9	13	4	157	847	242	0	0	35	207	1
Precinct 7555 - Vote By Mail	37	7	22	4	187	847	304	0	0	47	257	0
Precinct 7556/7557 - Election Day	22	6	14	12	127	961	223	0	0	42	181	0
Precinct 7556/7557 - Vote By Mail	39	14	24	9	284	961	422	0	0	52	370	0
Precinct 7601 - Election Day	10	8	20	6	62	744	128	0	0	21	107	1
Precinct 7601 - Vote By Mail	16	17	22	9	93	744	185	0	0	28	157	0
Precinct 7602 - Election Day	14	10	26	6	68	880	147	0	0	23	124	0
Precinct 7602 - Vote By Mail	33	14	35	10	118	880	243	0	1	32	210	0
Precinct 7603 - Election Day	16	8	28	1	77	826	152	0	1	21	130	0
Precinct 7603 - Vote By Mail	23	13	25	8	121	826	215	0	0	25	190	0
Precinct 7604 - Election Day	13	11	21	7	61	906	133	0	0	19	114	1
Precinct 7604 - Vote By Mail	27	17	21	14	130	906	233	0	0	24	209	0
Precinct 7605 - Election Day	7	2	10	1	44	651	77	0	1	12	64	0
Precinct 7605 - Vote By Mail	31	11	9	6	71	651	155	0	2	25	128	0
Precinct 7606 - Election Day	12	11	18	8	56	895	127	0	0	22	105	0
Precinct 7606 - Vote By Mail	29	17	29	12	101	895	212	0	0	23	189	1
Precinct 7607 - Election Day	12	7	15	6	65	955	120	0	0	15	105	0
Precinct 7607 - Vote By Mail	26	24	36	9	144	955	265	0	1	23	241	2
Precinct 7608 - Election Day	3	5	0	2	27	388	46	0	0	9	37	0
Precinct 7608 - Vote By Mail	12	24	7	7	53	388	119	0	0	16	103	0
Precinct 7609 - Election Day	10	6	7	2	52	916	101	0	0	23	78	1
Precinct 7609 - Vote By Mail	29	36	19	20	129	916	297	0	0	63	234	1
Precinct 7611 - Election Day	9	4	4	3	38	756	76	0	0	17	59	1
Precinct 7611 - Vote By Mail	30	15	7	8	100	756	204	0	1	41	162	2
Precinct 7612 - Election Day	7	8	9	2	34	574	76	0	1	15	60	0
Precinct 7612 - Vote By Mail	24	15	13	10	105	574	210	0	1	42	167	0
Precinct 7613 - Election Day	14	3	12	7	79	887	140	0	0	25	115	0
Precinct 7613 - Vote By Mail	22	12	18	9	127	887	215	0	1	26	188	0
Precinct 7614 - Election Day	19	7	20	1	49	1,015	123	0	1	26	96	0
Precinct 7614 - Vote By Mail	29	12	27	15	131	1,015	238	0	3	20	215	1
Precinct 7615 - Election Day	6	10	9	4	40	832	108	0	2	37	69	0
Precinct 7615 - Vote By Mail	26	21	19	12	68	832	170	0	0	24	146	0
Precinct 7616 - Election Day	19	6	11	0	76	951	129	0	0	16	113	1
Precinct 7616 - Vote By Mail	56	16	16	11	187	951	331	0	0	45	286	0
Precinct 7617 - Election Day	9	9	12	4	32	751	84	0	0	18	66	0
Precinct 7617 - Vote By Mail	20	26	15	10	107	751	223	0	0	45	178	0
Precinct 7618 - Election Day	14	7	22	5	55	866	123	0	0	19	104	1
Precinct 7618 - Vote By Mail	31	12	21	10	162	866	272	0	1	35	236	0
Precinct 7619 - Election Day	28	9	22	3	63	993	154	0	0	29	125	0
Precinct 7619 - Vote By Mail	46	30	28	8	160	993	308	0	0	36	272	0
Precinct 7621 - Election Day	18	12	25	7	75	1,132	163	0	0	25	138	1
Precinct 7621 - Vote By Mail	51	24	24	17	195	1,132	346	0	0	35	311	0
Precinct 7622 - Election Day	8	2	14	5	54	964	99	0	1	14	84	1
Precinct 7622 - Vote By Mail	28	21	19	6	82	964	193	0	2	35	156	0
Precinct 7623 - Election Day	7	12	17	3	61	712	122	0	1	20	101	1
Precinct 7623 - Vote By Mail	32	16	13	6	106	712	196	0	0	23	173	0
Precinct 7624 - Election Day	11	3	7	4	61	905	104	0	0	17	87	1
Precinct 7624 - Vote By Mail	23	20	21	9	100	905	195	0	1	21	173	0
Precinct 7625 - Election Day	6	6	3	4	34	821	73	0	0	20	53	0
Precinct 7625 - Vote By Mail	41	69	12	20	192	821	415	0	3	78	334	0
Precinct 7626 - Election Day	17	4	9	3	75	1,081	128	0	1	19	108	0
Precinct 7626 - Vote By Mail	55	26	12	10	213	1,081	361	0	0	45	316	0
Precinct 7627 - Election Day	18	7	3	7	68	1,075	116	0	0	11	105	2
Precinct 7627 - Vote By Mail	35	38	4	22	178	1,075	319	0	0	42	277	0
Precinct 7628 - Election Day	18	6	26	4	73	906	156	0	0	28	128	1
Precinct 7628 - Vote By Mail	30	10	20	6	162	906	267	0	0	38	229	1
Precinct 7629 - Election Day	15	4	14	1	57	805	108	0	0	17	91	0
Precinct 7629 - Vote By Mail	27	12	18	11	110	805	206	0	1	27	178	0
Precinct 7631 - Election Day	21	8	20	4	74	1,085	146	0	1	17	128	1
Precinct 7631 - Vote By Mail	42	28	23	16	193	1,085	339	0	0	37	302	0
Precinct 7632 - Election Day	24	13	23	0	77	965	167	0	0	29	138	1
Precinct 7632 - Vote By Mail	50	15	33	8	158	965	286	0	0	21	265	1
Precinct 7633 - Election Day	11	3	5	2	57	702	90	0	0	12	78	0
Precinct 7633 - Vote By Mail	46	32	12	6	124	702	253	0	2	31	220	0
Precinct 7634 - Election Day	14	13	8	6	58	859	120	0	0	21	99	0
Precinct 7634 - Vote By Mail	45	23	14	18	161	859	291	0	3	27	261	0
Precinct 7635 - Election Day	15	2	11	2	48	782	89	0	0	10	79	1
Precinct 7635 - Vote By Mail	36	20	19	3	140	782	242	0	0	23	219	1
Precinct 7636 - Election Day	20	6	12	1	77	920	134	0	0	18	116	0
Precinct 7636 - Vote By Mail	51	25	9	13	118	920	251	0	0	35	216	0
Precinct 7637 - Election Day	15	11	2	3	47	732	89	0	0	11	78	0
Precinct 7637 - Vote By Mail	43	18	7	12	143	732	249	0	1	25	223	0
Precinct 7638 - Election Day	27	10	4	11	60	1,365	129	0	0	17	112	0
Precinct 7638 - Vote By Mail	61	51	9	34	286	1,365	492	0	0	50	442	1
Precinct 7639 - Election Day	11	12	5	6	53	962	110	0	0	22	88	1
Precinct 7639 - Vote By Mail	51	23	12	21	166	962	319	0	0	46	273	0
