Subtotal Area	VIVEK VISWANATHAN	JACK M. GUERRERO	KEVIN AKIN	GREG CONLON	FIONA MA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 9748 - Vote By Mail	33	31	14	38	189	913	342	0	1	35	306	1
Precinct 9749 - Election Day	14	7	19	4	73	893	143	0	0	25	118	1
Precinct 9749 - Vote By Mail	35	20	23	15	145	893	266	0	1	26	239	1
Precinct 9751 - Election Day	15	6	5	14	96	977	157	0	0	21	136	0
Precinct 9751 - Vote By Mail	47	25	16	34	227	977	384	0	0	34	350	1
Precinct 9752 - Election Day	12	8	4	13	89	692	143	0	0	17	126	0
Precinct 9752 - Vote By Mail	33	25	21	20	166	692	305	0	0	40	265	0
Precinct 9753 - Election Day	18	6	12	4	86	735	148	0	0	21	127	1
Precinct 9753 - Vote By Mail	20	13	26	12	171	735	266	0	0	24	242	0
Precinct 9754 - Election Day	15	5	17	9	109	701	169	0	0	13	156	1
Precinct 9754 - Vote By Mail	19	15	16	13	202	701	296	0	0	31	265	0
Precinct 9755 - Election Day	8	6	14	5	79	553	120	0	0	8	112	0
Precinct 9755 - Vote By Mail	19	23	11	12	123	553	201	0	0	13	188	0
Precinct 9756 - Election Day	10	6	10	6	77	908	126	0	0	17	109	0
Precinct 9756 - Vote By Mail	35	35	12	22	160	908	297	0	0	33	264	0
Precinct 9801 - Election Day	10	10	1	4	41	399	76	0	0	10	66	0
Precinct 9801 - Vote By Mail	19	6	13	7	92	399	148	0	0	11	137	0
Congressional District 12	25,017	13,326	19,393	11,081	125,618	426,647	225,360	0	217	30,308	194,835	400
Congressional District 14	2,416	2,058	1,533	2,415	16,444	55,344	28,223	0	34	3,243	24,946	80
Assembly District 17	16,922	8,746	13,978	5,193	82,060	280,269	147,301	0	161	19,970	127,170	271
Assembly District 19	10,511	6,638	6,948	8,303	60,002	201,722	106,282	0	90	13,581	92,611	209
BART District 7	1,726	1,191	922	600	8,639	36,166	15,261	0	16	2,139	13,106	28
BART District 8	10,849	7,786	6,660	8,834	62,940	215,670	112,119	0	91	14,745	97,283	214
BART District 9	14,858	6,407	13,344	4,062	70,483	230,155	126,203	0	144	16,667	109,392	238
Supervisorial District 1	2,212	1,147	1,997	1,531	12,613	40,919	22,431	0	18	2,875	19,538	38
Supervisorial District 2	2,893	1,700	900	2,208	13,167	48,242	24,389	0	23	3,468	20,898	30
Supervisorial District 3	2,108	1,562	1,218	1,005	9,753	38,273	18,567	0	20	2,876	15,671	25
Supervisorial District 4	1,887	1,507	1,495	1,776	12,439	41,216	21,994	0	12	2,830	19,152	48
Supervisorial District 5	3,585	1,138	3,211	769	15,857	52,114	28,694	0	32	4,056	24,606	46
Supervisorial District 6	2,301	1,384	1,329	742	9,166	41,151	17,498	0	39	2,502	14,957	35
Supervisorial District 7	2,416	1,581	1,390	2,230	15,725	46,301	26,230	0	14	2,830	23,386	44
Supervisorial District 8	4,245	1,312	3,381	835	21,668	56,415	36,015	0	24	4,485	31,506	65
Supervisorial District 9	2,528	1,233	3,393	653	11,775	41,665	22,565	0	20	2,911	19,634	52
Supervisorial District 10	1,811	1,316	1,334	660	10,224	39,848	17,900	0	16	2,505	15,379	34
Supervisorial District 11	1,447	1,504	1,278	1,087	9,675	35,847	17,300	0	33	2,213	15,054	63
Bayview/Hunters Point	650	595	521	284	4,648	19,131	7,881	0	9	1,162	6,710	12
Chinatown	916	691	476	408	4,156	16,742	8,038	0	10	1,367	6,661	14
Civic Center/Downtown	1,442	952	1,103	597	6,276	27,631	12,231	0	22	1,820	10,389	19
Diamond Heights	417	212	269	161	2,943	6,857	4,487	0	8	468	4,011	9
Excelsior	1,112	1,179	959	846	7,112	26,541	12,895	0	22	1,624	11,249	41
Haight Ashbury	1,056	258	1,073	166	4,646	14,552	8,410	0	9	1,194	7,207	8
Ingleside	458	409	397	299	3,151	11,506	5,461	0	12	711	4,738	24
Inner Sunset	692	212	531	188	3,106	9,393	5,438	0	3	696	4,739	10
Lake Merced	307	236	177	396	1,957	8,641	3,424	0	4	339	3,081	8
Laurel Heights/Anza Vista	642	210	382	300	2,810	9,744	5,037	0	6	685	4,346	2
Marina Pacific Heights	2,284	1,406	700	1,724	10,172	38,757	19,070	0	21	2,736	16,313	27
Mission	2,089	753	2,800	320	8,002	30,096	16,088	0	19	2,056	14,013	49
Noe Valley	1,273	394	966	246	6,342	16,415	10,584	0	2	1,344	9,238	17
North Bernal Heights	610	158	831	88	3,101	8,622	5,494	0	1	695	4,798	10
North Embarcadero	363	324	179	230	1,966	6,827	3,580	0	4	510	3,066	4
Portola	360	446	301	297	2,410	8,914	4,445	0	3	616	3,826	12
Potrero Hill	1,104	456	667	244	4,410	15,511	7,917	0	6	1,019	6,892	11
Richmond	1,917	1,019	1,793	1,362	11,070	35,688	19,724	0	17	2,511	17,196	35
Sea Cliff/Presidio Heights	469	291	166	407	2,618	7,813	4,593	0	2	632	3,959	8
South of Bernal Heights	582	238	622	153	3,124	9,230	5,452	0	4	722	4,726	7
South of Market	1,358	812	672	435	5,335	23,278	10,026	0	20	1,374	8,632	20
Sunset	1,843	1,497	1,466	1,759	12,267	40,651	21,684	0	12	2,792	18,880	48
Upper Market/Eureka Valley	1,460	377	1,005	234	7,512	18,424	12,111	0	8	1,497	10,606	18
Visitation Valley	241	367	152	180	1,793	7,867	3,226	0	3	479	2,744	11
West of Twin Peaks	1,874	1,230	1,019	1,736	12,672	33,960	20,797	0	8	2,230	18,559	28
Western Addition	1,914	662	1,699	436	8,463	29,200	15,490	0	16	2,272	13,202	28
