Subtotal Area	NIKI JUDITH SOLIS	JEFFREY S. ROSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7205 - None	45	97	847	183	0	0	40	143	1
Precinct 7205 - None	65	197	847	309	0	0	47	262	0
Precinct 7206 - None	28	46	375	88	0	0	13	75	1
Precinct 7206 - None	31	53	375	124	1	0	38	85	1
Precinct 7207 - None	33	55	744	119	0	0	31	88	0
Precinct 7207 - None	58	123	744	231	2	0	48	181	0
Precinct 7208 - None	32	25	567	76	0	0	19	57	0
Precinct 7208 - None	53	111	567	206	1	0	39	166	2
Precinct 7209 - None	17	31	586	69	0	0	21	48	0
Precinct 7209 - None	55	202	586	326	3	0	64	259	2
Precinct 7301 - None	53	63	1,002	150	0	0	33	117	1
Precinct 7301 - None	76	156	1,002	299	3	0	63	233	1
Precinct 7302 - None	37	59	806	121	0	2	23	96	0
Precinct 7302 - None	59	229	806	352	0	0	63	289	1
Precinct 7303 - None	55	65	986	167	-1	0	48	120	0
Precinct 7303 - None	80	156	986	318	1	0	80	237	1
Precinct 7304 - None	51	96	972	203	1	0	54	148	1
Precinct 7304 - None	86	174	972	330	0	0	68	262	2
Precinct 7305 - None	52	69	851	171	0	0	50	121	0
Precinct 7305 - None	61	174	851	306	-1	0	69	238	3
Precinct 7306 - None	47	74	1,014	179	0	0	58	121	0
Precinct 7306 - None	89	134	1,014	302	-2	0	79	225	2
Precinct 7307 - None	41	66	726	143	0	0	36	107	0
Precinct 7307 - None	58	113	726	226	2	0	53	171	0
Precinct 7308 - None	36	63	598	133	0	0	33	100	1
Precinct 7308 - None	47	118	598	204	-1	0	40	165	0
Precinct 7309 - None	52	70	826	160	-2	0	40	122	0
Precinct 7309 - None	62	101	826	209	0	0	46	163	0
Precinct 7311 - None	64	75	901	175	-1	0	37	139	0
Precinct 7311 - None	73	133	901	266	0	0	60	206	0
Precinct 7312 - None	32	57	810	128	0	0	39	89	0
Precinct 7312 - None	64	194	810	332	3	1	69	259	1
Precinct 7313 - None	46	56	925	135	0	0	33	102	0
Precinct 7313 - None	65	191	925	315	-1	0	60	256	0
Precinct 7314 - None	22	33	760	92	0	0	37	55	0
Precinct 7314 - None	30	126	760	213	-1	0	57	157	1
Precinct 7315 - None	45	40	725	119	0	0	33	86	1
Precinct 7315 - None	48	100	725	178	1	0	29	148	0
Precinct 7316 - None	54	40	824	122	0	0	27	95	1
Precinct 7316 - None	82	130	824	266	0	0	54	212	0
Precinct 7317 - None	43	49	886	117	0	0	25	92	0
Precinct 7317 - None	78	195	886	340	2	0	62	276	3
Precinct 7318 - None	39	41	709	123	0	0	42	81	1
Precinct 7318 - None	47	152	709	243	-2	0	46	199	0
Precinct 7319 - None	66	72	1,035	182	0	0	44	138	0
Precinct 7319 - None	77	139	1,035	296	0	0	80	216	0
Precinct 7321 - None	29	38	644	100	0	0	32	68	1
Precinct 7321 - None	45	119	644	211	0	0	46	165	1
Precinct 7322 - None	24	23	859	60	0	0	13	47	0
Precinct 7322 - None	31	207	859	304	-1	0	66	239	1
Precinct 7323 - None	41	66	881	146	1	1	37	107	0
Precinct 7323 - None	58	151	881	273	0	0	64	209	0
Precinct 7324 - None	38	51	687	125	0	0	36	89	0
Precinct 7324 - None	31	112	687	198	0	0	53	145	2
Precinct 7325 - None	50	53	870	150	0	0	46	104	1
Precinct 7325 - None	47	151	870	276	0	0	76	200	2
Precinct 7326 - None	49	63	853	150	1	0	36	113	1
Precinct 7326 - None	76	128	853	256	-1	0	53	204	0
Precinct 7327 - None	20	22	684	62	0	0	20	42	0
Precinct 7327 - None	49	172	684	277	1	0	55	221	0
Precinct 7328 - None	15	33	950	70	0	0	22	48	0
Precinct 7328 - None	45	239	950	391	0	1	102	288	4
Precinct 7329 - None	16	33	610	71	-1	0	22	50	1
Precinct 7329 - None	32	141	610	205	-2	0	33	174	1
Precinct 7331 - None	24	75	860	130	0	0	30	100	1
Precinct 7331 - None	84	199	860	357	-1	0	74	284	1
Precinct 7332 - None	67	52	799	154	0	0	33	121	2
Precinct 7332 - None	72	92	799	209	0	0	44	165	1
Precinct 7333 - None	63	71	974	174	1	0	38	135	1
Precinct 7333 - None	88	153	974	323	0	0	80	243	2
Precinct 7334 - None	42	44	854	113	0	0	27	86	0
Precinct 7334 - None	84	136	854	275	-2	0	56	221	1
Precinct 7335 - None	47	57	936	144	0	0	39	105	1
Precinct 7335 - None	78	222	936	354	-2	0	54	302	2
Precinct 7336 - None	47	67	920	155	2	0	39	114	0
Precinct 7336 - None	86	171	920	324	0	0	66	258	1
Precinct 7337 - None	34	50	825	115	0	0	31	84	0
Precinct 7337 - None	66	173	825	305	0	0	66	239	0
Precinct 7338 - None	27	44	884	100	1	0	28	71	0
Precinct 7338 - None	55	232	884	364	-3	1	79	287	0
Precinct 7339 - None	43	34	618	111	-1	0	35	77	0
Precinct 7339 - None	61	87	618	181	1	1	31	148	0
Precinct 7341 - None	49	47	877	124	0	0	28	96	0
Precinct 7341 - None	80	120	877	246	-2	0	48	200	0
