Subtotal Area	ALEX PADILLA	MARK P. MEUSER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7305 - Vote By Mail	341	89	871	460	0	1	29	430
Precinct 7306 - Election Day	255	37	1,056	317	0	0	25	292
Precinct 7306 - Vote By Mail	378	71	1,056	498	0	0	49	449
Precinct 7307 - Election Day	185	14	767	210	0	0	11	199
Precinct 7307 - Vote By Mail	278	45	767	346	0	0	23	323
Precinct 7308 - Election Day	149	18	603	177	0	0	10	167
Precinct 7308 - Vote By Mail	256	42	603	313	0	0	15	298
Precinct 7309 - Election Day	219	31	884	263	0	0	13	250
Precinct 7309 - Vote By Mail	344	76	884	439	0	0	19	420
Precinct 7311 - Election Day	237	23	917	268	0	0	8	260
Precinct 7311 - Vote By Mail	378	56	917	448	0	0	14	434
Precinct 7312 - Election Day	160	31	821	203	0	0	12	191
Precinct 7312 - Vote By Mail	361	79	821	470	0	0	30	440
Precinct 7313 - Election Day	195	19	968	225	1	0	10	214
Precinct 7313 - Vote By Mail	365	76	968	485	0	0	44	441
Precinct 7314 - Election Day	93	20	787	125	0	0	12	113
Precinct 7314 - Vote By Mail	189	35	787	271	0	0	47	224
Precinct 7315 - Election Day	175	25	760	220	0	0	20	200
Precinct 7315 - Vote By Mail	225	38	760	282	0	0	19	263
Precinct 7316 - Election Day	175	21	853	205	0	0	9	196
Precinct 7316 - Vote By Mail	291	41	853	367	0	0	35	332
Precinct 7317 - Election Day	155	25	904	189	0	0	9	180
Precinct 7317 - Vote By Mail	352	77	904	454	0	0	25	429
Precinct 7318 - Election Day	144	19	727	179	0	0	16	163
Precinct 7318 - Vote By Mail	314	46	727	390	0	0	30	360
Precinct 7319 - Election Day	257	27	1,079	301	0	0	17	284
Precinct 7319 - Vote By Mail	400	79	1,079	516	0	0	37	479
Precinct 7321 - Election Day	112	18	671	149	0	0	19	130
Precinct 7321 - Vote By Mail	215	44	671	286	0	0	27	259
Precinct 7322 - Election Day	47	8	874	65	0	0	10	55
Precinct 7322 - Vote By Mail	219	44	874	337	0	0	74	263
Precinct 7323 - Election Day	189	29	950	234	0	0	16	218
Precinct 7323 - Vote By Mail	359	65	950	455	0	0	31	424
Precinct 7324 - Election Day	148	24	755	190	0	0	18	172
Precinct 7324 - Vote By Mail	292	43	755	364	0	1	28	335
Precinct 7325 - Election Day	199	28	904	243	0	0	16	227
