Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7514 - None	21	255	874	305	0	0	29	276
Precinct 7515 - None	17	176	869	212	0	0	19	193
Precinct 7515 - None	33	341	869	389	0	0	15	374
Precinct 7516 - None	20	145	922	172	0	0	7	165
Precinct 7516 - None	64	447	922	538	0	0	27	511
Precinct 7517 - None	13	263	863	289	0	0	13	276
Precinct 7517 - None	18	376	863	410	0	0	16	394
Precinct 7518 - None	23	271	950	309	0	0	15	294
Precinct 7518 - None	29	429	950	480	0	0	22	458
Precinct 7519 - None	15	203	737	224	0	0	6	218
Precinct 7519 - None	19	325	737	355	0	0	11	344
Precinct 7521 - None	17	260	812	292	0	0	15	277
Precinct 7521 - None	6	337	812	354	0	0	11	343
Precinct 7522 - None	12	189	764	207	0	0	6	201
Precinct 7522 - None	12	373	764	397	0	0	12	385
Precinct 7523 - None	15	245	747	275	0	0	15	260
Precinct 7523 - None	25	322	747	359	0	0	12	347
Precinct 7524 - None	6	159	615	181	0	0	16	165
Precinct 7524 - None	17	232	615	262	0	0	13	249
Precinct 7525 - None	9	188	800	205	0	0	8	197
Precinct 7525 - None	19	303	800	341	0	0	19	322
Precinct 7526 - None	20	263	1,011	292	0	1	8	283
Precinct 7526 - None	30	498	1,011	552	0	0	24	528
Precinct 7527/7528 - None	26	174	725	211	0	1	10	200
Precinct 7527/7528 - None	34	287	725	339	0	1	17	321
Precinct 7529 - None	15	269	948	295	0	0	11	284
Precinct 7529 - None	21	455	948	486	0	0	10	476
Precinct 7531 - None	10	213	865	228	0	0	5	223
Precinct 7531 - None	16	407	865	442	0	0	19	423
Precinct 7532 - None	20	211	852	246	0	0	15	231
Precinct 7532 - None	34	353	852	398	0	0	11	387
Precinct 7533 - None	19	329	1,015	357	0	0	9	348
Precinct 7533 - None	34	427	1,015	490	0	0	29	461
Precinct 7534 - None	17	292	936	322	0	0	13	309
Precinct 7534 - None	20	375	936	415	0	0	20	395
Precinct 7535 - None	10	238	767	262	0	0	14	248
Precinct 7535 - None	22	347	767	387	0	0	18	369
Precinct 7536 - None	13	265	863	291	0	0	13	278
Precinct 7536 - None	25	389	863	421	0	0	7	414
Precinct 7537 - None	13	216	752	240	0	0	11	229
Precinct 7537 - None	19	336	752	363	0	0	8	355
Precinct 7538 - None	16	224	771	246	0	0	6	240
Precinct 7538 - None	14	370	771	400	0	0	16	384
Precinct 7539 - None	16	296	922	330	0	0	18	312
Precinct 7539 - None	21	386	922	428	0	0	21	407
Precinct 7541 - None	16	223	805	248	0	0	9	239
Precinct 7541 - None	15	368	805	400	0	0	17	383
Precinct 7542 - None	15	244	821	272	0	0	13	259
Precinct 7542 - None	25	355	821	389	0	0	9	380
Precinct 7543 - None	5	199	909	216	0	0	12	204
Precinct 7543 - None	22	432	909	467	0	0	13	454
Precinct 7544 - None	20	227	898	258	0	0	11	247
Precinct 7544 - None	16	442	898	479	0	0	21	458
Precinct 7545 - None	16	251	918	273	0	0	6	267
Precinct 7545 - None	46	410	918	480	0	0	24	456
Precinct 7546 - None	18	264	982	304	0	0	22	282
Precinct 7546 - None	20	482	982	517	0	0	15	502
Precinct 7547 - None	12	288	1,029	315	0	0	15	300
Precinct 7547 - None	16	468	1,029	505	0	0	21	484
Precinct 7548 - None	17	286	1,073	319	1	0	15	303
Precinct 7548 - None	35	465	1,073	512	0	0	12	500
Precinct 7549 - None	16	189	811	215	0	0	10	205
Precinct 7549 - None	29	383	811	431	0	0	19	412
Precinct 7551 - None	11	218	741	239	0	0	10	229
Precinct 7551 - None	23	362	741	394	0	0	9	385
Precinct 7552 - None	15	215	727	241	0	0	11	230
Precinct 7552 - None	20	326	727	361	0	0	15	346
Precinct 7553 MB - None	14	105	180	126	0	0	7	119
Precinct 7554 - None	16	221	808	247	0	0	10	237
Precinct 7554 - None	29	393	808	442	0	0	20	422
Precinct 7555 - None	13	267	886	290	0	0	10	280
Precinct 7555 - None	24	424	886	459	0	0	11	448
Precinct 7556/7557 - None	35	232	969	275	0	0	8	267
Precinct 7556/7557 - None	32	529	969	573	0	0	12	561
Precinct 7601 - None	18	159	767	191	0	0	14	177
Precinct 7601 - None	30	249	767	290	0	0	11	279
Precinct 7602 - None	20	180	901	213	0	0	13	200
Precinct 7602 - None	28	332	901	379	0	0	19	360
Precinct 7603 - None	19	218	830	250	0	0	13	237
Precinct 7603 - None	37	326	830	376	0	0	13	363
Precinct 7604 - None	28	215	954	266	0	0	23	243
Precinct 7604 - None	34	303	954	352	0	0	15	337
Precinct 7605 - None	7	102	648	120	0	0	11	109
Precinct 7605 - None	24	166	648	203	0	1	12	190
Precinct 7606 - None	28	155	924	205	0	1	21	183
Precinct 7606 - None	39	276	924	330	0	0	15	315
Precinct 7607 - None	19	181	960	215	0	1	14	200
Precinct 7607 - None	47	340	960	407	0	0	20	387
Precinct 7608 - None	8	60	392	70	0	0	2	68
Precinct 7608 - None	22	105	392	136	0	0	9	127
Precinct 7609 - None	14	87	926	120	0	0	19	101
Precinct 7609 - None	35	265	926	352	0	0	52	300
Precinct 7611 - None	19	86	755	126	0	0	21	105
Precinct 7611 - None	24	198	755	269	0	0	47	222
Precinct 7612 - None	17	71	583	97	0	1	8	88
Precinct 7612 - None	34	208	583	265	0	0	23	242
Precinct 7613 - None	14	169	908	204	0	0	21	183
Precinct 7613 - None	42	275	908	340	0	0	23	317
Precinct 7614 - None	19	183	1,029	223	0	0	21	202
Precinct 7614 - None	45	314	1,029	375	0	0	16	359
Precinct 7615 - None	23	110	762	162	0	1	28	133
Precinct 7615 - None	29	184	762	237	0	0	24	213
Precinct 7616 - None	37	266	1,203	324	0	0	21	303
Precinct 7616 - None	56	612	1,203	686	0	0	18	668
Precinct 7617 - None	15	75	768	102	0	1	11	90
Precinct 7617 - None	48	191	768	261	0	0	22	239
Precinct 7618 - None	15	143	862	168	0	0	10	158
Precinct 7618 - None	35	354	862	407	0	0	18	389
Precinct 7619 - None	22	190	1,063	219	0	0	7	212
Precinct 7619 - None	54	485	1,063	563	0	0	24	539
Precinct 7621 - None	28	243	1,320	287	0	0	16	271
Precinct 7621 - None	77	563	1,320	668	0	0	28	640
Precinct 7622 - None	14	136	988	170	0	0	20	150
Precinct 7622 - None	36	244	988	301	0	0	21	280
Precinct 7623 - None	17	150	746	184	0	0	17	167
Precinct 7623 - None	37	243	746	297	0	0	17	280
Precinct 7624 - None	15	119	859	142	0	0	8	134
Precinct 7624 - None	34	240	859	290	0	1	15	274
Precinct 7625 - None	16	42	822	66	0	0	8	58
Precinct 7625 - None	65	341	822	475	0	1	68	406
Precinct 7626 - None	22	192	1,114	227	0	0	13	214
Precinct 7626 - None	75	518	1,114	612	0	0	19	593
Precinct 7627 - None	34	216	1,187	267	0	0	17	250
Precinct 7627 - None	129	422	1,187	582	0	0	31	551
Precinct 7628 - None	25	206	960	241	0	0	10	231
Precinct 7628 - None	31	377	960	428	0	0	20	408
Precinct 7629 - None	14	180	809	208	0	0	14	194
Precinct 7629 - None	36	284	809	343	0	0	23	320
Precinct 7631 - None	31	218	1,155	270	0	0	21	249
Precinct 7631 - None	59	485	1,155	577	0	1	32	544
Precinct 7632 - None	32	236	1,124	289	0	0	21	268
Precinct 7632 - None	46	493	1,124	561	0	0	22	539
Precinct 7633 - None	17	111	741	137	0	1	8	128
Precinct 7633 - None	44	315	741	392	0	0	33	359
Precinct 7634 - None	28	147	900	195	0	0	20	175
Precinct 7634 - None	61	342	900	421	0	0	18	403
Precinct 7635 - None	14	129	840	158	0	0	15	143
Precinct 7635 - None	36	333	840	382	0	0	13	369
Precinct 7636 - None	35	203	938	251	0	0	13	238
Precinct 7636 - None	60	389	938	465	0	0	16	449
Precinct 7637 - None	41	146	809	193	0	0	6	187
Precinct 7637 - None	50	339	809	404	0	0	15	389
Precinct 7638 - None	48	235	1,467	295	0	0	12	283
Precinct 7638 - None	154	684	1,467	871	1	0	32	838
Precinct 7639 - None	37	191	1,011	242	0	1	13	228
Precinct 7639 - None	73	460	1,011	559	0	0	26	533
Precinct 7641 - None	42	148	972	205	0	0	15	190
Precinct 7641 - None	92	430	972	549	0	2	25	522
Precinct 7642 - None	19	129	937	153	0	0	5	148
Precinct 7642 - None	46	306	937	394	0	0	42	352
Precinct 7643 - None	20	136	920	169	0	0	13	156
Precinct 7643 - None	59	424	920	507	0	1	23	483
