Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7551 - Election Day	158	51	741	239	0	0	30	209
Precinct 7551 - Vote By Mail	284	51	741	394	0	1	58	335
Precinct 7552 - Election Day	159	51	727	241	0	0	31	210
Precinct 7552 - Vote By Mail	246	61	727	361	0	0	54	307
Precinct 7553 MB - Vote By Mail	86	26	180	126	0	0	14	112
Precinct 7554 - Election Day	153	55	808	247	0	0	39	208
Precinct 7554 - Vote By Mail	313	66	808	442	0	0	63	379
Precinct 7555 - Election Day	208	43	886	290	0	0	39	251
Precinct 7555 - Vote By Mail	330	68	886	459	0	1	60	398
Precinct 7556/7557 - Election Day	170	60	969	275	0	0	45	230
Precinct 7556/7557 - Vote By Mail	444	69	969	573	0	2	58	513
Precinct 7601 - Election Day	112	43	767	191	0	1	35	155
Precinct 7601 - Vote By Mail	175	81	767	290	0	0	34	256
Precinct 7602 - Election Day	122	55	901	213	0	1	35	177
Precinct 7602 - Vote By Mail	227	102	901	379	0	2	48	329
Precinct 7603 - Election Day	145	71	830	250	0	0	34	216
Precinct 7603 - Vote By Mail	247	80	830	376	0	0	49	327
Precinct 7604 - Election Day	140	80	954	266	0	1	45	220
Precinct 7604 - Vote By Mail	215	93	954	352	0	0	44	308
Precinct 7605 - Election Day	77	31	648	120	0	1	11	108
Precinct 7605 - Vote By Mail	127	45	648	203	0	1	30	172
Precinct 7606 - Election Day	110	57	924	205	0	1	37	167
Precinct 7606 - Vote By Mail	210	77	924	330	0	1	42	287
Precinct 7607 - Election Day	117	59	960	215	0	2	37	176
Precinct 7607 - Vote By Mail	264	94	960	407	0	2	47	358
Precinct 7608 - Election Day	43	16	392	70	0	1	10	59
Precinct 7608 - Vote By Mail	94	23	392	136	0	0	19	117
Precinct 7609 - Election Day	67	34	926	120	0	1	18	101
Precinct 7609 - Vote By Mail	248	53	926	352	0	0	51	301
Precinct 7611 - Election Day	70	33	755	126	0	0	23	103
Precinct 7611 - Vote By Mail	184	44	755	269	0	0	41	228
Precinct 7612 - Election Day	51	21	583	97	0	1	24	72
Precinct 7612 - Vote By Mail	189	40	583	265	0	0	36	229
Precinct 7613 - Election Day	113	55	908	204	0	1	35	168
Precinct 7613 - Vote By Mail	210	87	908	340	0	0	43	297
Precinct 7614 - Election Day	120	62	1,029	223	0	1	40	182
Precinct 7614 - Vote By Mail	232	111	1,029	375	0	1	31	343
Precinct 7615 - Election Day	91	38	762	162	0	0	33	129
Precinct 7615 - Vote By Mail	151	46	762	237	0	0	40	197
Precinct 7616 - Election Day	167	101	1,203	324	0	0	56	268
Precinct 7616 - Vote By Mail	475	137	1,203	686	0	0	74	612
Precinct 7617 - Election Day	45	43	768	102	0	0	14	88
Precinct 7617 - Vote By Mail	168	64	768	261	0	0	29	232
Precinct 7618 - Election Day	93	43	862	168	0	0	32	136
Precinct 7618 - Vote By Mail	280	77	862	407	0	1	49	357
Precinct 7619 - Election Day	139	50	1,063	219	0	0	30	189
Precinct 7619 - Vote By Mail	377	120	1,063	563	0	0	66	497
Precinct 7621 - Election Day	171	75	1,320	287	0	1	40	246
Precinct 7621 - Vote By Mail	447	138	1,320	668	0	0	83	585
Precinct 7622 - Election Day	106	40	988	170	0	0	24	146
Precinct 7622 - Vote By Mail	180	81	988	301	0	2	38	261
Precinct 7623 - Election Day	86	60	746	184	0	1	37	146
Precinct 7623 - Vote By Mail	182	74	746	297	0	0	41	256
Precinct 7624 - Election Day	88	33	859	142	0	1	20	121
Precinct 7624 - Vote By Mail	191	66	859	290	0	1	32	257
Precinct 7625 - Election Day	34	18	822	66	0	0	14	52
Precinct 7625 - Vote By Mail	321	72	822	475	0	2	80	393
Precinct 7626 - Election Day	139	57	1,114	227	0	1	30	196
Precinct 7626 - Vote By Mail	422	120	1,114	612	0	0	70	542
Precinct 7627 - Election Day	153	68	1,187	267	0	0	46	221
Precinct 7627 - Vote By Mail	366	112	1,187	582	0	0	104	478
Precinct 7628 - Election Day	136	75	960	241	0	1	29	211
Precinct 7628 - Vote By Mail	284	105	960	428	0	1	38	389
Precinct 7629 - Election Day	126	43	809	208	0	1	38	169
Precinct 7629 - Vote By Mail	219	81	809	343	0	0	43	300
Precinct 7631 - Election Day	160	65	1,155	270	0	0	45	225
Precinct 7631 - Vote By Mail	387	116	1,155	577	0	2	72	503
Precinct 7632 - Election Day	160	71	1,124	289	0	0	58	231
Precinct 7632 - Vote By Mail	380	118	1,124	561	0	0	63	498
Precinct 7633 - Election Day	80	37	741	137	0	0	20	117
