Subtotal Area	RICARDO LARA	STEVE POIZNER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7042 - Vote By Mail	179	51	639	258	0	0	28	230
Precinct 7043 - Election Day	128	37	957	176	0	0	11	165
Precinct 7043 - Vote By Mail	286	77	957	404	0	0	41	363
Precinct 7044 - Election Day	111	31	827	167	0	2	23	142
Precinct 7044 - Vote By Mail	120	59	827	193	0	0	14	179
Precinct 7045 - Election Day	65	34	779	120	0	0	21	99
Precinct 7045 - Vote By Mail	197	99	779	344	0	0	48	296
Precinct 7046 - Election Day	71	13	402	94	0	0	10	84
Precinct 7046 - Vote By Mail	99	52	402	175	0	0	24	151
Precinct 7047 - Election Day	83	22	823	119	0	0	14	105
Precinct 7047 - Vote By Mail	249	95	823	388	0	0	44	344
Precinct 7048 - Election Day	112	18	858	150	3	0	17	130
Precinct 7048 - Vote By Mail	218	67	858	318	0	0	33	285
Precinct 7049 - Election Day	95	48	792	173	0	0	30	143
Precinct 7049 - Vote By Mail	160	91	792	305	0	0	54	251
Precinct 7051 - Election Day	64	28	861	114	0	0	22	92
Precinct 7051 - Vote By Mail	204	103	861	380	0	0	73	307
Precinct 7052 - Election Day	99	41	852	161	0	0	21	140
Precinct 7052 - Vote By Mail	231	115	852	402	0	0	56	346
Precinct 7053 - Election Day	64	25	548	102	0	0	13	89
Precinct 7053 - Vote By Mail	157	97	548	278	0	0	24	254
Precinct 7054 - Election Day	160	44	1,073	215	0	0	11	204
Precinct 7054 - Vote By Mail	291	84	1,073	410	0	0	35	375
Precinct 7055 - Election Day	132	41	808	190	0	0	17	173
Precinct 7055 - Vote By Mail	269	126	808	440	0	0	45	395
Precinct 7101 MB - Vote By Mail	77	34	155	120	1	0	8	111
Precinct 7201 - Election Day	144	74	936	245	0	0	27	218
Precinct 7201 - Vote By Mail	280	190	936	518	0	0	48	470
Precinct 7202 - Election Day	122	83	850	227	0	0	22	205
Precinct 7202 - Vote By Mail	218	171	850	431	0	0	42	389
Precinct 7203 - Election Day	175	100	921	291	1	2	13	275
Precinct 7203 - Vote By Mail	244	143	921	423	0	1	35	387
Precinct 7204 - Election Day	137	69	918	233	0	0	27	206
Precinct 7204 - Vote By Mail	292	206	918	531	0	1	32	498
Precinct 7205 - Election Day	133	89	875	251	0	0	29	222
Precinct 7205 - Vote By Mail	221	218	875	485	0	0	46	439
Precinct 7206 - Election Day	93	33	378	135	0	0	9	126
Precinct 7206 - Vote By Mail	109	61	378	191	0	0	21	170
Precinct 7207 - Election Day	135	46	812	196	0	0	15	181
Precinct 7207 - Vote By Mail	239	132	812	434	0	0	63	371
Precinct 7208 - Election Day	76	25	600	111	0	0	10	101
Precinct 7208 - Vote By Mail	182	119	600	328	0	0	27	301
Precinct 7209 - Election Day	58	39	626	107	0	0	10	97
Precinct 7209 - Vote By Mail	225	160	626	423	0	0	38	385
Precinct 7301 - Election Day	142	51	1,016	228	0	0	35	193
Precinct 7301 - Vote By Mail	237	137	1,016	435	0	1	60	374
Precinct 7302 - Election Day	97	76	814	188	0	0	15	173
Precinct 7302 - Vote By Mail	257	159	814	458	0	0	42	416
Precinct 7303 - Election Day	163	86	1,042	281	0	0	32	249
Precinct 7303 - Vote By Mail	272	164	1,042	482	0	0	46	436
Precinct 7304 - Election Day	174	74	1,002	278	0	0	30	248
Precinct 7304 - Vote By Mail	254	189	1,002	493	0	0	50	443
Precinct 7305 - Election Day	141	79	871	240	0	0	20	220
Precinct 7305 - Vote By Mail	229	177	871	460	0	0	54	406
Precinct 7306 - Election Day	191	90	1,056	317	0	0	36	281
Precinct 7306 - Vote By Mail	283	160	1,056	498	0	0	55	443
Precinct 7307 - Election Day	143	46	767	210	0	0	21	189
Precinct 7307 - Vote By Mail	191	121	767	346	0	1	33	312
Precinct 7308 - Election Day	112	44	603	177	0	0	21	156
Precinct 7308 - Vote By Mail	166	117	603	313	0	0	30	283
Precinct 7309 - Election Day	158	74	884	263	0	0	31	232
Precinct 7309 - Vote By Mail	242	149	884	439	0	0	48	391
Precinct 7311 - Election Day	173	75	917	268	0	0	20	248
Precinct 7311 - Vote By Mail	260	145	917	448	0	0	43	405
Precinct 7312 - Election Day	107	75	821	203	0	0	21	182
Precinct 7312 - Vote By Mail	217	200	821	470	0	0	53	417
Precinct 7313 - Election Day	151	53	968	225	1	1	19	204
Precinct 7313 - Vote By Mail	253	164	968	485	0	0	68	417
Precinct 7314 - Election Day	73	31	787	125	0	0	21	104
Precinct 7314 - Vote By Mail	150	68	787	271	0	0	53	218
Precinct 7315 - Election Day	142	49	760	220	0	0	29	191
Precinct 7315 - Vote By Mail	167	79	760	282	0	0	36	246
Precinct 7316 - Election Day	136	45	853	205	0	0	24	181
Precinct 7316 - Vote By Mail	202	115	853	367	0	1	49	317
Precinct 7317 - Election Day	120	49	904	189	0	0	20	169
Precinct 7317 - Vote By Mail	247	154	904	454	0	0	53	401
Precinct 7318 - Election Day	101	47	727	179	0	0	31	148
Precinct 7318 - Vote By Mail	222	123	727	390	0	1	44	345
Precinct 7319 - Election Day	196	74	1,079	301	0	0	31	270
Precinct 7319 - Vote By Mail	296	166	1,079	516	0	1	53	462
Precinct 7321 - Election Day	92	31	671	149	0	0	26	123
Precinct 7321 - Vote By Mail	157	85	671	286	0	0	44	242
Precinct 7322 - Election Day	36	12	874	65	0	1	16	48
Precinct 7322 - Vote By Mail	180	76	874	337	0	0	81	256
Precinct 7323 - Election Day	135	75	950	234	0	0	24	210
Precinct 7323 - Vote By Mail	247	157	950	455	0	0	51	404
Precinct 7324 - Election Day	111	51	755	190	0	0	28	162
Precinct 7324 - Vote By Mail	216	103	755	364	0	1	44	319
Precinct 7325 - Election Day	137	67	904	243	0	0	39	204
Precinct 7325 - Vote By Mail	249	139	904	436	0	0	48	388
Precinct 7326 - Election Day	129	54	876	200	0	0	17	183
Precinct 7326 - Vote By Mail	222	148	876	430	0	0	60	370
Precinct 7327 - Election Day	37	19	699	71	0	0	15	56
Precinct 7327 - Vote By Mail	150	75	699	276	0	0	51	225
Precinct 7328 - Election Day	57	19	973	94	0	0	18	76
Precinct 7328 - Vote By Mail	211	90	973	394	0	0	93	301
Precinct 7329 - Election Day	57	42	640	112	0	0	13	99
Precinct 7329 - Vote By Mail	151	132	640	321	0	0	38	283
Precinct 7331 - Election Day	96	91	852	213	0	1	25	187
Precinct 7331 - Vote By Mail	242	183	852	461	0	0	36	425
Precinct 7332 - Election Day	140	61	834	225	0	0	24	201
Precinct 7332 - Vote By Mail	239	92	834	364	0	0	33	331
Precinct 7333 - Election Day	189	77	1,044	298	0	0	32	266
Precinct 7333 - Vote By Mail	325	165	1,044	543	0	0	53	490
Precinct 7334 - Election Day	128	50	881	199	0	0	21	178
Precinct 7334 - Vote By Mail	284	122	881	462	0	0	56	406
Precinct 7335 - Election Day	164	44	970	225	0	0	17	208
Precinct 7335 - Vote By Mail	285	187	970	523	0	0	51	472
Precinct 7336 - Election Day	151	61	955	238	0	0	26	212
Precinct 7336 - Vote By Mail	279	197	955	523	0	0	47	476
Precinct 7337 - Election Day	85	77	851	179	0	0	17	162
Precinct 7337 - Vote By Mail	232	180	851	464	0	0	52	412
Precinct 7338 - Election Day	87	47	915	153	0	0	19	134
Precinct 7338 - Vote By Mail	213	122	915	426	0	0	91	335
Precinct 7339 - Election Day	115	40	669	174	0	0	19	155
Precinct 7339 - Vote By Mail	196	83	669	309	0	0	30	279
Precinct 7341 - Election Day	175	61	908	260	0	0	24	236
Precinct 7341 - Vote By Mail	246	118	908	401	0	0	37	364
Precinct 7342 - Election Day	218	87	947	334	0	0	29	305
Precinct 7342 - Vote By Mail	249	129	947	414	0	1	35	378
Precinct 7343 - Election Day	166	47	731	234	0	0	21	213
Precinct 7343 - Vote By Mail	207	82	731	316	0	0	27	289
Precinct 7344 - Election Day	193	77	1,110	291	0	1	20	270
Precinct 7344 - Vote By Mail	350	150	1,110	538	0	0	38	500
Precinct 7345 - Election Day	226	86	1,141	329	1	0	16	312
Precinct 7345 - Vote By Mail	345	140	1,141	521	0	0	36	485
Precinct 7346 - Election Day	173	56	920	250	0	0	21	229
Precinct 7346 - Vote By Mail	273	88	920	384	0	0	23	361
Precinct 7347 - Election Day	174	43	1,040	241	0	0	24	217
Precinct 7347 - Vote By Mail	343	91	1,040	480	0	2	44	434
Precinct 7348 - Election Day	137	52	861	210	0	0	21	189
Precinct 7348 - Vote By Mail	240	75	861	353	0	0	38	315
Precinct 7349 - Election Day	159	73	957	248	0	0	16	232
Precinct 7349 - Vote By Mail	256	123	957	427	0	0	48	379
Precinct 7501 - Election Day	113	46	565	172	0	0	13	159
Precinct 7501 - Vote By Mail	161	126	565	308	0	0	21	287
Precinct 7502 - Election Day	106	52	784	180	1	0	21	158
Precinct 7502 - Vote By Mail	266	138	784	447	0	0	43	404
Precinct 7503 - Election Day	132	53	764	208	0	0	23	185
Precinct 7503 - Vote By Mail	226	125	764	388	0	0	37	351
Precinct 7504 - Election Day	72	28	503	112	0	0	12	100
Precinct 7504 - Vote By Mail	144	61	503	222	0	0	17	205
Precinct 7505 - Election Day	90	48	869	158	0	0	20	138
Precinct 7505 - Vote By Mail	301	174	869	532	0	0	57	475
Precinct 7506 - Election Day	166	43	999	226	0	1	16	209
Precinct 7506 - Vote By Mail	304	128	999	473	0	0	41	432
Precinct 7507 - Election Day	143	39	955	211	0	1	28	182
Precinct 7507 - Vote By Mail	231	81	955	344	0	2	30	312
