Subtotal Area	EVA I. CHAO	BRIAN J. LARKIN	JONATHAN LYENS	JANICE LI	MELANIE NUTTER	WILLIAM WALKER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 9123 - Election Day	29	22	20	75	19	10	858	232	0	3	53	176	1
Precinct 9123 - Vote By Mail	71	54	34	117	53	7	858	418	0	4	76	338	2
Precinct 9124 - Election Day	35	14	15	56	23	8	874	202	0	1	46	155	4
Precinct 9124 - Vote By Mail	64	49	27	138	55	17	874	438	0	2	85	351	1
Precinct 9125 - Election Day	25	24	16	59	30	7	861	210	0	0	49	161	0
Precinct 9125 - Vote By Mail	59	37	38	122	66	12	861	437	0	4	98	335	1
Precinct 9126 - Election Day	23	23	21	79	24	7	1,015	245	0	1	67	177	0
Precinct 9126 - Vote By Mail	78	46	51	145	74	10	1,015	533	0	3	125	405	1
Precinct 9127 - Election Day	37	22	22	82	27	6	960	269	0	4	68	197	1
Precinct 9127 - Vote By Mail	62	37	54	122	77	11	960	498	0	5	130	363	0
Precinct 9128 - Election Day	29	25	11	71	50	5	828	248	0	0	57	191	0
Precinct 9128 - Vote By Mail	60	26	40	117	83	11	828	412	0	5	70	337	0
Precinct 9129 - Election Day	30	30	20	67	40	9	741	243	0	0	47	196	0
Precinct 9129 - Vote By Mail	57	34	32	83	51	15	741	348	0	1	74	273	1
Precinct 9131 - Election Day	22	18	20	46	29	4	759	193	0	1	52	140	1
Precinct 9131 - Vote By Mail	63	27	34	128	68	2	759	403	0	4	77	322	0
Precinct 9132 - Election Day	26	18	23	82	21	10	837	248	0	2	66	180	0
Precinct 9132 - Vote By Mail	43	37	31	134	39	9	837	371	0	4	74	293	0
Precinct 9133 - Election Day	42	26	23	82	41	7	1,021	271	0	3	47	221	0
Precinct 9133 - Vote By Mail	55	49	68	148	66	9	1,021	503	0	9	98	396	1
Precinct 9134 - Election Day	23	18	17	61	19	8	893	210	0	2	62	146	0
Precinct 9134 - Vote By Mail	60	39	46	136	67	8	893	469	0	6	106	357	1
Precinct 9135 - Election Day	19	40	20	46	28	7	808	215	0	2	52	161	1
Precinct 9135 - Vote By Mail	40	71	42	70	49	6	808	389	0	8	102	279	1
Precinct 9136 - Election Day	35	23	21	55	33	11	929	253	0	2	71	180	2
Precinct 9136 - Vote By Mail	68	47	52	108	62	5	929	439	0	6	90	343	1
Precinct 9137 - Election Day	46	30	27	59	36	7	1,006	260	0	2	53	205	0
Precinct 9137 - Vote By Mail	61	56	43	127	57	11	1,006	467	0	3	109	355	0
Precinct 9138 - Election Day	39	32	15	58	18	5	943	226	1	3	55	167	0
Precinct 9138 - Vote By Mail	82	48	63	141	51	3	943	477	1	1	86	389	1
Precinct 9139 - Election Day	33	30	20	60	22	8	975	243	0	1	67	175	2
