Subtotal Area	PHIL TING	KEITH BOGDON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9234 - None	336	83	746	438	0	0	19	419
Precinct 9235 - None	186	36	884	239	0	0	17	222
Precinct 9235 - None	355	107	884	488	0	0	26	462
Precinct 9236 - None	145	43	683	201	0	0	13	188
Precinct 9236 - None	292	46	683	358	0	0	20	338
Precinct 9237 - None	180	29	936	229	0	0	20	209
Precinct 9237 - None	411	84	936	539	0	0	44	495
Precinct 9238 - None	159	47	842	230	0	0	24	206
Precinct 9238 - None	333	96	842	456	0	0	27	429
Precinct 9239 - None	145	34	881	200	0	0	21	179
Precinct 9239 - None	377	89	881	499	0	0	33	466
Precinct 9241 - None	188	42	1,005	255	0	0	25	230
Precinct 9241 - None	450	93	1,005	578	0	1	34	543
Precinct 9242 - None	194	61	972	277	0	0	22	255
Precinct 9242 - None	410	80	972	513	0	0	23	490
Precinct 9243 - None	145	27	594	193	0	1	20	172
Precinct 9243 - None	255	38	594	307	0	0	14	293
Precinct 9244 - None	215	26	903	255	0	0	14	241
Precinct 9244 - None	407	44	903	485	0	0	34	451
Precinct 9245 - None	168	29	742	209	0	0	12	197
Precinct 9245 - None	311	42	742	375	0	0	22	353
Precinct 9246 - None	206	28	929	257	0	0	23	234
Precinct 9246 - None	419	86	929	528	0	0	23	505
Precinct 9247 - None	196	44	927	264	0	0	24	240
Precinct 9247 - None	420	77	927	515	0	0	18	497
Precinct 9248 - None	206	34	907	258	0	0	18	240
Precinct 9248 - None	404	56	907	487	0	0	27	460
Precinct 9249 - None	220	34	917	271	0	0	17	254
Precinct 9249 - None	391	75	917	495	0	0	29	466
Precinct 9251 - None	232	32	995	287	0	0	23	264
Precinct 9251 - None	432	72	995	530	0	0	26	504
Precinct 9252 - None	181	28	944	219	0	0	10	209
Precinct 9252 - None	421	96	944	550	0	0	33	517
Precinct 9253 - None	133	36	772	187	0	0	18	169
Precinct 9253 - None	310	66	772	397	0	1	20	376
Precinct 9254 - None	198	22	935	230	0	0	10	220
Precinct 9254 - None	453	59	935	538	0	0	26	512
Precinct 9255 - None	152	17	553	183	0	0	14	169
Precinct 9255 - None	222	27	553	263	0	0	14	249
Precinct 9256 - None	119	5	474	130	0	0	6	124
Precinct 9256 - None	203	20	474	233	0	0	10	223
Precinct 9257 MB - None	216	12	321	235	0	0	7	228
Precinct 9258 - None	170	15	712	193	0	0	8	185
Precinct 9258 - None	309	46	712	373	0	0	18	355
Precinct 9401 - None	251	21	1,012	293	0	0	21	272
Precinct 9401 - None	413	51	1,012	484	0	0	20	464
Precinct 9402 - None	242	23	977	290	0	0	25	265
Precinct 9402 - None	376	57	977	458	0	0	25	433
Precinct 9403 - None	198	28	897	240	0	1	13	226
Precinct 9403 - None	335	67	897	419	0	0	17	402
Precinct 9404 - None	162	22	930	200	0	0	16	184
Precinct 9404 - None	379	62	930	462	0	0	21	441
Precinct 9405 - None	162	35	786	210	0	0	13	197
Precinct 9405 - None	287	61	786	364	0	0	16	348
Precinct 9406 - None	185	41	868	244	0	0	18	226
Precinct 9406 - None	346	51	868	421	0	0	24	397
Precinct 9407 - None	206	35	889	253	0	1	11	241
Precinct 9407 - None	337	46	889	409	0	0	26	383
Precinct 9408 - None	223	22	886	265	0	0	20	245
Precinct 9408 - None	366	32	886	415	0	0	17	398
Precinct 9409 - None	182	12	590	201	0	0	7	194
Precinct 9409 - None	208	27	590	252	0	0	17	235
Precinct 9411 - None	234	19	956	271	0	0	18	253
Precinct 9411 - None	369	42	956	431	0	0	20	411
Precinct 9412 - None	200	24	848	245	0	0	21	224
Precinct 9412 - None	307	45	848	380	0	0	28	352
Precinct 9413 - None	187	29	894	229	0	0	13	216
Precinct 9413 - None	362	69	894	461	0	0	30	431
Precinct 9414 - None	172	33	916	216	0	0	11	205
Precinct 9414 - None	381	63	916	463	0	1	18	444
Precinct 9415 - None	136	35	784	187	0	1	15	171
Precinct 9415 - None	310	62	784	392	0	0	20	372
Precinct 9416 - None	231	37	1,008	282	1	0	13	268
Precinct 9416 - None	399	59	1,008	480	1	0	21	458
Precinct 9417 - None	134	27	752	175	0	0	14	161
Precinct 9417 - None	307	71	752	402	0	1	23	378
Precinct 9418 - None	153	41	790	211	0	0	17	194
Precinct 9418 - None	267	79	790	376	0	0	30	346
Precinct 9419 - None	153	49	924	222	0	0	20	202
Precinct 9419 - None	337	106	924	468	0	0	25	443
Precinct 9421 - None	177	41	906	238	0	0	20	218
Precinct 9421 - None	341	76	906	446	0	1	28	417
Precinct 9422 - None	214	47	1,056	283	0	0	22	261
Precinct 9422 - None	379	106	1,056	513	0	0	28	485
Precinct 9423 - None	169	32	889	219	0	0	18	201
Precinct 9423 - None	374	51	889	440	0	0	15	425
Precinct 9424 - None	181	30	952	224	0	0	13	211
Precinct 9424 - None	397	81	952	496	0	0	18	478
Precinct 9425 - None	159	22	933	199	0	0	18	181
Precinct 9425 - None	344	99	933	465	0	1	21	443
Precinct 9426 - None	154	22	823	198	0	0	22	176
Precinct 9426 - None	300	75	823	408	0	1	32	375
Precinct 9427 - None	148	37	948	210	0	0	25	185
Precinct 9427 - None	313	107	948	447	0	1	26	420
Precinct 9428 - None	141	28	961	183	0	0	14	169
Precinct 9428 - None	405	93	961	518	0	0	20	498
Precinct 9429 - None	164	45	899	228	1	0	18	209
Precinct 9429 - None	340	73	899	432	0	0	19	413
Precinct 9431 - None	192	28	973	235	0	0	15	220
Precinct 9431 - None	364	85	973	464	0	0	15	449
Precinct 9432 - None	175	24	945	214	0	0	15	199
Precinct 9432 - None	387	52	945	468	0	0	29	439
Precinct 9433 - None	144	33	945	195	0	0	18	177
Precinct 9433 - None	370	91	945	487	0	0	26	461
Precinct 9434 - None	216	31	979	261	0	0	14	247
Precinct 9434 - None	384	65	979	481	1	0	31	449
Precinct 9435 - None	195	39	969	251	0	1	16	234
Precinct 9435 - None	347	61	969	448	0	0	40	408
Precinct 9436 - None	173	41	1,006	232	0	0	18	214
Precinct 9436 - None	380	92	1,006	495	0	0	23	472
Precinct 9437 - None	177	24	897	219	0	0	18	201
Precinct 9437 - None	313	102	897	435	0	0	20	415
Precinct 9438 - None	151	33	948	202	0	0	18	184
Precinct 9438 - None	390	88	948	496	0	0	18	478
Precinct 9439 - None	132	29	879	173	0	0	12	161
Precinct 9439 - None	325	81	879	425	0	0	19	406
Precinct 9441 - None	217	29	980	261	0	0	15	246
Precinct 9441 - None	366	68	980	462	0	0	28	434
Precinct 9442 - None	224	45	1,008	280	0	0	11	269
Precinct 9442 - None	349	91	1,008	461	0	0	21	440
Precinct 9443 - None	177	33	937	220	1	0	9	210
Precinct 9443 - None	360	68	937	442	0	0	14	428
Precinct 9444 - None	141	36	937	190	1	0	12	177
Precinct 9444 - None	332	90	937	442	0	0	20	422
Precinct 9445 - None	181	39	981	230	0	0	10	220
Precinct 9445 - None	387	82	981	493	0	0	24	469
Precinct 9446 - None	196	30	1,090	240	0	0	14	226
Precinct 9446 - None	424	123	1,090	564	0	0	17	547
Precinct 9447 - None	190	30	906	236	0	0	16	220
Precinct 9447 - None	355	73	906	448	0	0	20	428
Precinct 9448 - None	187	31	909	232	0	0	14	218
Precinct 9448 - None	341	65	909	429	0	0	23	406
Precinct 9449 - None	134	24	830	177	2	0	17	158
Precinct 9449 - None	334	77	830	428	0	0	17	411
Precinct 9451 - None	71	18	420	97	0	0	8	89
Precinct 9451 - None	149	57	420	218	0	0	12	206
Precinct 9452 - None	191	52	840	259	0	0	16	243
Precinct 9452 - None	305	88	840	412	0	0	19	393
Precinct 9453 - None	86	38	500	135	0	0	11	124
Precinct 9453 - None	186	43	500	244	0	0	15	229
Precinct 9501 MB - None	87	13	148	110	0	0	10	100
Precinct 9502 MB - None	161	12	245	177	0	0	4	173
Precinct 9503/9504 - None	165	15	729	198	0	0	18	180
Precinct 9503/9504 - None	275	24	729	315	0	0	16	299
Precinct 9505 - None	148	16	784	177	0	0	13	164
Precinct 9505 - None	338	26	784	383	0	0	19	364
Precinct 9506 - None	154	13	766	177	0	0	10	167
Precinct 9506 - None	276	22	766	313	0	0	15	298
Precinct 9507 - None	208	6	766	231	0	0	17	214
Precinct 9507 - None	369	22	766	406	0	0	15	391
Precinct 9508 - None	217	4	798	237	0	0	16	221
Precinct 9508 - None	413	9	798	429	0	0	7	422
Precinct 9509 - None	203	14	759	230	0	0	13	217
Precinct 9509 - None	351	23	759	386	0	0	12	374
Precinct 9511 - None	161	20	622	190	0	0	9	181
Precinct 9511 - None	261	22	622	296	0	0	13	283
Precinct 9512 - None	212	13	809	240	0	0	15	225
Precinct 9512 - None	359	22	809	399	0	0	18	381
Precinct 9513 - None	230	20	902	275	0	0	25	250
Precinct 9513 - None	350	23	902	390	0	0	17	373
Precinct 9514/9522 - None	263	24	928	304	0	0	17	287
Precinct 9514/9522 - None	408	29	928	456	0	0	19	437
Precinct 9515 - None	191	20	705	222	0	0	11	211
Precinct 9515 - None	319	32	705	368	0	0	17	351
Precinct 9516 - None	202	34	866	254	0	0	18	236
Precinct 9516 - None	356	50	866	427	0	0	21	406
Precinct 9517 - None	199	15	801	228	0	0	14	214
Precinct 9517 - None	362	23	801	397	0	0	12	385
Precinct 9518 - None	205	10	802	229	0	0	14	215
Precinct 9518 - None	374	37	802	431	0	0	20	411
Precinct 9519 - None	227	20	910	262	0	0	15	247
Precinct 9519 - None	440	31	910	486	0	0	15	471
Precinct 9521 - None	282	18	939	316	0	0	16	300
Precinct 9521 - None	396	26	939	442	0	1	19	422
Precinct 9701 - None	172	14	671	201	0	0	15	186
Precinct 9701 - None	275	41	671	340	0	0	24	316
Precinct 9702 - None	184	16	723	210	0	0	10	200
Precinct 9702 - None	310	38	723	364	0	0	16	348
Precinct 9703 - None	182	37	986	232	0	0	13	219
Precinct 9703 - None	436	69	986	530	0	0	25	505
Precinct 9704 - None	243	23	950	279	0	0	13	266
Precinct 9704 - None	420	59	950	505	0	0	26	479
Precinct 9705 - None	217	24	919	261	3	0	17	241
Precinct 9705 - None	433	31	919	483	0	1	18	464
Precinct 9706 MB - None	32	3	49	39	0	0	4	35
Precinct 9707 - None	124	37	821	173	0	0	12	161
Precinct 9707 - None	386	79	821	491	0	0	26	465
Precinct 9708 - None	212	25	948	250	0	0	13	237
Precinct 9708 - None	440	42	948	500	0	0	18	482
Precinct 9709 - None	222	36	1,028	281	7	0	16	258
Precinct 9709 - None	406	84	1,028	517	0	0	27	490
Precinct 9711 - None	161	25	641	195	0	0	9	186
Precinct 9711 - None	280	48	641	336	0	0	8	328
Precinct 9712 - None	131	22	649	160	0	0	7	153
Precinct 9712 - None	315	65	649	398	1	2	15	380
Precinct 9713 - None	172	38	960	225	1	0	14	210
Precinct 9713 - None	371	94	960	489	0	0	24	465
Precinct 9714 - None	150	47	931	208	1	0	10	197
Precinct 9714 - None	420	100	931	538	0	0	18	520
Precinct 9715 - None	140	29	569	180	0	0	11	169
Precinct 9715 - None	239	61	569	309	0	0	9	300
Precinct 9716 - None	184	37	947	239	0	0	18	221
Precinct 9716 - None	386	69	947	481	0	0	26	455
Precinct 9717 - None	206	44	972	265	0	0	15	250
Precinct 9717 - None	425	78	972	532	0	0	29	503
Precinct 9718 - None	176	40	862	227	0	0	11	216
Precinct 9718 - None	369	102	862	496	0	0	25	471
Precinct 9719 - None	188	41	901	245	0	0	16	229
Precinct 9719 - None	394	102	901	524	2	0	26	496
Precinct 9721 - None	152	39	662	198	0	0	7	191
Precinct 9721 - None	280	61	662	357	0	0	16	341
Precinct 9722 - None	85	24	605	119	1	0	9	109
Precinct 9722 - None	278	66	605	355	0	0	11	344
Precinct 9723 - None	65	29	481	98	0	0	4	94
Precinct 9723 - None	189	66	481	275	0	0	20	255
Precinct 9724 - None	144	45	991	205	0	1	15	189
Precinct 9724 - None	385	150	991	565	0	0	30	535
Precinct 9725 - None	144	47	970	214	0	0	23	191
Precinct 9725 - None	347	117	970	499	0	0	35	464
Precinct 9726 - None	216	35	655	263	0	0	12	251
Precinct 9726 - None	194	36	655	241	0	0	11	230
Precinct 9727 - None	54	21	459	79	0	0	4	75
Precinct 9727 - None	179	71	459	271	0	0	21	250
Precinct 9728 - None	165	51	926	231	0	0	15	216
Precinct 9728 - None	350	127	926	503	0	0	26	477
Precinct 9729 - None	125	49	800	191	0	0	17	174
Precinct 9729 - None	314	108	800	442	0	0	20	422
Precinct 9731 - None	114	39	556	167	0	1	13	153
Precinct 9731 - None	204	60	556	282	0	0	18	264
Precinct 9732 MB - None	48	8	70	56	0	0	0	56
Precinct 9733 MB - None	167	21	235	191	0	0	3	188
Precinct 9734 - None	107	41	603	154	0	0	6	148
Precinct 9734 - None	261	67	603	341	0	0	13	328
Precinct 9735 - None	141	46	809	206	0	0	19	187
Precinct 9735 - None	345	85	809	449	0	0	19	430
Precinct 9736 - None	127	34	713	173	0	0	12	161
Precinct 9736 - None	352	47	713	410	0	0	11	399
Precinct 9737 - None	169	24	818	208	0	0	15	193
Precinct 9737 - None	404	52	818	476	0	0	20	456
Precinct 9738 - None	142	32	848	185	0	0	11	174
Precinct 9738 - None	316	64	848	404	0	0	24	380
Precinct 9739 - None	189	21	828	220	0	0	10	210
Precinct 9739 - None	279	45	828	335	0	0	11	324
Precinct 9741 - None	218	7	552	232	0	0	7	225
Precinct 9741 - None	99	4	552	105	0	0	2	103
Precinct 9742 - None	127	39	677	180	4	0	10	166
Precinct 9742 - None	209	62	677	289	0	0	18	271
Precinct 9743 - None	250	36	1,163	310	0	0	24	286
Precinct 9743 - None	426	59	1,163	501	0	0	16	485
Precinct 9744 - None	196	37	911	247	1	0	13	233
Precinct 9744 - None	313	67	911	391	0	0	11	380
Precinct 9745 - None	220	35	991	282	0	0	27	255
Precinct 9745 - None	297	41	991	346	0	0	8	338
Precinct 9746 - None	164	59	884	232	0	0	9	223
Precinct 9746 - None	348	90	884	452	0	0	14	438
Precinct 9747 - None	212	25	973	246	0	0	9	237
Precinct 9747 - None	379	69	973	470	0	1	21	448
Precinct 9748 - None	183	35	931	229	0	0	11	218
Precinct 9748 - None	375	77	931	475	1	0	22	452
Precinct 9749 - None	176	25	913	225	2	0	22	201
Precinct 9749 - None	321	44	913	384	0	0	19	365
Precinct 9751 - None	201	35	1,016	253	0	0	17	236
Precinct 9751 - None	416	83	1,016	523	0	0	24	499
Precinct 9752 - None	130	34	710	175	3	0	8	164
Precinct 9752 - None	314	68	710	392	0	0	10	382
Precinct 9753 - None	155	21	756	186	0	0	10	176
Precinct 9753 - None	327	45	756	388	0	0	16	372
Precinct 9754 - None	39	5	707	47	0	0	3	44
Precinct 9754 - None	325	40	707	377	0	0	12	365
Precinct 9755 - None	148	14	582	172	0	0	10	162
Precinct 9755 - None	236	36	582	285	2	0	11	272
Precinct 9756 - None	149	29	941	185	0	0	7	178
Precinct 9756 - None	371	77	941	477	0	0	29	448
Precinct 9801 - None	80	17	408	104	0	0	7	97
Precinct 9801 - None	148	26	408	181	0	0	7	174
Congressional District 12	94,026	16,891	152,507	117,664	25	25	6,697	110,917
Congressional District 14	31,778	6,347	56,946	40,357	19	12	2,201	38,125
Assembly District 19	125,804	23,238	209,453	158,021	44	37	8,898	149,042
BART District 8	110,359	21,622	185,764	140,037	41	35	7,980	131,981
