Subtotal Area	MARSHALL TUCK	TONY K. THURMOND	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7319 - None	154	206	1,079	516	0	2	150	364	4
Precinct 7321 - None	38	54	671	149	0	0	56	93	1
Precinct 7321 - None	85	119	671	286	0	1	79	206	2
Precinct 7322 - None	14	30	874	65	0	1	19	45	1
Precinct 7322 - None	92	123	874	337	0	2	117	218	3
Precinct 7323 - None	79	98	950	234	0	1	55	178	1
Precinct 7323 - None	121	204	950	455	0	3	126	326	1
Precinct 7324 - None	51	79	755	190	0	0	60	130	0
Precinct 7324 - None	94	180	755	364	0	2	88	274	0
Precinct 7325 - None	74	98	904	243	0	1	68	174	2
Precinct 7325 - None	102	217	904	436	0	1	113	322	3
Precinct 7326 - None	55	92	876	200	0	0	52	148	1
Precinct 7326 - None	131	193	876	430	0	1	104	325	1
Precinct 7327 - None	14	38	699	71	0	0	19	52	0
Precinct 7327 - None	90	104	699	276	0	1	81	194	0
Precinct 7328 - None	21	26	973	94	0	0	47	47	0
Precinct 7328 - None	113	169	973	394	0	0	111	283	1
Precinct 7329 - None	38	45	640	112	0	0	29	83	0
Precinct 7329 - None	136	108	640	321	0	1	75	245	1
Precinct 7331 - None	69	79	852	213	0	2	58	153	5
Precinct 7331 - None	142	215	852	461	0	1	102	358	1
Precinct 7332 - None	63	94	834	225	0	3	65	157	0
Precinct 7332 - None	75	206	834	364	0	3	78	283	2
Precinct 7333 - None	83	139	1,044	298	0	1	75	222	0
Precinct 7333 - None	163	266	1,044	543	0	0	114	429	0
Precinct 7334 - None	48	83	881	199	0	2	66	131	0
Precinct 7334 - None	125	215	881	462	0	2	118	342	2
Precinct 7335 - None	46	121	970	225	0	1	56	168	1
Precinct 7335 - None	163	239	970	523	0	1	119	403	1
Precinct 7336 - None	71	101	955	238	0	0	65	173	1
Precinct 7336 - None	151	234	955	523	0	3	132	388	3
Precinct 7337 - None	59	69	851	179	0	3	47	129	1
Precinct 7337 - None	168	180	851	464	0	1	113	350	2
Precinct 7338 - None	51	73	915	153	0	2	27	124	0
