Subtotal Area	ED HERNANDEZ	ELENI KOUNALAKIS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7343 - None	133	156	731	316	0	0	27	289
Precinct 7344 - None	112	149	1,110	291	0	0	30	261
Precinct 7344 - None	237	246	1,110	538	0	0	55	483
Precinct 7345 - None	138	162	1,141	329	1	0	28	300
Precinct 7345 - None	181	292	1,141	521	0	1	47	473
Precinct 7346 - None	99	126	920	250	0	0	25	225
Precinct 7346 - None	149	204	920	384	0	1	30	353
Precinct 7347 - None	121	92	1,040	241	0	1	27	213
Precinct 7347 - None	167	264	1,040	480	0	1	48	431
Precinct 7348 - None	85	101	861	210	0	0	24	186
Precinct 7348 - None	150	160	861	353	0	1	42	310
Precinct 7349 - None	101	123	957	248	0	1	23	224
Precinct 7349 - None	159	202	957	427	0	0	66	361
Precinct 7501 - None	76	86	565	172	0	0	10	162
Precinct 7501 - None	108	165	565	308	0	0	35	273
Precinct 7502 - None	80	81	784	180	1	0	18	161
Precinct 7502 - None	162	224	784	447	0	1	60	386
Precinct 7503 - None	71	112	764	208	0	0	25	183
Precinct 7503 - None	145	193	764	388	0	1	49	338
Precinct 7504 - None	45	54	503	112	0	0	13	99
Precinct 7504 - None	103	96	503	222	0	1	22	199
Precinct 7505 - None	53	82	869	158	0	1	22	135
Precinct 7505 - None	226	234	869	532	0	1	71	460
Precinct 7506 - None	89	122	999	226	0	0	15	211
Precinct 7506 - None	166	252	999	473	0	0	55	418
Precinct 7507 - None	85	90	955	211	0	1	35	175
Precinct 7507 - None	154	150	955	344	0	1	39	304
Precinct 7508 - None	66	64	727	154	0	0	24	130
Precinct 7508 - None	174	195	727	427	0	0	58	369
Precinct 7509/7511 - None	103	103	932	235	2	1	26	206
Precinct 7509/7511 - None	205	221	932	470	1	1	42	426
Precinct 7512 - None	50	60	612	150	0	0	40	110
Precinct 7512 - None	110	129	612	283	0	1	43	239
Precinct 7513 - None	96	95	818	225	0	3	31	191
Precinct 7513 - None	114	151	818	315	0	3	47	265
Precinct 7514 - None	79	46	874	140	0	0	15	125
Precinct 7514 - None	141	113	874	305	0	2	49	254
Precinct 7515 - None	92	91	869	212	0	0	29	183
Precinct 7515 - None	167	180	869	389	0	0	42	347
Precinct 7516 - None	68	88	922	172	0	1	15	156
Precinct 7516 - None	198	272	922	538	0	2	66	470
Precinct 7517 - None	135	134	863	289	0	0	20	269
Precinct 7517 - None	183	186	863	410	0	1	40	369
Precinct 7518 - None	141	142	950	309	0	0	26	283
Precinct 7518 - None	206	215	950	480	0	0	59	421
Precinct 7519 - None	114	97	737	224	0	0	13	211
Precinct 7519 - None	133	179	737	355	0	0	43	312
Precinct 7521 - None	131	129	812	292	0	0	32	260
Precinct 7521 - None	152	164	812	354	0	0	38	316
Precinct 7522 - None	103	89	764	207	0	0	15	192
Precinct 7522 - None	200	162	764	397	0	0	35	362
Precinct 7523 - None	140	113	747	275	0	0	22	253
Precinct 7523 - None	150	179	747	359	0	0	30	329
Precinct 7524 - None	84	74	615	181	0	0	23	158
Precinct 7524 - None	101	131	615	262	0	0	30	232
Precinct 7525 - None	96	92	800	205	0	0	17	188
Precinct 7525 - None	142	160	800	341	0	1	38	302
Precinct 7526 - None	126	137	1,011	292	0	1	28	263
Precinct 7526 - None	214	284	1,011	552	0	0	54	498
Precinct 7527/7528 - None	114	77	725	211	0	1	19	191
Precinct 7527/7528 - None	167	132	725	339	0	2	38	299
Precinct 7529 - None	141	121	948	295	0	0	33	262
Precinct 7529 - None	220	225	948	486	0	0	41	445
Precinct 7531 - None	115	101	865	228	0	0	12	216
Precinct 7531 - None	190	204	865	442	0	0	48	394
Precinct 7532 - None	115	104	852	246	0	0	27	219
Precinct 7532 - None	179	185	852	398	0	1	33	364
Precinct 7533 - None	175	158	1,015	357	0	0	24	333
Precinct 7533 - None	196	245	1,015	490	0	0	49	441
Precinct 7534 - None	166	125	936	322	0	1	30	291
Precinct 7534 - None	182	199	936	415	0	2	32	381
Precinct 7535 - None	114	121	767	262	0	0	27	235
Precinct 7535 - None	160	177	767	387	0	1	49	337
Precinct 7536 - None	139	130	863	291	0	0	22	269
Precinct 7536 - None	184	207	863	421	0	0	30	391
Precinct 7537 - None	121	100	752	240	0	0	19	221
Precinct 7537 - None	174	164	752	363	0	0	25	338
Precinct 7538 - None	116	111	771	246	0	0	19	227
Precinct 7538 - None	167	192	771	400	0	0	41	359
Precinct 7539 - None	178	121	922	330	0	0	31	299
Precinct 7539 - None	200	181	922	428	0	0	47	381
Precinct 7541 - None	130	97	805	248	0	0	21	227
Precinct 7541 - None	206	165	805	400	0	0	29	371
Precinct 7542 - None	113	137	821	272	0	0	22	250
Precinct 7542 - None	166	195	821	389	0	0	28	361
Precinct 7543 - None	93	100	909	216	0	0	23	193
Precinct 7543 - None	192	225	909	467	0	0	50	417
Precinct 7544 - None	106	121	898	258	0	0	31	227
Precinct 7544 - None	202	232	898	479	0	0	45	434
Precinct 7545 - None	145	106	918	273	0	0	22	251
Precinct 7545 - None	211	219	918	480	0	0	50	430
Precinct 7546 - None	135	136	982	304	0	0	33	271
Precinct 7546 - None	243	234	982	517	0	1	39	477
Precinct 7547 - None	148	136	1,029	315	0	0	31	284
Precinct 7547 - None	206	252	1,029	505	0	0	47	458
Precinct 7548 - None	150	137	1,073	319	1	0	31	287
Precinct 7548 - None	231	248	1,073	512	0	0	33	479
Precinct 7549 - None	106	88	811	215	0	0	21	194
Precinct 7549 - None	168	204	811	431	0	1	58	372
Precinct 7551 - None	104	112	741	239	0	0	23	216
Precinct 7551 - None	166	190	741	394	0	1	37	356
Precinct 7552 - None	123	103	727	241	0	0	15	226
Precinct 7552 - None	143	178	727	361	0	0	40	321
Precinct 7553 MB - None	54	56	180	126	0	0	16	110
Precinct 7554 - None	103	118	808	247	0	0	26	221
Precinct 7554 - None	171	224	808	442	0	0	47	395
Precinct 7555 - None	141	121	886	290	0	0	28	262
Precinct 7555 - None	175	229	886	459	0	0	55	404
Precinct 7556/7557 - None	110	134	969	275	0	0	31	244
Precinct 7556/7557 - None	253	273	969	573	0	0	47	526
Precinct 7601 - None	85	80	767	191	0	0	26	165
Precinct 7601 - None	111	150	767	290	0	1	28	261
Precinct 7602 - None	98	91	901	213	0	1	23	189
Precinct 7602 - None	176	165	901	379	0	1	37	341
Precinct 7603 - None	110	115	830	250	0	0	25	225
Precinct 7603 - None	134	206	830	376	0	0	36	340
Precinct 7604 - None	118	117	954	266	0	1	30	235
Precinct 7604 - None	153	165	954	352	0	0	34	318
Precinct 7605 - None	57	52	648	120	0	0	11	109
Precinct 7605 - None	86	89	648	203	0	2	26	175
Precinct 7606 - None	93	78	924	205	0	2	32	171
Precinct 7606 - None	146	143	924	330	0	0	41	289
Precinct 7607 - None	87	103	960	215	0	1	24	190
Precinct 7607 - None	160	208	960	407	0	1	38	368
Precinct 7608 - None	40	24	392	70	0	1	5	64
Precinct 7608 - None	60	50	392	136	0	0	26	110
Precinct 7609 - None	57	44	926	120	0	0	19	101
Precinct 7609 - None	158	128	926	352	0	1	65	286
Precinct 7611 - None	51	52	755	126	0	0	23	103
Precinct 7611 - None	92	116	755	269	0	0	61	208
Precinct 7612 - None	48	27	583	97	0	0	22	75
Precinct 7612 - None	103	121	583	265	0	0	41	224
Precinct 7613 - None	100	79	908	204	0	0	25	179
Precinct 7613 - None	147	154	908	340	0	1	38	301
Precinct 7614 - None	100	87	1,029	223	0	1	35	187
Precinct 7614 - None	179	165	1,029	375	0	0	31	344
Precinct 7615 - None	81	50	762	162	0	1	30	131
Precinct 7615 - None	102	94	762	237	0	1	40	196
Precinct 7616 - None	117	161	1,203	324	0	0	46	278
Precinct 7616 - None	245	393	1,203	686	0	0	48	638
Precinct 7617 - None	47	37	768	102	0	2	16	84
Precinct 7617 - None	125	93	768	261	0	0	43	218
Precinct 7618 - None	81	68	862	168	0	0	19	149
Precinct 7618 - None	169	198	862	407	0	0	40	367
Precinct 7619 - None	110	89	1,063	219	0	0	20	199
Precinct 7619 - None	251	257	1,063	563	0	0	55	508
Precinct 7621 - None	108	149	1,320	287	0	0	30	257
Precinct 7621 - None	256	341	1,320	668	0	0	71	597
Precinct 7622 - None	75	66	988	170	0	0	29	141
Precinct 7622 - None	132	129	988	301	0	3	37	261
Precinct 7623 - None	98	56	746	184	0	0	30	154
Precinct 7623 - None	142	126	746	297	0	0	29	268
Precinct 7624 - None	61	69	859	142	0	0	12	130
Precinct 7624 - None	119	135	859	290	0	2	34	254
Precinct 7625 - None	29	25	822	66	0	0	12	54
Precinct 7625 - None	205	166	822	475	0	2	102	371
Precinct 7626 - None	86	118	1,114	227	0	0	23	204
Precinct 7626 - None	206	343	1,114	612	0	0	63	549
Precinct 7627 - None	83	144	1,187	267	0	0	40	227
Precinct 7627 - None	187	319	1,187	582	0	0	76	506
Precinct 7628 - None	119	97	960	241	0	1	24	216
Precinct 7628 - None	183	206	960	428	0	0	39	389
Precinct 7629 - None	90	90	809	208	0	2	26	180
Precinct 7629 - None	122	181	809	343	0	0	40	303
Precinct 7631 - None	108	124	1,155	270	0	0	38	232
Precinct 7631 - None	219	287	1,155	577	0	1	70	506
Precinct 7632 - None	110	132	1,124	289	0	0	47	242
Precinct 7632 - None	220	299	1,124	561	0	0	42	519
Precinct 7633 - None	65	52	741	137	0	0	20	117
Precinct 7633 - None	181	155	741	392	0	0	56	336
Precinct 7634 - None	65	96	900	195	0	0	34	161
Precinct 7634 - None	175	185	900	421	0	1	60	360
Precinct 7635 - None	64	64	840	158	0	0	30	128
Precinct 7635 - None	146	197	840	382	0	1	38	343
Precinct 7636 - None	92	130	938	251	0	0	29	222
Precinct 7636 - None	161	255	938	465	0	0	49	416
Precinct 7637 - None	71	99	809	193	0	0	23	170
Precinct 7637 - None	142	206	809	404	0	1	55	348
Precinct 7638 - None	110	148	1,467	295	0	0	37	258
Precinct 7638 - None	290	461	1,467	871	1	0	119	751
Precinct 7639 - None	94	107	1,011	242	0	0	41	201
Precinct 7639 - None	193	291	1,011	559	0	0	75	484
Precinct 7641 - None	78	94	972	205	0	0	33	172
Precinct 7641 - None	184	299	972	549	0	5	61	483
Precinct 7642 - None	65	74	937	153	0	0	14	139
Precinct 7642 - None	107	247	937	394	0	0	40	354
Precinct 7643 - None	66	76	920	169	0	1	26	142
Precinct 7643 - None	199	253	920	507	0	3	52	452
Precinct 7644 - None	132	164	1,175	330	0	0	34	296
Precinct 7644 - None	188	304	1,175	554	0	2	60	492
Precinct 7645 - None	56	55	640	120	0	0	9	111
Precinct 7645 - None	130	192	640	377	0	1	54	322
Precinct 7646 - None	106	135	1,100	267	0	1	25	241
Precinct 7646 - None	210	318	1,100	592	0	0	64	528
Precinct 7647 - None	91	90	1,075	205	0	2	22	181
Precinct 7647 - None	113	143	1,075	283	0	0	27	256
Precinct 7648 MB - None	0	0	1	0	0	0	0	0
Precinct 7649 - None	82	80	891	178	0	0	16	162
Precinct 7649 - None	162	183	891	395	0	1	49	345
Precinct 7651 - None	53	91	677	166	1	0	21	144
Precinct 7651 - None	115	197	677	351	0	1	38	312
Precinct 7652 - None	47	74	628	135	0	0	14	121
Precinct 7652 - None	119	150	628	301	0	1	31	269
