Subtotal Area	CARMEN CHU	PAUL BELLAR	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 9742 - Vote By Mail	208	44	677	289	2	1	33	0	253	1
Precinct 9743 - Election Day	190	70	1,163	310	1	1	45	0	263	3
Precinct 9743 - Vote By Mail	352	86	1,163	501	7	0	55	0	439	1
Precinct 9744 - Election Day	138	71	911	247	7	0	31	0	209	0
Precinct 9744 - Vote By Mail	259	73	911	391	5	0	53	0	333	1
Precinct 9745 - Election Day	158	71	991	282	0	1	49	0	232	3
Precinct 9745 - Vote By Mail	236	77	991	346	5	1	26	0	314	1
Precinct 9746 - Election Day	151	41	884	232	0	0	40	0	192	0
Precinct 9746 - Vote By Mail	319	74	884	452	7	2	49	0	394	1
Precinct 9747 - Election Day	156	62	973	246	7	1	20	0	218	0
Precinct 9747 - Vote By Mail	326	80	973	470	8	1	53	0	408	2
Precinct 9748 - Election Day	166	40	931	229	1	0	21	0	207	1
Precinct 9748 - Vote By Mail	343	82	931	475	11	0	37	0	427	2
Precinct 9749 - Election Day	130	58	913	225	3	0	32	0	190	2
Precinct 9749 - Vote By Mail	252	81	913	384	1	1	44	0	338	5
Precinct 9751 - Election Day	176	45	1,016	253	0	0	21	0	232	11
Precinct 9751 - Vote By Mail	371	94	1,016	523	9	0	47	0	467	2
Precinct 9752 - Election Day	114	40	710	175	4	0	15	0	156	2
Precinct 9752 - Vote By Mail	273	71	710	392	5	1	38	0	348	4
Precinct 9753 - Election Day	130	40	756	186	1	0	15	0	170	0
Precinct 9753 - Vote By Mail	265	80	756	388	6	0	36	0	346	1
Precinct 9754 - Election Day	34	12	707	47	-7	0	7	0	47	1
Precinct 9754 - Vote By Mail	283	60	707	377	3	1	30	0	343	0
Precinct 9755 - Election Day	114	35	582	172	0	0	23	0	149	0
Precinct 9755 - Vote By Mail	202	52	582	285	5	4	22	0	254	0
Precinct 9756 - Election Day	122	42	941	185	1	0	19	0	165	1
Precinct 9756 - Vote By Mail	331	78	941	477	12	0	54	0	411	2
Precinct 9801 - Election Day	59	36	408	104	4	0	5	0	95	0
Precinct 9801 - Vote By Mail	124	39	408	181	4	0	14	0	163	0
Congressional District 12	207,509	71,933	443,570	332,491	3,780	349	47,854	0	280,508	1,066
Congressional District 14	27,678	7,741	56,946	40,357	490	62	4,197	0	35,608	189
Assembly District 17	133,705	47,628	291,063	214,827	2,367	249	30,168	0	182,043	710
Assembly District 19	101,482	32,046	209,453	158,021	1,903	162	21,883	0	134,073	545
BART District 7	15,802	4,947	38,460	24,736	245	30	3,607	0	20,854	105
BART District 8	107,815	32,372	223,735	166,386	2,006	169	23,457	0	140,754	567
BART District 9	111,570	42,355	238,321	181,726	2,019	212	24,987	0	154,508	583
Supervisorial District 1	20,957	6,866	42,767	32,743	430	19	4,372	0	27,922	99
Supervisorial District 2	24,020	7,541	50,394	40,402	496	48	8,201	0	31,657	96
Supervisorial District 3	18,312	5,088	39,799	28,571	438	31	4,622	0	23,480	80
Supervisorial District 4	20,480	7,064	42,953	31,699	287	29	3,715	0	27,668	124
Supervisorial District 5	25,478	9,601	53,744	42,036	569	33	6,231	0	35,203	124
Supervisorial District 6	17,562	6,588	43,321	29,158	286	44	4,566	0	24,262	112
Supervisorial District 7	25,343	6,356	47,076	36,587	484	37	4,222	0	31,844	145
Supervisorial District 8	30,704	10,533	58,122	48,632	583	38	6,642	0	41,369	132
Supervisorial District 9	18,779	8,640	42,988	31,769	287	50	3,904	0	27,528	109
Supervisorial District 10	16,859	6,021	41,862	26,459	202	33	3,221	0	23,003	123
Supervisorial District 11	16,693	5,376	37,490	24,792	208	49	2,355	0	22,180	111
Bayview/Hunters Point	7,515	2,410	19,914	11,270	70	17	1,200	0	9,983	58
Chinatown	8,083	2,033	17,446	12,440	178	14	2,104	0	10,144	28
Civic Center/Downtown	11,497	4,404	28,644	19,045	240	25	2,807	0	15,973	72
Diamond Heights	4,087	994	7,002	5,802	55	5	642	0	5,100	19
Excelsior	12,316	4,077	27,634	18,420	143	37	1,754	0	16,486	93
Haight Ashbury	7,299	2,906	14,982	12,240	168	9	1,823	0	10,240	35
Ingleside	5,395	1,633	12,118	7,928	90	13	769	0	7,056	28
Inner Sunset	4,845	1,712	9,734	7,857	95	6	1,184	0	6,572	15
Lake Merced	3,973	1,168	8,390	5,918	62	5	685	0	5,166	25
Laurel Heights/Anza Vista	4,938	1,691	10,097	8,010	120	4	1,240	0	6,646	17
Marina Pacific Heights	19,043	6,073	40,622	32,395	430	37	6,728	0	25,200	84
Mission	12,736	7,028	31,129	23,295	228	26	3,209	0	19,832	68
Noe Valley	9,090	3,029	16,964	14,420	158	13	2,104	0	12,145	26
North Bernal Heights	4,386	1,879	8,795	7,263	58	10	908	0	6,287	22
North Embarcadero	3,382	892	7,019	5,232	83	6	852	0	4,291	17
Portola	4,190	1,192	9,293	6,104	62	8	619	0	5,415	33
Potrero Hill	7,793	3,025	16,814	13,081	121	15	2,087	0	10,858	40
Richmond	18,244	5,993	37,322	28,503	381	18	3,782	0	24,322	85
Sea Cliff/Presidio Heights	4,247	1,108	8,050	6,587	67	9	1,141	0	5,370	15
South of Bernal Heights	4,650	1,719	9,419	7,393	84	17	894	0	6,398	29
South of Market	10,388	3,656	24,674	17,045	184	24	2,728	0	14,109	65
Sunset	20,221	6,944	42,363	31,246	284	29	3,644	0	27,289	124
Upper Market/Eureka Valley	10,358	3,360	18,966	16,190	193	12	2,221	0	13,764	46
Visitation Valley	3,126	879	8,139	4,488	33	5	413	0	4,037	32
West of Twin Peaks	19,547	4,604	34,909	27,838	390	30	3,162	0	24,256	105
Western Addition	13,838	5,265	30,077	22,838	293	17	3,351	0	19,177	74
