Subtotal Area	MALIA COHEN	MARK BURNS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7313 - None	183	20	968	225	1	0	21	203
Precinct 7313 - None	352	75	968	485	0	0	58	427
Precinct 7314 - None	89	23	787	125	0	0	13	112
Precinct 7314 - None	190	30	787	271	0	0	51	220
Precinct 7315 - None	167	26	760	220	0	0	27	193
Precinct 7315 - None	208	38	760	282	0	0	36	246
Precinct 7316 - None	163	22	853	205	0	0	20	185
Precinct 7316 - None	269	53	853	367	0	0	45	322
Precinct 7317 - None	152	19	904	189	0	0	18	171
Precinct 7317 - None	332	79	904	454	0	0	43	411
Precinct 7318 - None	130	21	727	179	0	0	28	151
Precinct 7318 - None	293	55	727	390	0	0	42	348
Precinct 7319 - None	232	32	1,079	301	0	0	37	264
Precinct 7319 - None	372	80	1,079	516	0	0	64	452
Precinct 7321 - None	109	16	671	149	0	0	24	125
Precinct 7321 - None	204	48	671	286	0	0	34	252
Precinct 7322 - None	47	9	874	65	0	0	9	56
Precinct 7322 - None	214	43	874	337	0	0	80	257
Precinct 7323 - None	170	39	950	234	0	0	25	209
Precinct 7323 - None	347	63	950	455	0	0	45	410
Precinct 7324 - None	144	23	755	190	0	0	23	167
Precinct 7324 - None	288	44	755	364	0	1	31	332
Precinct 7325 - None	183	33	904	243	0	0	27	216
Precinct 7325 - None	349	39	904	436	0	0	48	388
Precinct 7326 - None	159	18	876	200	0	0	23	177
Precinct 7326 - None	317	57	876	430	0	0	56	374
Precinct 7327 - None	45	11	699	71	0	0	15	56
Precinct 7327 - None	173	58	699	276	0	0	45	231
Precinct 7328 - None	60	15	973	94	0	0	19	75
Precinct 7328 - None	258	49	973	394	0	0	87	307
Precinct 7329 - None	85	15	640	112	0	0	12	100
Precinct 7329 - None	214	75	640	321	0	0	32	289
Precinct 7331 - None	139	54	852	213	0	0	20	193
Precinct 7331 - None	318	104	852	461	0	0	39	422
Precinct 7332 - None	172	27	834	225	0	0	26	199
Precinct 7332 - None	289	47	834	364	0	0	28	336
Precinct 7333 - None	237	37	1,044	298	0	0	24	274
Precinct 7333 - None	419	75	1,044	543	0	0	49	494
Precinct 7334 - None	153	25	881	199	0	0	21	178
Precinct 7334 - None	363	51	881	462	0	0	48	414
Precinct 7335 - None	178	25	970	225	0	0	22	203
Precinct 7335 - None	395	87	970	523	0	0	41	482
Precinct 7336 - None	181	35	955	238	0	0	22	216
Precinct 7336 - None	379	104	955	523	0	0	40	483
Precinct 7337 - None	132	23	851	179	0	0	24	155
Precinct 7337 - None	316	98	851	464	0	0	50	414
Precinct 7338 - None	120	17	915	153	0	0	16	137
Precinct 7338 - None	263	87	915	426	0	0	76	350
Precinct 7339 - None	138	20	669	174	0	0	16	158
Precinct 7339 - None	253	33	669	309	0	0	23	286
Precinct 7341 - None	212	26	908	260	0	0	22	238
Precinct 7341 - None	313	47	908	401	0	0	41	360
Precinct 7342 - None	270	41	947	334	0	0	23	311
Precinct 7342 - None	334	52	947	414	0	0	28	386
Precinct 7343 - None	196	18	731	234	0	0	20	214
Precinct 7343 - None	269	26	731	316	0	1	20	295
Precinct 7344 - None	231	39	1,110	291	0	0	21	270
Precinct 7344 - None	444	64	1,110	538	0	0	30	508
Precinct 7345 - None	273	40	1,141	329	1	0	15	313
Precinct 7345 - None	435	53	1,141	521	0	0	33	488
Precinct 7346 - None	206	20	920	250	0	0	24	226
Precinct 7346 - None	324	36	920	384	0	0	24	360
Precinct 7347 - None	195	23	1,040	241	0	0	23	218
Precinct 7347 - None	408	34	1,040	480	0	1	37	442
Precinct 7348 - None	159	32	861	210	0	0	19	191
Precinct 7348 - None	273	43	861	353	0	0	37	316
Precinct 7349 - None	197	38	957	248	0	0	13	235
Precinct 7349 - None	327	61	957	427	0	0	39	388
Precinct 7501 - None	136	21	565	172	0	0	15	157
Precinct 7501 - None	242	36	565	308	0	0	30	278
Precinct 7502 - None	139	21	784	180	1	0	19	160
Precinct 7502 - None	348	65	784	447	0	0	34	413
Precinct 7503 - None	157	29	764	208	0	0	22	186
Precinct 7503 - None	308	53	764	388	0	0	27	361
Precinct 7504 - None	88	15	503	112	0	0	9	103
Precinct 7504 - None	186	22	503	222	0	0	14	208
Precinct 7505 - None	114	18	869	158	0	0	26	132
Precinct 7505 - None	401	76	869	532	0	0	55	477
Precinct 7506 - None	191	16	999	226	0	0	19	207
Precinct 7506 - None	388	62	999	473	0	0	23	450
Precinct 7507 - None	166	22	955	211	0	1	22	188
Precinct 7507 - None	274	42	955	344	0	0	28	316
Precinct 7508 - None	114	20	727	154	0	0	20	134
Precinct 7508 - None	334	49	727	427	0	0	44	383
Precinct 7509/7511 - None	196	26	932	235	2	0	11	222
Precinct 7509/7511 - None	408	38	932	470	1	0	23	446
Precinct 7512 - None	95	38	612	150	0	0	17	133
Precinct 7512 - None	207	61	612	283	0	0	15	268
Precinct 7513 - None	173	21	818	225	0	1	30	194
Precinct 7513 - None	240	48	818	315	0	1	26	288
Precinct 7514 - None	114	13	874	140	0	0	13	127
Precinct 7514 - None	235	35	874	305	0	0	35	270
Precinct 7515 - None	177	14	869	212	0	0	21	191
Precinct 7515 - None	319	43	869	389	0	1	26	362
Precinct 7516 - None	139	18	922	172	0	0	15	157
Precinct 7516 - None	438	67	922	538	0	0	33	505
Precinct 7517 - None	260	11	863	289	0	0	18	271
Precinct 7517 - None	360	18	863	410	0	0	32	378
Precinct 7518 - None	266	17	950	309	0	0	26	283
Precinct 7518 - None	408	29	950	480	0	0	43	437
Precinct 7519 - None	198	15	737	224	0	0	11	213
Precinct 7519 - None	308	18	737	355	0	1	28	326
Precinct 7521 - None	250	16	812	292	0	0	26	266
Precinct 7521 - None	321	8	812	354	0	0	25	329
