Subtotal Area	STEVEN C BAILEY	XAVIER BECERRA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7335 - None	89	410	970	523	0	0	24	499
Precinct 7336 - None	32	190	955	238	0	0	16	222
Precinct 7336 - None	94	401	955	523	0	0	28	495
Precinct 7337 - None	28	137	851	179	0	0	14	165
Precinct 7337 - None	91	349	851	464	0	0	24	440
Precinct 7338 - None	20	120	915	153	0	0	13	140
Precinct 7338 - None	85	275	915	426	0	0	66	360
Precinct 7339 - None	19	145	669	174	0	0	10	164
Precinct 7339 - None	39	255	669	309	0	0	15	294
Precinct 7341 - None	34	216	908	260	0	0	10	250
Precinct 7341 - None	43	335	908	401	0	0	23	378
Precinct 7342 - None	35	284	947	334	0	1	14	319
Precinct 7342 - None	48	351	947	414	0	0	15	399
Precinct 7343 - None	18	205	731	234	0	0	11	223
Precinct 7343 - None	27	277	731	316	0	0	12	304
Precinct 7344 - None	34	246	1,110	291	0	0	11	280
Precinct 7344 - None	62	461	1,110	538	0	0	15	523
Precinct 7345 - None	34	284	1,141	329	1	0	10	318
Precinct 7345 - None	48	457	1,141	521	0	0	16	505
Precinct 7346 - None	18	217	920	250	0	0	15	235
Precinct 7346 - None	34	339	920	384	0	0	11	373
Precinct 7347 - None	23	201	1,040	241	0	0	17	224
Precinct 7347 - None	30	434	1,040	480	0	1	15	464
Precinct 7348 - None	30	171	861	210	0	0	9	201
Precinct 7348 - None	43	292	861	353	0	0	18	335
Precinct 7349 - None	29	210	957	248	0	0	9	239
Precinct 7349 - None	61	336	957	427	0	0	30	397
Precinct 7501 - None	18	144	565	172	0	0	10	162
Precinct 7501 - None	37	256	565	308	0	0	15	293
Precinct 7502 - None	22	150	784	180	1	0	7	172
Precinct 7502 - None	67	356	784	447	0	0	24	423
Precinct 7503 - None	28	167	764	208	0	0	13	195
Precinct 7503 - None	47	329	764	388	0	0	12	376
Precinct 7504 - None	16	91	503	112	0	0	5	107
Precinct 7504 - None	24	190	503	222	0	0	8	214
Precinct 7505 - None	22	122	869	158	0	0	14	144
Precinct 7505 - None	82	419	869	532	0	0	31	501
Precinct 7506 - None	17	199	999	226	0	0	10	216
Precinct 7506 - None	62	394	999	473	0	0	17	456
Precinct 7507 - None	25	165	955	211	0	1	20	190
Precinct 7507 - None	41	288	955	344	0	0	15	329
Precinct 7508 - None	17	123	727	154	0	0	14	140
Precinct 7508 - None	54	346	727	427	0	0	27	400
Precinct 7509/7511 - None	24	203	932	235	2	0	6	227
Precinct 7509/7511 - None	41	417	932	470	1	0	11	458
Precinct 7512 - None	39	100	612	150	0	0	11	139
Precinct 7512 - None	62	213	612	283	0	0	8	275
Precinct 7513 - None	23	184	818	225	0	1	17	207
Precinct 7513 - None	49	245	818	315	0	1	20	294
Precinct 7514 - None	19	112	874	140	0	0	9	131
Precinct 7514 - None	37	233	874	305	0	0	35	270
Precinct 7515 - None	18	173	869	212	0	0	21	191
Precinct 7515 - None	40	327	869	389	0	0	22	367
Precinct 7516 - None	20	146	922	172	0	1	5	166
Precinct 7516 - None	70	443	922	538	0	0	25	513
Precinct 7517 - None	13	267	863	289	0	0	9	280
Precinct 7517 - None	14	384	863	410	0	0	12	398
