Subtotal Area	SUZY LOFTUS	LEIF DAUTCH	NANCY TUNG	CHESA BOUDIN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 9232 - Election Day	36	14	10	28	716	92	0	0	4	0	88	0
Precinct 9232 - Vote By Mail	94	43	43	40	716	237	0	1	16	0	220	0
Precinct 9232	130	57	53	68	716	329	0	1	20	0	308	0
Precinct 9233 - Election Day	37	11	12	13	814	77	0	0	4	0	73	0
Precinct 9233 - Vote By Mail	118	41	33	43	814	260	0	0	25	0	235	0
Precinct 9233	155	52	45	56	814	337	0	0	29	0	308	0
Precinct 9234 - Election Day	44	15	10	15	747	84	0	0	0	0	84	0
Precinct 9234 - Vote By Mail	100	31	40	30	747	216	0	0	15	0	201	0
Precinct 9234	144	46	50	45	747	300	0	0	15	0	285	0
Precinct 9235/9243 - Election Day	59	18	35	45	1,439	164	0	0	7	0	157	0
Precinct 9235/9243 - Vote By Mail	198	77	62	68	1,439	443	0	1	37	0	405	0
Precinct 9235/9243	257	95	97	113	1,439	607	0	1	44	0	562	0
Precinct 9236 - Election Day	44	5	7	8	659	65	0	0	1	0	64	0
Precinct 9236 - Vote By Mail	96	29	25	32	659	203	0	1	20	0	182	0
Precinct 9236	140	34	32	40	659	268	0	1	21	0	246	0
Precinct 9237 - Election Day	35	10	12	25	874	86	0	0	4	0	82	0
Precinct 9237 - Vote By Mail	110	54	33	38	874	265	0	0	30	0	235	0
Precinct 9237	145	64	45	63	874	351	0	0	34	0	317	0
Precinct 9238/9246 - Election Day	58	27	26	37	1,769	161	0	0	13	0	148	0
Precinct 9238/9246 - Vote By Mail	191	90	103	93	1,769	523	0	0	46	0	477	0
Precinct 9238/9246	249	117	129	130	1,769	684	0	0	59	0	625	0
Precinct 9239 - Election Day	36	17	13	9	866	78	0	0	3	0	75	0
Precinct 9239 - Vote By Mail	119	68	35	39	866	286	0	0	25	0	261	0
Precinct 9239	155	85	48	48	866	364	0	0	28	0	336	0
Precinct 9241 - Election Day	33	26	16	15	968	95	0	0	5	0	90	0
Precinct 9241 - Vote By Mail	99	66	49	44	968	281	0	0	23	0	258	0
Precinct 9241	132	92	65	59	968	376	0	0	28	0	348	0
Precinct 9242/9247 - Election Day	42	32	19	55	1,845	158	0	0	10	0	148	0
Precinct 9242/9247 - Vote By Mail	208	99	82	84	1,845	507	0	0	34	0	473	0
Precinct 9242/9247	250	131	101	139	1,845	665	0	0	44	0	621	0
Precinct 9244 - Election Day	46	17	12	18	881	99	0	1	5	0	93	0
Precinct 9244 - Vote By Mail	104	34	24	43	881	225	0	1	19	0	205	0
Precinct 9244	150	51	36	61	881	324	0	2	24	0	298	0
Precinct 9245/7206 - Election Day	44	28	21	34	1,081	131	0	0	4	0	127	0
Precinct 9245/7206 - Vote By Mail	108	40	47	66	1,081	276	0	0	15	0	261	0
Precinct 9245/7206	152	68	68	100	1,081	407	0	0	19	0	388	0
Precinct 9248 - Election Day	31	21	7	26	870	88	0	0	3	0	85	0
Precinct 9248 - Vote By Mail	86	45	27	55	870	241	0	0	28	0	213	0
Precinct 9248	117	66	34	81	870	329	0	0	31	0	298	0
Precinct 9251/9249 - Election Day	113	35	48	81	1,887	283	0	0	6	0	277	0
Precinct 9251/9249 - Vote By Mail	237	72	74	137	1,887	558	0	1	37	0	520	0
Precinct 9251/9249	350	107	122	218	1,887	841	0	1	43	0	797	0
Precinct 9252 - Election Day	26	12	11	30	918	83	0	0	4	0	79	0
Precinct 9252 - Vote By Mail	99	42	52	62	918	284	0	1	28	0	255	0
Precinct 9252	125	54	63	92	918	367	0	1	32	0	334	0
Precinct 9253 - Election Day	37	22	13	21	752	102	0	0	9	0	93	0
Precinct 9253 - Vote By Mail	71	50	36	56	752	237	0	0	24	0	213	0
Precinct 9253	108	72	49	77	752	339	0	0	33	0	306	0
Precinct 9255/9258 - Election Day	50	24	16	72	1,236	169	0	0	7	0	162	0
Precinct 9255/9258 - Vote By Mail	98	70	61	96	1,236	349	0	1	23	0	325	0
Precinct 9255/9258	148	94	77	168	1,236	518	0	1	30	0	487	0
Precinct 9256/9254 - Election Day	45	14	19	67	1,373	150	0	0	5	0	145	0
Precinct 9256/9254 - Vote By Mail	147	66	58	108	1,373	406	0	0	27	0	379	0
Precinct 9256/9254	192	80	77	175	1,373	556	0	0	32	0	524	0
Precinct 9257 MB - Election Day	0	1	1	0	311	3	0	0	1	0	2	0
Precinct 9257 MB - Vote By Mail	32	13	19	53	311	124	0	0	7	0	117	0
Precinct 9257 MB	32	14	20	53	311	127	0	0	8	0	119	0
Precinct 9401 - Election Day	52	6	20	73	1,015	159	0	0	8	0	151	0
Precinct 9401 - Vote By Mail	50	31	49	111	1,015	258	0	0	17	0	241	0
Precinct 9401	102	37	69	184	1,015	417	0	0	25	0	392	0
Precinct 9402 - Election Day	33	13	20	70	988	148	0	1	11	0	136	0
Precinct 9402 - Vote By Mail	59	35	50	121	988	287	0	2	20	0	265	0
Precinct 9402	92	48	70	191	988	435	0	3	31	0	401	0
Precinct 9404/9403 - Election Day	46	21	33	94	1,814	206	0	0	12	0	194	0
Precinct 9404/9403 - Vote By Mail	133	42	146	141	1,814	500	0	1	37	0	462	0
Precinct 9404/9403	179	63	179	235	1,814	706	0	1	49	0	656	0
Precinct 9405 - Election Day	34	12	27	34	770	113	0	0	6	0	107	0
Precinct 9405 - Vote By Mail	48	25	76	52	770	223	0	1	21	0	201	0
Precinct 9405	82	37	103	86	770	336	0	1	27	0	308	0
Precinct 9406 - Election Day	44	11	26	46	873	133	0	0	6	0	127	0
Precinct 9406 - Vote By Mail	49	25	63	75	873	228	0	0	16	0	212	0
Precinct 9406	93	36	89	121	873	361	0	0	22	0	339	0
Precinct 9407 - Election Day	39	8	23	50	887	126	0	0	6	0	120	0
Precinct 9407 - Vote By Mail	66	25	69	60	887	242	0	2	20	0	220	0
Precinct 9407	105	33	92	110	887	368	0	2	26	0	340	0
Precinct 9408 - Election Day	20	13	32	55	834	129	0	0	9	0	120	0
Precinct 9408 - Vote By Mail	50	25	35	84	834	204	0	0	10	0	194	0
Precinct 9408	70	38	67	139	834	333	0	0	19	0	314	0
Precinct 9409 - Election Day	37	12	4	49	591	105	0	0	3	0	102	0
Precinct 9409 - Vote By Mail	40	11	31	44	591	133	0	0	7	0	126	0
Precinct 9409	77	23	35	93	591	238	0	0	10	0	228	0
Precinct 9411/9412 - Election Day	62	26	31	123	1,842	254	0	1	11	0	242	0
Precinct 9411/9412 - Vote By Mail	140	50	109	181	1,842	522	0	1	41	0	480	0
Precinct 9411/9412	202	76	140	304	1,842	776	0	2	52	0	722	0
Precinct 9413 - Election Day	24	10	25	38	920	103	0	0	6	0	97	0
Precinct 9413 - Vote By Mail	72	19	72	75	920	280	0	2	40	0	238	0
Precinct 9413	96	29	97	113	920	383	0	2	46	0	335	0
Precinct 9415 - Election Day	18	7	16	36	779	79	0	0	2	0	77	0
Precinct 9415 - Vote By Mail	54	26	91	61	779	252	0	0	20	0	232	0
Precinct 9415	72	33	107	97	779	331	0	0	22	0	309	0
Precinct 9416 - Election Day	57	12	20	58	988	152	0	0	5	0	147	0
Precinct 9416 - Vote By Mail	74	46	85	64	988	279	0	0	10	0	269	0
Precinct 9416	131	58	105	122	988	431	0	0	15	0	416	0
Precinct 9418/9417 - Election Day	50	17	46	76	1,561	201	0	1	11	0	189	0
Precinct 9418/9417 - Vote By Mail	130	63	171	93	1,561	511	0	2	52	0	457	0
Precinct 9418/9417	180	80	217	169	1,561	712	0	3	63	0	646	0
Precinct 9419/9414 - Election Day	56	17	43	48	1,790	174	0	1	9	0	164	0
Precinct 9419/9414 - Vote By Mail	161	74	174	120	1,790	585	0	2	54	0	529	0
Precinct 9419/9414	217	91	217	168	1,790	759	0	3	63	0	693	0
Precinct 9421 - Election Day	24	4	23	33	917	94	0	0	10	0	84	0
Precinct 9421 - Vote By Mail	73	34	86	68	917	282	0	0	21	0	261	0
Precinct 9421	97	38	109	101	917	376	0	0	31	0	345	0
Precinct 9422 - Election Day	24	13	33	63	1,068	139	0	0	6	0	133	0
Precinct 9422 - Vote By Mail	88	48	113	56	1,068	329	0	3	21	0	305	0
Precinct 9422	112	61	146	119	1,068	468	0	3	27	0	438	0
Precinct 9423 - Election Day	28	10	10	34	906	88	0	0	6	0	82	0
Precinct 9423 - Vote By Mail	82	32	46	89	906	263	0	1	13	0	249	0
Precinct 9423	110	42	56	123	906	351	0	1	19	0	331	0
Precinct 9424/9425 - Election Day	33	24	42	73	1,949	182	0	0	10	0	172	0
Precinct 9424/9425 - Vote By Mail	157	98	204	128	1,949	635	0	4	44	0	587	0
Precinct 9424/9425	190	122	246	201	1,949	817	0	4	54	0	759	0
Precinct 9426 - Election Day	10	13	20	32	832	83	0	0	8	0	75	0
Precinct 9426 - Vote By Mail	55	30	96	48	832	265	0	1	35	0	229	0
Precinct 9426	65	43	116	80	832	348	0	1	43	0	304	0
Precinct 9427 - Election Day	34	19	34	24	964	116	0	0	5	0	111	0
Precinct 9427 - Vote By Mail	56	42	120	43	964	283	0	1	21	0	261	0
Precinct 9427	90	61	154	67	964	399	0	1	26	0	372	0
Precinct 9431/9429 - Election Day	60	29	61	64	1,914	218	0	0	4	0	214	0
Precinct 9431/9429 - Vote By Mail	147	71	224	93	1,914	588	0	2	51	0	535	0
Precinct 9431/9429	207	100	285	157	1,914	806	0	2	55	0	749	0
Precinct 9432 - Election Day	31	13	28	25	943	100	0	0	3	0	97	0
Precinct 9432 - Vote By Mail	60	31	98	63	943	267	0	1	14	0	252	0
Precinct 9432	91	44	126	88	943	367	0	1	17	0	349	0
Precinct 9433/9428 - Election Day	36	23	33	50	1,923	152	0	0	10	0	142	0
Precinct 9433/9428 - Vote By Mail	128	73	225	113	1,923	609	0	1	69	0	539	0
Precinct 9433/9428	164	96	258	163	1,923	761	0	1	79	0	681	0
Precinct 9434 - Election Day	36	8	21	45	982	118	0	0	8	0	110	0
Precinct 9434 - Vote By Mail	74	39	80	78	982	296	0	1	24	0	271	0
Precinct 9434	110	47	101	123	982	414	0	1	32	0	381	0
Precinct 9436 - Election Day	33	18	33	33	1,057	123	0	0	6	0	117	0
Precinct 9436 - Vote By Mail	90	49	90	68	1,057	324	0	0	27	0	297	0
Precinct 9436	123	67	123	101	1,057	447	0	0	33	0	414	0
Precinct 9437 - Election Day	28	6	21	35	908	95	0	0	5	0	90	0
Precinct 9437 - Vote By Mail	70	41	104	45	908	281	0	2	19	0	260	0
Precinct 9437	98	47	125	80	908	376	0	2	24	0	350	0
Precinct 9439/9438 - Election Day	42	28	33	53	1,863	162	0	0	6	0	156	0
Precinct 9439/9438 - Vote By Mail	144	68	192	134	1,863	599	0	5	56	0	538	0
Precinct 9439/9438	186	96	225	187	1,863	761	0	5	62	0	694	0
Precinct 9441 - Election Day	30	13	15	54	985	118	0	0	6	0	112	0
Precinct 9441 - Vote By Mail	66	51	91	80	985	314	0	0	26	0	288	0
Precinct 9441	96	64	106	134	985	432	0	0	32	0	400	0
Precinct 9442/9435 - Election Day	72	31	49	86	2,015	249	0	0	11	0	238	0
Precinct 9442/9435 - Vote By Mail	139	89	168	124	2,015	563	0	2	41	0	520	0
Precinct 9442/9435	211	120	217	210	2,015	812	0	2	52	0	758	0
Precinct 9443/9444 - Election Day	54	23	44	46	1,908	176	0	0	9	0	167	0
Precinct 9443/9444 - Vote By Mail	129	78	182	126	1,908	559	0	1	43	0	515	0
Precinct 9443/9444	183	101	226	172	1,908	735	0	1	52	0	682	0
Precinct 9445 - Election Day	25	7	21	32	971	92	0	0	7	0	85	0
Precinct 9445 - Vote By Mail	87	34	91	64	971	307	0	1	30	0	276	0
Precinct 9445	112	41	112	96	971	399	0	1	37	0	361	0
Precinct 9446/9452 - Election Day	77	36	41	69	1,940	230	0	0	7	0	223	0
Precinct 9446/9452 - Vote By Mail	139	77	198	156	1,940	622	0	1	51	0	570	0
Precinct 9446/9452	216	113	239	225	1,940	852	0	1	58	0	793	0
Precinct 9447 - Election Day	50	13	19	38	889	122	0	1	1	0	120	0
Precinct 9447 - Vote By Mail	90	40	73	49	889	275	0	1	22	0	252	0
Precinct 9447	140	53	92	87	889	397	0	2	23	0	372	0
Precinct 9448 - Election Day	29	10	21	40	936	105	0	0	5	0	100	0
Precinct 9448 - Vote By Mail	65	37	83	61	936	263	0	0	17	0	246	0
Precinct 9448	94	47	104	101	936	368	0	0	22	0	346	0
Precinct 9449 - Election Day	21	9	27	24	862	86	0	0	5	0	81	0
Precinct 9449 - Vote By Mail	51	29	106	62	862	277	0	3	26	0	248	0
Precinct 9449	72	38	133	86	862	363	0	3	31	0	329	0
Precinct 9451 - Election Day	12	3	14	10	437	41	0	0	2	0	39	0
Precinct 9451 - Vote By Mail	42	28	52	11	437	143	0	0	10	0	133	0
Precinct 9451	54	31	66	21	437	184	0	0	12	0	172	0
Precinct 9453 - Election Day	21	6	15	15	520	57	0	0	0	0	57	0
Precinct 9453 - Vote By Mail	50	21	38	40	520	165	0	0	16	0	149	0
Precinct 9453	71	27	53	55	520	222	0	0	16	0	206	0
Precinct 9501 MB - Election Day	0	0	0	2	147	2	0	0	0	0	2	0
Precinct 9501 MB - Vote By Mail	21	13	13	15	147	69	0	0	7	0	62	0
Precinct 9501 MB	21	13	13	17	147	71	0	0	7	0	64	0
Precinct 9502 MB - Election Day	2	0	0	3	253	5	0	0	0	0	5	0
Precinct 9502 MB - Vote By Mail	33	8	16	41	253	104	0	0	6	0	98	0
Precinct 9502 MB	35	8	16	44	253	109	0	0	6	0	103	0
Precinct 9503/9504 - Election Day	27	8	11	40	667	86	0	0	0	0	86	0
Precinct 9503/9504 - Vote By Mail	70	16	17	53	667	176	0	3	17	0	156	0
Precinct 9503/9504	97	24	28	93	667	262	0	3	17	0	242	0
Precinct 9505 - Election Day	49	11	8	39	760	116	0	1	8	0	107	0
Precinct 9505 - Vote By Mail	82	31	28	88	760	246	0	0	17	0	229	0
Precinct 9505	131	42	36	127	760	362	0	1	25	0	336	0
Precinct 9506 - Election Day	29	10	16	38	750	95	0	0	2	0	93	0
Precinct 9506 - Vote By Mail	65	26	18	61	750	186	0	1	15	0	170	0
Precinct 9506	94	36	34	99	750	281	0	1	17	0	263	0
Precinct 9507 - Election Day	28	14	7	71	713	121	0	0	1	0	120	0
Precinct 9507 - Vote By Mail	71	25	14	85	713	212	0	0	17	0	195	0
Precinct 9507	99	39	21	156	713	333	0	0	18	0	315	0
Precinct 9511/9509 - Election Day	45	17	21	130	1,314	228	0	1	14	0	213	0
Precinct 9511/9509 - Vote By Mail	110	38	31	174	1,314	383	0	3	27	0	353	0
Precinct 9511/9509	155	55	52	304	1,314	611	0	4	41	0	566	0
Precinct 9512/9508 - Election Day	54	18	15	136	1,544	231	0	0	8	0	223	0
Precinct 9512/9508 - Vote By Mail	144	37	36	237	1,544	489	0	2	33	0	454	0
Precinct 9512/9508	198	55	51	373	1,544	720	0	2	41	0	677	0
Precinct 9513 - Election Day	48	12	11	81	872	163	0	0	11	0	152	0
Precinct 9513 - Vote By Mail	71	19	26	113	872	243	0	0	14	0	229	0
Precinct 9513	119	31	37	194	872	406	0	0	25	0	381	0
Precinct 9514/9522 - Election Day	47	9	25	69	888	158	0	1	7	0	150	0
Precinct 9514/9522 - Vote By Mail	90	23	29	112	888	270	0	0	16	0	254	0
Precinct 9514/9522	137	32	54	181	888	428	0	1	23	0	404	0
Precinct 9516/9515 - Election Day	71	22	36	129	1,579	275	0	1	16	0	258	0
Precinct 9516/9515 - Vote By Mail	127	60	78	185	1,579	485	0	0	35	0	450	0
Precinct 9516/9515	198	82	114	314	1,579	760	0	1	51	0	708	0
Precinct 9517/9518 - Election Day	63	16	30	131	1,554	252	0	0	12	0	240	0
Precinct 9517/9518 - Vote By Mail	141	54	59	206	1,554	484	0	0	24	0	460	0
Precinct 9517/9518	204	70	89	337	1,554	736	0	0	36	0	700	0
Precinct 9519 - Election Day	49	12	16	65	882	148	0	0	6	0	142	0
Precinct 9519 - Vote By Mail	92	29	24	142	882	304	0	0	17	0	287	0
Precinct 9519	141	41	40	207	882	452	0	0	23	0	429	0
Precinct 9521 - Election Day	47	20	17	91	870	182	0	0	7	0	175	0
Precinct 9521 - Vote By Mail	99	23	30	114	870	295	0	1	28	0	266	0
Precinct 9521	146	43	47	205	870	477	0	1	35	0	441	0
Precinct 9701 - Election Day	34	14	11	59	652	122	0	0	4	0	118	0
Precinct 9701 - Vote By Mail	53	14	45	48	652	183	0	0	23	0	160	0
Precinct 9701	87	28	56	107	652	305	0	0	27	0	278	0
Precinct 9702 - Election Day	28	9	23	54	709	121	0	0	7	0	114	0
Precinct 9702 - Vote By Mail	52	25	30	83	709	210	0	0	20	0	190	0
Precinct 9702	80	34	53	137	709	331	0	0	27	0	304	0
Precinct 9703 - Election Day	28	17	28	41	981	117	0	0	3	0	114	0
Precinct 9703 - Vote By Mail	110	46	93	63	981	333	0	0	21	0	312	0
Precinct 9703	138	63	121	104	981	450	0	0	24	0	426	0
Precinct 9704 - Election Day	37	14	24	47	946	133	0	0	11	0	122	0
Precinct 9704 - Vote By Mail	107	31	92	86	946	337	0	0	21	0	316	0
Precinct 9704	144	45	116	133	946	470	0	0	32	0	438	0
Precinct 9705/9708 - Election Day	74	28	41	119	1,865	274	0	0	12	0	262	0
Precinct 9705/9708 - Vote By Mail	191	73	137	175	1,865	608	0	1	31	0	576	0
Precinct 9705/9708	265	101	178	294	1,865	882	0	1	43	0	838	0
Precinct 9706 MB - Election Day	0	0	0	0	48	0	0	0	0	0	0	0
Precinct 9706 MB - Vote By Mail	9	3	2	4	48	20	0	0	2	0	18	0
Precinct 9706 MB	9	3	2	4	48	20	0	0	2	0	18	0
Precinct 9709 - Election Day	30	13	31	31	1,021	108	0	0	3	0	105	0
Precinct 9709 - Vote By Mail	107	51	92	58	1,021	335	0	0	27	0	308	0
Precinct 9709	137	64	123	89	1,021	443	0	0	30	0	413	0
Precinct 9711/9707 - Election Day	71	33	44	56	1,433	222	0	0	18	0	204	0
Precinct 9711/9707 - Vote By Mail	183	70	144	94	1,433	526	0	0	35	0	491	0
Precinct 9711/9707	254	103	188	150	1,433	748	0	0	53	0	695	0
Precinct 9712/9715 - Election Day	107	12	33	34	1,237	190	0	0	4	0	186	0
Precinct 9712/9715 - Vote By Mail	166	70	124	66	1,237	466	0	0	40	0	426	0
Precinct 9712/9715	273	82	157	100	1,237	656	0	0	44	0	612	0
Precinct 9716 - Election Day	41	9	31	40	951	133	0	0	12	0	121	0
Precinct 9716 - Vote By Mail	103	45	89	61	951	325	0	0	27	0	298	0
Precinct 9716	144	54	120	101	951	458	0	0	39	0	419	0
Precinct 9717/9713 - Election Day	85	30	46	49	1,917	224	0	0	14	0	210	0
Precinct 9717/9713 - Vote By Mail	199	68	177	124	1,917	610	0	1	41	0	568	0
Precinct 9717/9713	284	98	223	173	1,917	834	0	1	55	0	778	0
Precinct 9718/9714 - Election Day	111	39	62	56	1,833	277	0	0	9	0	268	0
Precinct 9718/9714 - Vote By Mail	254	82	161	155	1,833	701	0	1	48	0	652	0
Precinct 9718/9714	365	121	223	211	1,833	978	0	1	57	0	920	0
Precinct 9719 - Election Day	61	27	16	26	910	135	0	0	5	0	130	0
Precinct 9719 - Vote By Mail	170	40	74	42	910	348	0	1	21	0	326	0
Precinct 9719	231	67	90	68	910	483	0	1	26	0	456	0
Precinct 9721 - Election Day	74	9	29	15	660	128	0	0	1	0	127	0
Precinct 9721 - Vote By Mail	101	26	70	44	660	251	0	2	8	0	241	0
Precinct 9721	175	35	99	59	660	379	0	2	9	0	368	0
Precinct 9722 - Election Day	24	8	16	17	587	70	0	0	5	0	65	0
Precinct 9722 - Vote By Mail	95	38	52	46	587	245	0	0	14	0	231	0
Precinct 9722	119	46	68	63	587	315	0	0	19	0	296	0
Precinct 9723 - Election Day	13	5	10	6	505	38	0	0	4	0	34	0
Precinct 9723 - Vote By Mail	51	24	75	19	505	187	0	1	17	0	169	0
Precinct 9723	64	29	85	25	505	225	0	1	21	0	203	0
Precinct 9724 - Election Day	33	6	37	16	1,003	100	0	0	8	0	92	0
Precinct 9724 - Vote By Mail	99	68	137	35	1,003	378	0	0	39	0	339	0
Precinct 9724	132	74	174	51	1,003	478	0	0	47	0	431	0
Precinct 9725 - Election Day	32	19	19	13	965	88	0	0	5	0	83	0
Precinct 9725 - Vote By Mail	107	53	96	41	965	321	0	0	24	0	297	0
Precinct 9725	139	72	115	54	965	409	0	0	29	0	380	0
Precinct 9726 - Election Day	16	13	14	30	621	74	0	0	1	0	73	0
Precinct 9726 - Vote By Mail	27	18	38	36	621	127	0	0	8	0	119	0
Precinct 9726	43	31	52	66	621	201	0	0	9	0	192	0
Precinct 9727 - Election Day	25	7	14	4	453	51	0	0	1	0	50	0
Precinct 9727 - Vote By Mail	49	28	51	27	453	163	0	0	8	0	155	0
Precinct 9727	74	35	65	31	453	214	0	0	9	0	205	0
Precinct 9728/9746 - Election Day	120	30	62	50	1,829	273	0	2	9	0	262	0
Precinct 9728/9746 - Vote By Mail	242	89	139	100	1,829	610	0	0	40	0	570	0
Precinct 9728/9746	362	119	201	150	1,829	883	0	2	49	0	832	0
Precinct 9729 - Election Day	57	14	20	11	809	105	0	0	3	0	102	0
Precinct 9729 - Vote By Mail	147	57	60	30	809	316	0	3	19	0	294	0
Precinct 9729	204	71	80	41	809	421	0	3	22	0	396	0
Precinct 9731 - Election Day	38	13	17	6	572	77	0	0	3	0	74	0
Precinct 9731 - Vote By Mail	72	38	45	24	572	190	0	0	11	0	179	0
Precinct 9731	110	51	62	30	572	267	0	0	14	0	253	0
Precinct 9732 MB - Election Day	0	0	0	0	71	0	0	0	0	0	0	0
Precinct 9732 MB - Vote By Mail	10	5	10	14	71	39	0	0	0	0	39	0
Precinct 9732 MB	10	5	10	14	71	39	0	0	0	0	39	0
Precinct 9733 MB - Election Day	3	0	1	1	235	5	0	0	0	0	5	0
Precinct 9733 MB - Vote By Mail	40	18	23	30	235	115	0	0	4	0	111	0
Precinct 9733 MB	43	18	24	31	235	120	0	0	4	0	116	0
Precinct 9734/9735 - Election Day	82	27	35	37	1,389	188	0	0	7	0	181	0
Precinct 9734/9735 - Vote By Mail	215	70	139	68	1,389	531	0	1	38	0	492	0
Precinct 9734/9735	297	97	174	105	1,389	719	0	1	45	0	673	0
Precinct 9737/9736 - Election Day	94	27	31	49	1,518	204	0	0	3	0	201	0
Precinct 9737/9736 - Vote By Mail	202	77	139	119	1,518	569	0	0	32	0	537	0
Precinct 9737/9736	296	104	170	168	1,518	773	0	0	35	0	738	0
Precinct 9738 - Election Day	11	3	10	20	813	48	0	0	4	0	44	0
Precinct 9738 - Vote By Mail	77	35	35	68	813	228	0	0	13	0	215	0
Precinct 9738	88	38	45	88	813	276	0	0	17	0	259	0
Precinct 9739 - Election Day	16	5	17	29	768	69	0	0	2	0	67	0
Precinct 9739 - Vote By Mail	55	18	26	70	768	177	0	0	8	0	169	0
Precinct 9739	71	23	43	99	768	246	0	0	10	0	236	0
Precinct 9741 - Election Day	4	5	13	41	497	65	0	0	2	0	63	0
Precinct 9741 - Vote By Mail	0	1	5	19	497	25	0	0	0	0	25	0
Precinct 9741	4	6	18	60	497	90	0	0	2	0	88	0
Precinct 9742 - Election Day	28	22	22	19	679	95	0	0	4	0	91	0
Precinct 9742 - Vote By Mail	42	22	59	21	679	153	0	0	9	0	144	0
Precinct 9742	70	44	81	40	679	248	0	0	13	0	235	0
Precinct 9743 - Election Day	27	11	16	64	1,138	122	0	0	4	0	118	0
Precinct 9743 - Vote By Mail	98	46	59	71	1,138	299	0	1	24	0	274	0
Precinct 9743	125	57	75	135	1,138	421	0	1	28	0	392	0
Precinct 9744 - Election Day	25	17	21	46	907	113	0	0	4	0	109	0
Precinct 9744 - Vote By Mail	55	29	38	69	907	205	0	0	14	0	191	0
Precinct 9744	80	46	59	115	907	318	0	0	18	0	300	0
Precinct 9745 - Election Day	23	19	14	48	973	110	0	1	5	0	104	0
Precinct 9745 - Vote By Mail	57	41	43	59	973	212	0	4	8	0	200	0
Precinct 9745	80	60	57	107	973	322	0	5	13	0	304	0
Precinct 9748 - Election Day	32	13	24	21	910	98	0	2	6	0	90	0
Precinct 9748 - Vote By Mail	99	42	75	70	910	311	0	1	24	0	286	0
Precinct 9748	131	55	99	91	910	409	0	3	30	0	376	0
Precinct 9749/9747 - Election Day	53	24	35	93	1,871	214	0	0	9	0	205	0
Precinct 9749/9747 - Vote By Mail	134	53	145	121	1,871	490	0	0	37	0	453	0
Precinct 9749/9747	187	77	180	214	1,871	704	0	0	46	0	658	0
Precinct 9751 - Election Day	53	25	18	35	1,038	135	0	0	4	0	131	0
Precinct 9751 - Vote By Mail	126	45	94	60	1,038	348	0	1	22	0	325	0
Precinct 9751	179	70	112	95	1,038	483	0	1	26	0	456	0
Precinct 9752 - Election Day	32	13	16	24	696	89	0	1	3	0	85	0
Precinct 9752 - Vote By Mail	86	44	61	52	696	266	0	0	23	0	243	0
Precinct 9752	118	57	77	76	696	355	0	1	26	0	328	0
Precinct 9753 - Election Day	25	8	14	41	764	93	0	0	5	0	88	0
Precinct 9753 - Vote By Mail	71	27	49	65	764	237	0	0	25	0	212	0
Precinct 9753	96	35	63	106	764	330	0	0	30	0	300	0
Precinct 9754 - Election Day	35	13	12	46	686	111	0	1	4	0	106	0
Precinct 9754 - Vote By Mail	72	33	51	77	686	241	0	3	5	0	233	0
Precinct 9754	107	46	63	123	686	352	0	4	9	0	339	0
Precinct 9755 - Election Day	25	16	10	21	567	76	0	0	4	0	72	0
Precinct 9755 - Vote By Mail	60	17	37	45	567	170	0	2	9	0	159	0
Precinct 9755	85	33	47	66	567	246	0	2	13	0	231	0
Precinct 9756 - Election Day	11	7	24	25	940	69	0	0	2	0	67	0
Precinct 9756 - Vote By Mail	63	33	101	46	940	264	0	0	21	0	243	0
Precinct 9756	74	40	125	71	940	333	0	0	23	0	310	0
Precinct 9801 - Election Day	13	1	10	25	404	51	0	0	2	0	49	0
Precinct 9801 - Vote By Mail	28	24	20	57	404	135	0	0	6	0	129	0
Precinct 9801	41	25	30	82	404	186	0	0	8	0	178	0
Precinct 9900 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 9900 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 9900 MB	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 9901 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 9901 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 9901 MB	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 9902 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 9902 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 9902 MB	0	0	0	0	0	0	0	0	0	0	0	0
Congressional District 12 - Election Day	14,643	5,850	6,903	23,331	437,850	53,401	0	68	2,606	0	50,727	0
Congressional District 12 - Vote By Mail	38,209	17,867	24,076	39,465	437,850	129,443	0	331	9,495	0	119,617	0
Congressional District 12	52,852	23,717	30,979	62,796	437,850	182,844	0	399	12,101	0	170,344	0
Congressional District 14 - Election Day	1,919	687	1,187	1,951	57,200	6,022	0	15	263	0	5,744	0
Congressional District 14 - Vote By Mail	4,927	2,354	4,856	3,828	57,200	17,251	0	60	1,226	0	15,965	0
Congressional District 14	6,846	3,041	6,043	5,779	57,200	23,273	0	75	1,489	0	21,709	0
Assembly District 17 - Election Day	9,134	3,616	3,837	16,604	287,476	34,951	0	52	1,708	0	33,191	0
Assembly District 17 - Vote By Mail	24,871	11,513	14,124	28,225	287,476	84,942	0	235	5,974	0	78,733	0
